POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
ATA;Luan;grêmio;30.52;18.00;grêmio;avaí;83#69#5#2#16#20#8#14#0
GOL;Rogério Ceni;sãopaulo;25.87;0.00;são paulo;palmeiras;1#16#0#0#0#0#3#0#0
MEI;Diego Souza;sport;25.22;0.00;sport;chapecoense;35#108#5#0#10#15#6#6#0
ATA;Fred;fluminense;23.36;2.90;fluminense;goiás;48#45#4#1#12#12#6#6#1
ATA;Luan;atlético-mg;22.43;-1.70;joinville;atlético-mg;15#68#3#0#5#8#3#10#0
LAT;Rodinei;pontepreta;22.20;2.20;atlético-pr;ponte preta;26#71#4#1#4#7#0#3#0
ATA;Lucas Pratto;atlético-mg;21.70;-0.20;joinville;atlético-mg;33#70#1#4#25#25#7#10#0
GOL;Cássio;corinthians;21.59;8.00;figueirense;corinthians;2#16#0#0#0#0#0#0#0
ATA;Paolo Guerrero;flamengo;21.01;0.70;flamengo;vasco;26#13#2#1#14#15#3#12#0
GOL;Weverton;atlético-pr;20.88;-1.30;atlético-pr;ponte preta;10#28#0#0#0#0#0#0#0
MEI;Edson;fluminense;20.88;-0.90;fluminense;goiás;35#59#0#1#3#15#2#2#0
MEI;Jadson;corinthians;20.57;15.70;figueirense;corinthians;13#134#6#1#14#9#11#2#0
GOL;Marcelo Lomba;pontepreta;20.27;1.00;atlético-pr;ponte preta;4#14#0#0#0#0#0#0#0
ZAG;Rodrigo;vasco;19.92;0.00;flamengo;vasco;29#72#0#0#15#16#1#2#0
ZAG;Jemerson;atlético-mg;19.69;15.60;joinville;atlético-mg;10#37#0#0#3#11#4#3#0
MEI;Dátolo;atlético-mg;19.41;19.50;joinville;atlético-mg;17#44#4#3#7#10#4#4#0
ATA;Rafael Marques;palmeiras;19.41;10.60;são paulo;palmeiras;42#91#4#0#12#16#7#8#0
ZAG;Gil;corinthians;18.81;5.80;figueirense;corinthians;8#30#0#1#4#5#0#1#0
ZAG;Vitor Hugo;palmeiras;18.48;6.70;são paulo;palmeiras;10#38#0#1#4#9#3#0#0
TEC;Tite;corinthians;17.62;5.92;figueirense;corinthians;
ATA;Léo Gamalho;avaí;17.29;3.10;grêmio;avaí;8#15#1#1#6#2#4#3#0
GOL;Marcelo Grohe;grêmio;16.72;0.00;grêmio;avaí;5#17#0#0#0#0#0#0#0
GOL;Martín Silva;vasco;16.42;4.00;flamengo;vasco;1#3#0#0#0#0#0#0#0
ATA;Willian;cruzeiro;16.15;0.80;cruzeiro;coritiba;30#56#2#0#13#17#6#11#1
MEI;Fernando Bob;pontepreta;15.94;7.40;atlético-pr;ponte preta;45#79#0#0#2#4#2#0#0
ATA;Rafhael Lucas;coritiba;15.81;-1.10;cruzeiro;coritiba;17#27#2#1#10#11#2#14#0
TEC;Levir Culpi;atlético-mg;15.42;4.74;joinville;atlético-mg;-#-#-#-#-#-#-#-#-
ATA;Erik;goiás;15.31;20.00;fluminense;goiás;12#28#1#1#5#4#7#3#0
LAT;Victor Ferraz;santos;15.21;4.80;santos;internacional;9#77#5#0#3#3#1#1#0
ATA;Bruno Henrique;goiás;15.11;7.70;fluminense;goiás;56#61#5#0#19#22#5#10#0
LAT;Marcos Rocha;atlético-mg;15.09;8.20;joinville;atlético-mg;11#58#2#0#2#1#0#1#0
MEI;Marquinhos;avaí;15.06;13.70;grêmio;avaí;22#83#1#2#4#7#2#1#0
ATA;Alexandre Pato;sãopaulo;14.98;0.70;são paulo;palmeiras;43#67#4#1#12#10#8#11#0
GOL;Victor;atlético-mg;14.96;2.20;joinville;atlético-mg;5#19#0#0#0#0#0#0#0
