POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
ATA;Luan;grêmio;28.16;7.00;fluminense;grêmio;55#52#4#2#14#13#2#9#0
MEI;Diego Souza;sport;27.86;5.90;sport;cruzeiro;18#53#3#0#6#8#5#3#0
LAT;Rodinei;pontepreta;23.25;7.80;figueirense;ponte preta;13#35#4#0#3#2#0#2#0
GOL;Marcelo Lomba;pontepreta;22.95;19.70;figueirense;ponte preta;2#6#0#0#0#0#0#0#0
MEI;Edson;fluminense;22.74;4.70;fluminense;grêmio;23#40#0#1#2#9#2#1#0
ATA;Paolo Guerrero;flamengo;21.95;4.80;flamengo;santos;16#7#2#0#2#7#2#4#0
GOL;Weverton;atlético-pr;21.88;7.40;palmeiras;atlético-pr;7#17#0#0#0#0#0#0#0
MEI;Everton;flamengo;21.19;4.00;flamengo;santos;25#52#0#0#6#4#3#15#0
GOL;Renan;goiás;18.47;-2.60;coritiba;goiás;2#10#0#0#0#0#0#0#0
ATA;Rafhael Lucas;coritiba;18.07;5.30;coritiba;goiás;11#19#1#1#7#7#2#9#0
ATA;Rafael Marques;palmeiras;17.52;0.50;palmeiras;atlético-pr;20#57#2#0#7#10#5#5#0
GOL;Marcelo Grohe;grêmio;17.06;0.00;fluminense;grêmio;3#10#0#0#0#0#0#0#0
ATA;Ricardo Oliveira;santos;16.93;0.00;flamengo;santos;9#20#0#1#8#13#7#12#1
ATA;Dudu;palmeiras;16.74;13.50;palmeiras;atlético-pr;25#43#3#0#5#5#3#9#0
MEI;Marcos Guilherme;atlético-pr;16.55;18.40;palmeiras;atlético-pr;10#8#1#0#7#2#3#0#0
ATA;Geuvânio;santos;16.08;2.30;flamengo;santos;21#29#0#0#8#12#2#5#0
ATA;Willian;cruzeiro;15.89;1.60;sport;cruzeiro;21#32#1#0#8#13#0#6#0
LAT;Egídio;palmeiras;15.68;6.00;palmeiras;atlético-pr;16#68#4#0#5#4#1#1#0
LAT;Wellington Silva;fluminense;15.24;1.10;fluminense;grêmio;12#54#0#0#0#5#1#0#0
ATA;Nilmar;internacional;15.02;-0.10;internacional;chapecoense;
MEI;Fernando Bob;pontepreta;14.80;1.80;figueirense;ponte preta;23#50#0#0#0#3#1#0#0
GOL;Diego Cavalieri;fluminense;14.75;-1.00;fluminense;grêmio;2#4#0#0#0#0#0#0#0
GOL;Fernando Prass;palmeiras;14.50;1.00;palmeiras;atlético-pr;5#12#0#0#0#0#0#0#0
MEI;Giuliano;grêmio;14.36;0.20;fluminense;grêmio;9#48#4#0#4#5#3#1#0
MEI;Rithely;sport;13.92;0.00;sport;cruzeiro;14#51#2#0#3#8#1#1#0
ZAG;Gum;fluminense;13.83;0.60;fluminense;grêmio;6#39#0#1#4#2#0#0#0
MEI;Jean;fluminense;13.81;1.00;fluminense;grêmio;6#48#0#0#4#9#1#0#0
MEI;Gabriel;palmeiras;13.75;4.30;palmeiras;atlético-pr;19#28#1#0#4#4#1#0#0
LAT;Victor Ferraz;santos;13.40;3.60;flamengo;santos;5#47#2#0#2#1#0#0#0
TEC;Guto Ferreira;pontepreta;13.36;6.25;figueirense;ponte preta;-#-#-#-#-#-#-#-#-
ZAG;Matheus Ferraz;sport;13.24;-0.30;sport;cruzeiro;6#29#0#0#1#3#3#0#0
MEI;Henrique;cruzeiro;13.22;6.80;sport;cruzeiro;16#27#0#1#3#5#1#1#0
GOL;Danilo;chapecoense;13.01;4.00;internacional;chapecoense;4#9#0#0#0#0#0#0#0
GOL;Alex Muralha;figueirense;12.90;6.70;figueirense;ponte preta;1#4#0#0#0#0#0#0#0
TEC;Enderson Moreira;fluminense;12.69;0.25;fluminense;grêmio;-#-#-#-#-#-#-#-#-
MEI;Gerson;fluminense;12.55;0.00;fluminense;grêmio;21#38#3#0#5#7#0#5#0
MEI;Felipe Menezes;goiás;12.50;5.90;coritiba;goiás;18#65#3#0#10#5#4#2#1
GOL;Fábio;cruzeiro;12.42;1.00;sport;cruzeiro;3#2#0#0#0#0#0#0#0
LAT;Dener Assunção;chapecoense;12.29;11.50;internacional;chapecoense;22#62#1#0#2#5#0#2#0
ATA;Erik;goiás;12.22;0.00;coritiba;goiás;
ATA;Eduardo Sasha;internacional;12.17;-0.50;internacional;chapecoense;2#10#0#0#1#1#1#0#0
TEC;Dorival Júnior;santos;12.04;7.65;flamengo;santos;-#-#-#-#-#-#-#-#-
TEC;Milton Mendes;atlético-pr;12.00;3.45;palmeiras;atlético-pr;-#-#-#-#-#-#-#-#-
TEC;Marcelo Oliveira;palmeiras;11.96;4.63;palmeiras;atlético-pr;-#-#-#-#-#-#-#-#-
ZAG;Durval;sport;11.95;-0.60;sport;cruzeiro;6#42#0#0#2#0#0#2#0
MEI;Elicarlos;chapecoense;11.95;-0.60;internacional;chapecoense;22#30#0#0#0#2#1#0#0
TEC;Diego Aguirre;internacional;11.94;4.35;internacional;chapecoense;-#-#-#-#-#-#-#-#-
MEI;Otávio;atlético-pr;11.89;6.10;palmeiras;atlético-pr;16#31#0#0#5#7#0#0#0
ATA;Borges;pontepreta;11.86;2.70;figueirense;ponte preta;1#6#0#0#6#6#1#3#0
TEC;Eduardo Baptista;sport;11.67;2.42;sport;cruzeiro;-#-#-#-#-#-#-#-#-
ATA;Ananias;chapecoense;11.65;-0.50;internacional;chapecoense;22#19#1#0#3#2#1#1#0
ZAG;Marquinhos;figueirense;11.52;5.80;figueirense;ponte preta;8#22#1#0#5#1#2#3#0
TEC;Vanderlei Luxemburgo;cruzeiro;11.39;2.79;sport;cruzeiro;-#-#-#-#-#-#-#-#-
ZAG;Kadu;atlético-pr;11.31;-0.10;palmeiras;atlético-pr;2#27#0#1#0#1#0#2#0
GOL;Danilo Fernandes;sport;11.29;10.00;sport;cruzeiro;2#8#0#0#0#0#0#0#0
MEI;Alex;internacional;11.15;0.90;internacional;chapecoense;22#40#0#0#4#3#0#1#0
LAT;Apodi;chapecoense;11.04;4.70;internacional;chapecoense;29#42#0#0#9#6#1#2#0
TEC;Roger Machado;grêmio;11.02;2.05;fluminense;grêmio;-#-#-#-#-#-#-#-#-
MEI;Walace;grêmio;10.90;9.70;fluminense;grêmio;16#40#1#0#3#3#0#0#0
MEI;Rodrigo;goiás;10.85;10.40;coritiba;goiás;
ATA;Lisandro López;internacional;10.78;1.10;internacional;chapecoense;9#11#1#1#6#4#1#10#0
MEI;Nikão;atlético-pr;10.77;2.10;palmeiras;atlético-pr;15#33#3#1#3#2#4#2#0
ATA;Leandro Pereira;palmeiras;10.60;19.00;palmeiras;atlético-pr;9#7#0#1#3#7#6#4#0
MEI;Renato;santos;10.53;2.10;flamengo;santos;4#8#0#0#0#1#0#0#0
MEI;Robinho;palmeiras;10.51;4.90;palmeiras;atlético-pr;11#25#4#0#5#5#0#0#0
TEC;Cristóvão Borges;flamengo;10.40;5.45;flamengo;santos;-#-#-#-#-#-#-#-#-
MEI;Marquinhos Gabriel;santos;10.37;17.70;flamengo;santos;4#11#1#0#0#2#0#2#0
LAT;Lucas;palmeiras;10.28;-3.00;palmeiras;atlético-pr;12#35#0#0#3#2#1#4#0
GOL;Vanderlei;santos;10.19;5.00;flamengo;santos;0#2#0#0#0#0#0#0#0
ATA;Emerson;flamengo;10.03;0.00;flamengo;santos;22#29#0#0#1#5#1#3#0
MEI;Wendel;sport;9.94;1.60;sport;cruzeiro;17#17#0#0#0#9#1#1#0
ZAG;Manoel;cruzeiro;9.92;8.20;sport;cruzeiro;14#35#0#0#1#4#1#0#0
MEI;Patrick;goiás;9.75;1.90;coritiba;goiás;21#11#0#0#1#3#0#0#0
ZAG;Werley;santos;9.60;4.60;flamengo;santos;8#40#0#1#0#2#1#0#0
ZAG;Felipe Macedo;goiás;9.58;0.40;coritiba;goiás;10#26#0#0#1#2#0#0#0
ATA;Marinho;cruzeiro;9.58;2.30;sport;cruzeiro;19#18#0#0#5#5#1#1#0
LAT;Rafael Galhardo;grêmio;9.54;-0.60;fluminense;grêmio;18#47#1#2#5#8#1#4#0
MEI;Canteros;flamengo;9.44;1.10;flamengo;santos;11#54#1#0#7#9#1#5#0
ZAG;Ernando;internacional;9.44;5.20;internacional;chapecoense;4#6#0#1#1#1#1#1#0
MEI;Felipe;pontepreta;9.35;2.30;figueirense;ponte preta;
ATA;Bruno Rangel;chapecoense;9.22;18.10;internacional;chapecoense;5#3#0#0#0#3#5#3#0
ATA;Marcelo Cirino;flamengo;9.22;6.50;flamengo;santos;16#33#1#1#6#2#1#9#0
MEI;Charles;cruzeiro;9.05;7.20;sport;cruzeiro;10#36#0#1#1#7#2#0#0
TEC;Vinícius Eutrópio;chapecoense;9.04;3.71;internacional;chapecoense;-#-#-#-#-#-#-#-#-
MEI;Anderson;internacional;9.04;-1.20;internacional;chapecoense;12#41#0#0#4#2#0#1#0
MEI;Paulo Roberto;figueirense;9.03;-0.40;figueirense;ponte preta;16#41#0#0#0#6#1#0#0
LAT;Sueliton;figueirense;8.80;1.00;figueirense;ponte preta;7#13#1#0#0#0#0#0#0
ATA;Osvaldo;fluminense;8.79;-0.80;fluminense;grêmio;0#7#0#0#0#1#0#0#0
MEI;Renan Oliveira;avaí;8.77;-1.10;joinville;avaí;5#28#1#0#1#9#0#3#0
ZAG;Guti;joinville;8.71;3.10;joinville;avaí;7#17#0#0#0#1#0#0#0
GOL;Alisson;internacional;8.69;17.00;internacional;chapecoense;0#0#0#0#0#0#0#0#0
GOL;Wilson;coritiba;8.69;4.00;coritiba;goiás;2#1#0#0#0#0#0#0#0
LAT;Samuel Xavier;sport;8.44;3.00;sport;cruzeiro;14#44#1#0#0#2#1#0#0
MEI;David;goiás;8.40;2.40;coritiba;goiás;3#9#0#0#0#1#0#0#0
MEI;Marcos Aurélio;coritiba;8.37;1.00;coritiba;goiás;8#35#2#0#8#12#1#3#0
ZAG;Pablo;pontepreta;8.31;0.00;figueirense;ponte preta;15#22#0#0#2#2#0#1#0
TEC;Julinho Camargo;goiás;8.31;2.27;coritiba;goiás;-#-#-#-#-#-#-#-#-
MEI;Bruno Silva;chapecoense;8.20;-4.40;internacional;chapecoense;6#33#0#0#4#3#1#4#0
LAT;Renê;sport;8.15;0.00;sport;cruzeiro;14#61#3#0#2#1#0#0#0
ZAG;Alan Costa;internacional;8.11;5.00;internacional;chapecoense;
MEI;Josimar;pontepreta;8.11;0.00;figueirense;ponte preta;11#36#1#0#2#4#0#0#0
TEC;Ney Franco;coritiba;7.75;2.99;coritiba;goiás;-#-#-#-#-#-#-#-#-
MEI;Douglas;grêmio;7.75;-1.10;fluminense;grêmio;11#60#1#0#4#9#1#0#0
ATA;André;sport;7.75;0.90;sport;cruzeiro;14#21#1#1#3#5#5#9#0
ATA;Clayton;figueirense;7.75;0.00;figueirense;ponte preta;9#29#2#0#2#2#1#11#0
ZAG;Antônio Carlos;fluminense;7.71;-2.30;fluminense;grêmio;9#25#0#0#2#1#0#2#0
