POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
ATA;Luan;grêmio;29.67;16.20;palmeiras;grêmio;78#66#5#2#16#18#6#13#0
GOL;Rogério Ceni;sãopaulo;25.87;7.70;avaí;são paulo;1#16#0#0#0#0#3#0#0
LAT;Zé Roberto;palmeiras;24.56;-1.70;palmeiras;grêmio;24#30#3#0#6#8#2#0#0
ATA;Paolo Guerrero;flamengo;23.80;0.00;atlético-mg;flamengo;23#13#2#1#13#14#3#10#0
ATA;Luan;atlético-mg;22.79;0.30;atlético-mg;flamengo;13#65#3#0#4#7#3#10#0
ATA;Fred;fluminense;22.50;-1.90;ponte preta;fluminense;46#43#3#1#12#12#6#6#1
LAT;Rodinei;pontepreta;22.22;2.80;ponte preta;fluminense;24#66#4#1#3#7#0#3#0
ATA;Lucas Pratto;atlético-mg;21.58;-0.90;atlético-mg;flamengo;32#66#1#4#24#25#7#10#0
MEI;Edson;fluminense;21.12;0.50;ponte preta;fluminense;34#56#0#1#3#15#2#2#0
GOL;Weverton;atlético-pr;20.33;-4.90;coritiba;atlético-pr;10#27#0#0#0#0#0#0#0
GOL;Cássio;corinthians;20.28;1.40;corinthians;santos;2#16#0#0#0#0#0#0#0
GOL;Marcelo Lomba;pontepreta;20.22;1.00;ponte preta;fluminense;4#14#0#0#0#0#0#0#0
MEI;Everton;flamengo;20.02;-1.30;atlético-mg;flamengo;45#78#2#0#10#7#4#19#0
ATA;Ricardo Oliveira;santos;19.77;8.40;corinthians;santos;14#34#2#2#21#21#16#20#4
ATA;Willian;cruzeiro;18.44;15.40;chapecoense;cruzeiro;28#53#2#0#12#17#6#10#1
MEI;Jadson;corinthians;18.26;4.30;corinthians;santos;13#128#6#1#12#9#9#2#0
ZAG;Jemerson;atlético-mg;18.07;8.50;atlético-mg;flamengo;10#35#0#0#3#10#2#3#0
ZAG;Vitor Hugo;palmeiras;17.71;0.00;palmeiras;grêmio;10#33#0#1#4#8#2#0#0
ZAG;Gil;corinthians;17.65;-0.30;corinthians;santos;8#28#0#1#4#3#0#1#0
ATA;Léo Gamalho;avaí;17.21;3.10;avaí;são paulo;
ATA;Walter;atlético-pr;16.92;1.20;coritiba;atlético-pr;26#108#4#0#21#30#7#16#0
TEC;Tite;corinthians;16.87;2.40;corinthians;santos;-#-#-#-#-#-#-#-#-
MEI;Dátolo;atlético-mg;15.95;1.60;atlético-mg;flamengo;14#41#2#3#7#8#3#4#0
ZAG;Marlon;fluminense;15.89;-0.30;ponte preta;fluminense;10#12#1#0#2#2#0#1#0
LAT;Victor Ferraz;santos;15.89;10.00;corinthians;santos;8#72#5#0#3#2#1#1#0
ZAG;Leonardo Silva;atlético-mg;15.56;12.20;atlético-mg;flamengo;22#55#1#1#6#9#2#4#0
TEC;Dorival Júnior;santos;15.37;10.90;corinthians;santos;-#-#-#-#-#-#-#-#-
TEC;Levir Culpi;atlético-mg;15.15;4.03;atlético-mg;flamengo;-#-#-#-#-#-#-#-#-
GOL;Diego Cavalieri;fluminense;15.11;1.00;ponte preta;fluminense;2#8#0#0#0#0#0#0#0
