POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
ATA;Luan;grêmio;29.55;9.30;santos;grêmio;42#38#3#1#10#5#2#8#0
MEI;Diego Souza;sport;28.54;0.00;avaí;sport;12#30#1#0#3#6#3#3#0
ATA;Fred;fluminense;27.19;12.90;são paulo;fluminense;25#17#2#1#7#4#4#3#0
GOL;Rogério Ceni;sãopaulo;26.47;5.00;são paulo;fluminense;0#6#0#0#0#0#2#0#0
LAT;Rodinei;pontepreta;23.49;5.80;ponte preta;palmeiras;9#17#4#0#1#2#0#2#0
MEI;Edson;fluminense;22.99;2.30;são paulo;fluminense;18#29#0#1#2#6#1#1#0
MEI;D'Alessandro;internacional;22.91;0.00;internacional;atlético-mg;2#6#0#0#0#2#0#1#0
GOL;Cássio;corinthians;22.45;14.00;goiás;corinthians;1#10#0#0#0#0#0#0#0
MEI;Everton;flamengo;21.68;2.60;flamengo;figueirense;14#34#0#0#3#4#2#11#0
ATA;Lucas Pratto;atlético-mg;21.45;0.50;internacional;atlético-mg;8#21#1#2#10#8#2#2#0
GOL;Weverton;atlético-pr;20.71;-3.20;cruzeiro;atlético-pr;6#11#0#0#0#0#0#0#0
GOL;Marcelo Lomba;pontepreta;20.61;7.40;ponte preta;palmeiras;1#4#0#0#0#0#0#0#0
ZAG;Vitor Hugo;palmeiras;19.49;5.70;ponte preta;palmeiras;7#16#0#1#3#5#2#0#0
ZAG;Jemerson;atlético-mg;19.49;8.00;internacional;atlético-mg;2#11#0#0#1#4#2#1#0
ZAG;Gil;corinthians;19.39;4.70;goiás;corinthians;2#13#0#1#1#3#0#1#0
GOL;Renan;goiás;19.36;-3.00;goiás;corinthians;2#5#0#0#0#0#0#0#0
MEI;Jadson;corinthians;18.51;8.50;goiás;corinthians;7#60#1#0#7#3#4#1#0
ZAG;Marlon;fluminense;18.14;1.90;são paulo;fluminense;1#1#1#0#0#0#0#0#0
ATA;Rafael Marques;palmeiras;18.04;3.80;ponte preta;palmeiras;15#38#0#0#7#7#4#4#0
ATA;Rafhael Lucas;coritiba;17.91;-1.10;coritiba;joinville;
ATA;Walter;atlético-pr;17.83;0.10;cruzeiro;atlético-pr;9#53#3#0#11#11#2#8#0
ATA;Ricardo Oliveira;santos;17.76;6.20;santos;grêmio;4#14#0#1#6#7#5#10#1
GOL;Marcelo Grohe;grêmio;17.31;4.40;santos;grêmio;1#7#0#0#0#0#0#0#0
ATA;Geuvânio;santos;17.15;-0.40;santos;grêmio;15#22#0#0#6#9#2#2#0
TEC;Tite;corinthians;16.92;7.81;goiás;corinthians;-#-#-#-#-#-#-#-#-
LAT;Egídio;palmeiras;16.71;20.80;ponte preta;palmeiras;11#53#3#0#4#2#1#1#0
LAT;Natanael;atlético-pr;16.43;4.60;cruzeiro;atlético-pr;10#40#0#0#1#3#0#0#0
MEI;Arrascaeta;cruzeiro;16.31;3.50;cruzeiro;atlético-pr;7#12#0#0#3#3#0#0#0
MEI;Guiñazu;vasco;16.02;4.50;chapecoense;vasco;14#12#0#0#0#1#0#0#0
ATA;Luis Fabiano;sãopaulo;15.83;0.00;são paulo;fluminense;5#14#1#1#2#6#2#4#0
GOL;Victor;atlético-mg;15.57;6.80;internacional;atlético-mg;2#10#0#0#0#0#0#0#0
TEC;Levir Culpi;atlético-mg;15.49;5.75;internacional;atlético-mg;-#-#-#-#-#-#-#-#-
GOL;Diego Cavalieri;fluminense;15.34;3.70;são paulo;fluminense;1#4#0#0#0#0#0#0#0
MEI;Marcos Guilherme;atlético-pr;15.29;11.90;cruzeiro;atlético-pr;7#2#1#0#2#2#1#0#0
MEI;Jean;fluminense;15.21;7.30;são paulo;fluminense;4#34#0#0#4#4#1#0#0
GOL;Fábio;cruzeiro;15.14;22.00;cruzeiro;atlético-pr;3#1#0#0#0#0#0#0#0
ATA;Thiago Ribeiro;atlético-mg;14.98;18.00;internacional;atlético-mg;5#25#0#0#4#9#4#3#0
LAT;Wellington Silva;fluminense;14.98;2.50;são paulo;fluminense;6#32#0#0#0#4#1#0#0
ZAG;Wallace;flamengo;14.93;7.50;flamengo;figueirense;11#31#0#0#4#4#0#0#0
MEI;Willians;cruzeiro;14.81;4.50;cruzeiro;atlético-pr;
GOL;Fernando Prass;palmeiras;14.35;7.40;ponte preta;palmeiras;5#7#0#0#0#0#0#0#0
MEI;Rithely;sport;14.15;0.40;avaí;sport;8#38#2#0#2#5#1#1#0
MEI;Giuliano;grêmio;14.12;-0.30;santos;grêmio;7#36#2#0#3#2#3#1#0
ATA;Dudu;palmeiras;13.96;5.70;ponte preta;palmeiras;16#29#2#0#3#3#0#6#0
MEI;Ganso;sãopaulo;13.90;-0.20;são paulo;fluminense;17#27#1#0#1#4#0#1#0
LAT;Giovanni;fluminense;13.84;-1.60;são paulo;fluminense;4#31#0#0#2#3#0#1#0
ZAG;Matheus Ferraz;sport;13.79;5.30;avaí;sport;5#23#0#0#1#3#1#0#0
MEI;Michel Bastos;sãopaulo;13.67;-1.00;são paulo;fluminense;4#42#0#0#2#13#2#4#0
LAT;Madson;vasco;13.57;4.50;chapecoense;vasco;17#31#1#0#1#1#0#1#0
MEI;Gabriel;palmeiras;13.56;6.40;ponte preta;palmeiras;12#19#0#0#1#4#1#0#0
LAT;Gilson;pontepreta;13.29;1.00;ponte preta;palmeiras;17#28#0#0#2#1#0#2#0
TEC;Enderson Moreira;fluminense;13.24;4.53;são paulo;fluminense;-#-#-#-#-#-#-#-#-
MEI;Elicarlos;chapecoense;13.05;3.60;chapecoense;vasco;19#18#0#0#0#0#1#0#0
ZAG;Durval;sport;13.02;4.40;avaí;sport;4#26#0#0#2#0#0#1#0
TEC;Guto Ferreira;pontepreta;12.81;2.15;ponte preta;palmeiras;-#-#-#-#-#-#-#-#-
MEI;Gerson;fluminense;12.69;2.60;são paulo;fluminense;14#28#2#0#5#4#0#3#0
LAT;Victor Ferraz;santos;12.61;-1.50;santos;grêmio;2#30#1#0#2#0#0#0#0
LAT;Christiano;vasco;12.58;6.70;chapecoense;vasco;13#25#0#1#1#5#0#1#0
