POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
MEI;Diego Souza;sport;28.18;8.10;sport;ponte preta;24#73#5#0#8#11#5#4#0
LAT;Zé Roberto;palmeiras;26.43;0.00;palmeiras;flamengo;16#18#2#0#4#5#1#0#0
ATA;Fred;fluminense;24.48;0.00;fluminense;figueirense;40#36#3#1#11#7#5#5#0
LAT;Rodinei;pontepreta;22.69;3.90;sport;ponte preta;14#44#4#0#3#4#0#2#0
MEI;Everton;flamengo;22.13;6.80;palmeiras;flamengo;33#59#2#0#8#5#3#16#0
ATA;Lucas Pratto;atlético-mg;21.85;1.40;chapecoense;atlético-mg;16#43#1#4#19#13#4#5#0
MEI;Edson;fluminense;21.72;0.00;fluminense;figueirense;27#47#0#1#2#10#2#1#0
ATA;Paolo Guerrero;flamengo;21.66;0.00;palmeiras;flamengo;19#11#2#1#7#11#2#5#0
GOL;Marcelo Lomba;pontepreta;20.63;4.40;sport;ponte preta;2#8#0#0#0#0#0#0#0
GOL;Renan;goiás;20.54;8.00;são paulo;goiás;2#11#0#0#0#0#0#0#0
GOL;Weverton;atlético-pr;19.78;-5.50;atlético-pr;santos;8#17#0#0#0#0#0#0#0
ATA;Rafael Marques;palmeiras;19.75;10.80;palmeiras;flamengo;24#66#3#0#10#10#6#7#0
ZAG;Rodrigo;vasco;19.31;2.70;vasco;coritiba;18#59#0#0#10#7#1#1#0
GOL;Cássio;corinthians;19.00;-6.00;avaí;corinthians;2#12#0#0#0#0#0#0#0
MEI;Jadson;corinthians;18.85;8.60;avaí;corinthians;10#87#3#0#9#5#7#2#0
GOL;Martín Silva;vasco;18.75;14.00;vasco;coritiba;1#2#0#0#0#0#0#0#0
GOL;Marcelo Grohe;grêmio;18.45;11.50;grêmio;joinville;4#11#0#0#0#0#0#0#0
ZAG;Jemerson;atlético-mg;18.20;3.30;chapecoense;atlético-mg;6#26#0#0#3#7#2#2#0
ZAG;Gil;corinthians;17.86;-2.10;avaí;corinthians;3#20#0#1#2#3#0#1#0
ATA;Geuvânio;santos;17.28;5.50;atlético-pr;santos;
ZAG;Marlon;fluminense;17.11;0.60;fluminense;figueirense;4#5#1#0#0#2#0#0#0
MEI;Dátolo;atlético-mg;16.91;4.70;chapecoense;atlético-mg;10#23#0#3#4#5#2#2#0
MEI;Élber;sport;16.82;1.60;sport;ponte preta;14#19#0#0#3#1#2#1#0
ATA;Walter;atlético-pr;16.77;1.20;atlético-pr;santos;13#76#4#0#17#18#3#13#0
TEC;Tite;corinthians;16.60;2.75;avaí;corinthians;-#-#-#-#-#-#-#-#-
ATA;Ricardo Oliveira;santos;16.31;-5.40;atlético-pr;santos;11#23#0#1#10#16#9#16#2
MEI;Giuliano;grêmio;16.28;9.40;grêmio;joinville;11#54#6#0#5#5#4#1#0
LAT;Wellington Silva;fluminense;16.26;4.80;fluminense;figueirense;17#77#0#0#0#7#1#0#0
LAT;Victor Ferraz;santos;16.11;13.90;atlético-pr;santos;6#58#3#0#3#1#1#1#0
ATA;Dudu;palmeiras;16.00;7.30;palmeiras;flamengo;35#68#4#0#8#6#3#12#0
ATA;Alexandre Pato;sãopaulo;15.79;9.10;são paulo;goiás;22#40#3#1#8#4#7#9#0
ATA;Vitinho;internacional;15.74;7.80;cruzeiro;internacional;11#39#1#0#2#13#4#1#0
MEI;Fernando Bob;pontepreta;15.05;1.50;sport;ponte preta;29#55#0#0#1#3#1#0#0
TEC;Levir Culpi;atlético-mg;14.96;1.17;chapecoense;atlético-mg;-#-#-#-#-#-#-#-#-
LAT;Gilson;pontepreta;14.94;9.80;sport;ponte preta;23#52#1#0#3#3#0#4#0
MEI;Marcos Guilherme;atlético-pr;14.71;5.50;atlético-pr;santos;11#11#2#0#9#4#3#1#0
MEI;Ganso;sãopaulo;14.48;9.10;são paulo;goiás;25#51#2#0#3#8#0#6#0
GOL;Victor;atlético-mg;14.28;-4.00;chapecoense;atlético-mg;2#15#0#0#0#0#0#0#0
LAT;Marcos Rocha;atlético-mg;14.09;0.00;chapecoense;atlético-mg;4#22#0#0#1#0#0#0#0
GOL;Danilo;chapecoense;14.03;8.00;chapecoense;atlético-mg;
ZAG;Gum;fluminense;13.83;0.00;fluminense;figueirense;6#39#0#1#4#2#0#0#0
MEI;Jean;fluminense;13.72;2.60;fluminense;figueirense;6#54#0#0#4#10#1#0#0
