POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
ATA;Luan;grêmio;28.81;0.00;ponte preta;grêmio;64#56#4#2#14#16#5#11#0
MEI;Diego Souza;sport;28.29;8.10;figueirense;sport;24#75#5#0#8#12#6#4#0
ATA;Fred;fluminense;26.74;15.80;joinville;fluminense;43#39#3#1#12#11#6#5#0
LAT;Rodinei;pontepreta;23.65;8.80;ponte preta;grêmio;14#47#4#0#3#4#0#2#0
GOL;Weverton;atlético-pr;23.40;14.70;internacional;atlético-pr;8#18#0#0#0#0#0#0#0
ATA;Luan;atlético-mg;23.34;-2.10;atlético-mg;palmeiras;5#28#2#0#4#3#2#4#0
MEI;Edson;fluminense;22.89;6.70;joinville;fluminense;28#48#0#1#2#11#2#2#0
ATA;Lucas Pratto;atlético-mg;22.57;5.70;atlético-mg;palmeiras;18#45#1#4#20#15#4#6#0
GOL;Renan;goiás;21.31;11.00;goiás;vasco;2#11#0#0#0#0#0#0#0
MEI;Everton;flamengo;21.19;1.60;flamengo;são paulo;35#61#2#0#8#5#3#16#0
GOL;Cássio;corinthians;21.17;7.00;corinthians;cruzeiro;2#12#0#0#0#0#0#0#0
ATA;Paolo Guerrero;flamengo;20.95;0.70;flamengo;são paulo;20#12#2#1#10#11#2#9#0
ZAG;Rodrigo;vasco;20.34;8.10;goiás;vasco;21#60#0#0#11#12#1#1#0
GOL;Marcelo Lomba;pontepreta;19.37;-2.00;ponte preta;grêmio;2#8#0#0#0#0#0#0#0
ZAG;Vitor Hugo;palmeiras;18.47;3.10;atlético-mg;palmeiras;7#22#0#1#3#5#2#0#0
ZAG;Gil;corinthians;18.35;1.60;corinthians;cruzeiro;4#22#0#1#2#3#0#1#0
GOL;Diego Cavalieri;fluminense;17.98;0.00;joinville;fluminense;2#6#0#0#0#0#0#0#0
ATA;Rafael Marques;palmeiras;17.89;0.00;atlético-mg;palmeiras;26#70#3#0#10#11#6#7#0
ATA;Dudu;palmeiras;17.68;14.80;atlético-mg;palmeiras;36#70#5#0#8#7#4#12#0
MEI;Jadson;corinthians;17.64;1.50;corinthians;cruzeiro;
ZAG;Marlon;fluminense;17.62;3.80;joinville;fluminense;4#5#1#0#0#2#0#0#0
ZAG;Jemerson;atlético-mg;17.43;-0.50;atlético-mg;palmeiras;6#26#0#0#3#7#2#2#0
ATA;Ricardo Oliveira;santos;17.29;1.40;santos;avaí;11#25#0#2#12#16#9#16#3
TEC;Tite;corinthians;17.03;4.97;corinthians;cruzeiro;-#-#-#-#-#-#-#-#-
ATA;Walter;atlético-pr;16.62;0.90;internacional;atlético-pr;14#81#4#0#17#19#3#14#0
MEI;Élber;sport;16.60;0.90;figueirense;sport;17#21#0#0#3#1#2#1#0
ATA;Geuvânio;santos;16.31;0.20;santos;avaí;31#45#1#0#10#17#3#6#0
GOL;Marcelo Grohe;grêmio;16.02;-2.00;ponte preta;grêmio;4#11#0#0#0#0#0#0#0
MEI;Dátolo;atlético-mg;15.94;-0.40;atlético-mg;palmeiras;12#26#0#3#4#5#2#2#0
LAT;Wellington Silva;fluminense;15.89;2.60;joinville;fluminense;19#82#0#0#0#7#1#0#0
ATA;Alexandre Pato;sãopaulo;15.19;4.80;flamengo;são paulo;23#45#3#1#8#5#7#9#0
MEI;Willians;cruzeiro;15.03;10.00;corinthians;cruzeiro;34#32#0#0#0#2#0#0#0
ATA;Erik;goiás;14.93;24.10;goiás;vasco;5#14#1#0#3#2#3#3#0
TEC;Levir Culpi;atlético-mg;14.80;0.75;atlético-mg;palmeiras;-#-#-#-#-#-#-#-#-
GOL;Fábio;cruzeiro;14.79;11.00;corinthians;cruzeiro;4#6#0#0#0#0#0#0#0
GOL;Victor;atlético-mg;14.72;-0.30;atlético-mg;palmeiras;2#16#0#0#0#0#0#0#0
MEI;Giuliano;grêmio;14.65;-0.10;ponte preta;grêmio;12#59#6#0#5#7#4#1#0
LAT;Egídio;palmeiras;14.56;0.00;atlético-mg;palmeiras;21#90#4#0#5#6#1#1#0
GOL;Fernando Prass;palmeiras;14.53;1.70;atlético-mg;palmeiras;5#16#0#0#0#0#0#0#0
MEI;Fernando Bob;pontepreta;14.49;-1.00;ponte preta;grêmio;
MEI;Felipe Menezes;goiás;14.48;15.00;goiás;vasco;24#88#4#0#16#8#5#2#1
ATA;Alecsandro;palmeiras;14.45;12.40;atlético-mg;palmeiras;13#18#2#0#6#6#2#5#0
MEI;Marcos Guilherme;atlético-pr;14.44;3.60;internacional;atlético-pr;13#16#2#0#10#6#3#1#0
LAT;Victor Ferraz;santos;14.36;2.80;santos;avaí;6#61#3#0#3#1#1#1#0
MEI;Rithely;sport;14.31;3.60;figueirense;sport;16#67#2#0#4#9#1#1#0
LAT;Gilson;pontepreta;14.04;3.80;ponte preta;grêmio;24#56#2#0#3#3#0#4#0
MEI;Guiñazu;vasco;13.93;0.00;goiás;vasco;18#21#0#0#0#3#0#0#0
LAT;Marcos Rocha;atlético-mg;13.68;-1.40;atlético-mg;palmeiras;5#24#0#0#1#0#0#1#0
MEI;Jean;fluminense;13.67;2.40;joinville;fluminense;6#58#0#0#4#11#1#0#0
ZAG;Gum;fluminense;13.65;1.40;joinville;fluminense;7#40#0#1#4#2#0#0#0
TEC;Enderson Moreira;fluminense;13.56;4.66;joinville;fluminense;-#-#-#-#-#-#-#-#-
ATA;Borges;pontepreta;13.48;10.10;ponte preta;grêmio;5#12#0#0#7#12#3#4#1
ZAG;Matheus Ferraz;sport;13.48;1.40;figueirense;sport;7#38#0#0#1#3#3#0#0
LAT;Fagner;corinthians;13.05;8.90;corinthians;cruzeiro;11#50#1#0#0#3#0#1#0
ATA;Emerson;flamengo;13.00;13.60;flamengo;são paulo;43#44#1#2#3#14#3#3#0
MEI;Michel Bastos;sãopaulo;12.92;1.10;flamengo;são paulo;7#71#0#0#3#18#3#7#0
