POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
ATA;Luan;grêmio;26.71;-1.30;grêmio;fluminense;96#90#7#2#23#24#8#15#0
LAT;Zé Roberto;palmeiras;23.95;-0.90;atlético-pr;palmeiras;28#36#3#0#7#10#2#1#0
ATA;Luan;atlético-mg;23.32;5.80;são paulo;atlético-mg;23#94#4#0#6#15#5#10#0
LAT;Rodinei;pontepreta;22.42;0.00;ponte preta;figueirense;37#79#4#1#4#7#0#4#0
ATA;Lucas Pratto;atlético-mg;21.68;0.10;são paulo;atlético-mg;38#84#3#4#32#30#9#11#0
ZAG;Rodrigo;vasco;20.60;5.40;vasco;corinthians;43#83#0#0#18#19#4#2#0
GOL;Marcelo Lomba;pontepreta;20.58;1.70;ponte preta;figueirense;5#17#0#0#0#0#0#0#0
GOL;Weverton;atlético-pr;20.48;-2.00;atlético-pr;palmeiras;11#37#0#0#0#0#0#0#0
GOL;Cássio;corinthians;20.46;1.00;vasco;corinthians;2#17#0#0#0#0#0#0#0
MEI;Jadson;corinthians;20.20;9.90;vasco;corinthians;17#177#12#2#18#11#13#3#0
GOL;Renan;goiás;19.59;0.00;goiás;coritiba;4#20#0#0#0#0#0#0#0
ATA;Paolo Guerrero;flamengo;19.32;0.00;santos;flamengo;40#24#3#2#17#18#3#16#0
MEI;D'Alessandro;internacional;18.30;0.80;chapecoense;internacional;29#60#3#0#2#5#0#3#1
ATA;Ricardo Oliveira;santos;18.14;0.20;santos;flamengo;21#41#2#2#25#23#19#30#4
ZAG;Gil;corinthians;17.99;-0.60;vasco;corinthians;11#38#1#1#5#6#1#1#0
ATA;Walter;atlético-pr;17.76;9.50;atlético-pr;palmeiras;30#126#4#0#27#37#9#23#0
ZAG;Jemerson;atlético-mg;17.66;5.30;são paulo;atlético-mg;12#47#0#0#3#12#4#3#0
ATA;Dudu;palmeiras;17.64;0.00;atlético-pr;palmeiras;56#103#7#0#14#11#9#15#0
TEC;Tite;corinthians;17.58;4.01;vasco;corinthians;-#-#-#-#-#-#-#-#-
ZAG;Vitor Hugo;palmeiras;17.23;3.30;atlético-pr;palmeiras;
MEI;Dátolo;atlético-mg;17.17;8.70;são paulo;atlético-mg;20#50#4#3#8#14#5#7#0
GOL;Martín Silva;vasco;16.43;4.70;vasco;corinthians;1#5#0#0#0#0#0#0#0
GOL;Marcelo Grohe;grêmio;16.31;0.70;grêmio;fluminense;5#19#0#0#0#0#0#0#0
ATA;Alexandre Pato;sãopaulo;16.17;7.50;são paulo;atlético-mg;63#99#6#2#19#15#9#14#0
ATA;Vitinho;internacional;16.12;13.10;chapecoense;internacional;32#99#2#0#10#27#7#3#0
GOL;Victor;atlético-mg;15.98;11.00;são paulo;atlético-mg;6#26#0#0#0#0#0#0#0
ATA;Geuvânio;santos;15.72;1.50;santos;flamengo;36#54#2#0#12#19#4#7#0
ZAG;Marlon;fluminense;15.53;0.00;grêmio;fluminense;15#25#1#0#2#2#0#3#0
ATA;Rafhael Lucas;coritiba;15.50;0.00;goiás;coritiba;19#28#2#1#11#12#2#14#0
TEC;Levir Culpi;atlético-mg;15.41;5.14;são paulo;atlético-mg;-#-#-#-#-#-#-#-#-
ATA;Luis Fabiano;sãopaulo;15.40;8.20;são paulo;atlético-mg;21#27#2#4#7#16#6#13#0
ATA;Nenê;vasco;15.34;19.10;vasco;corinthians;47#80#3#1#11#17#7#1#0
MEI;Jean;fluminense;15.26;12.10;grêmio;fluminense;12#112#0#0#9#19#4#0#0
ZAG;Wallace;flamengo;14.82;2.10;santos;flamengo;33#69#1#1#5#6#1#1#0
MEI;Fernando Bob;pontepreta;14.70;1.20;ponte preta;figueirense;56#93#1#0#2#4#3#0#0
MEI;Giuliano;grêmio;14.48;1.50;grêmio;fluminense;25#117#7#0#9#12#6#3#0
LAT;Egídio;palmeiras;14.39;2.00;atlético-pr;palmeiras;34#128#4#0#6#10#1#1#0
LAT;Patric;atlético-mg;14.30;5.70;são paulo;atlético-mg;12#61#5#0#8#8#2#15#0
TEC;Dorival Júnior;santos;14.22;2.91;santos;flamengo;-#-#-#-#-#-#-#-#-
ATA;Bruno Henrique;goiás;14.16;2.90;goiás;coritiba;
LAT;Marcos Rocha;atlético-mg;14.06;2.50;são paulo;atlético-mg;13#90#2#0#5#3#1#1#0
GOL;Diego Cavalieri;fluminense;14.06;-6.30;grêmio;fluminense;3#13#0#0#0#0#0#0#0
MEI;Ganso;sãopaulo;14.02;0.50;são paulo;atlético-mg;49#104#8#1#6#16#2#6#0
LAT;Wellington Silva;fluminense;13.97;-1.70;grêmio;fluminense;33#112#0#0#0#9#1#3#0
ZAG;Luan;vasco;13.96;7.00;vasco;corinthians;26#68#0#0#2#2#0#2#0
MEI;Camilo;chapecoense;13.77;11.30;chapecoense;internacional;33#86#3#1#6#20#3#9#0
GOL;Fernando Prass;palmeiras;13.64;2.00;atlético-pr;palmeiras;9#24#0#0#0#0#0#0#0
MEI;Felipe Menezes;goiás;13.58;10.20;goiás;coritiba;28#104#5#0#20#12#5#2#1
ATA;Biro Biro;pontepreta;13.57;1.20;ponte preta;figueirense;66#113#5#1#24#21#7#4#0
ATA;Erik;goiás;13.13;8.30;goiás;coritiba;21#46#1#2#7#8#8#6#0
GOL;Danilo;chapecoense;13.05;2.50;chapecoense;internacional;6#21#0#0#0#0#0#0#0
ZAG;Gum;fluminense;12.94;1.10;grêmio;fluminense;16#84#1#1#5#4#0#0#0
TEC;Guto Ferreira;chapecoense;12.82;4.60;chapecoense;internacional;-#-#-#-#-#-#-#-#-
GOL;Vanderlei;santos;12.61;10.70;santos;flamengo;1#13#0#0#0#0#0#0#0
MEI;Ralf;corinthians;12.58;7.20;vasco;corinthians;31#47#1#0#2#1#1#0#0
ZAG;Kadu;atlético-pr;12.35;0.00;atlético-pr;palmeiras;12#59#1#1#0#8#1#2#0
MEI;Marcos Guilherme;atlético-pr;12.35;0.00;atlético-pr;palmeiras;23#45#4#0#17#11#3#3#0
MEI;Michel Bastos;sãopaulo;12.34;-0.30;são paulo;atlético-mg;10#107#0#1#6#29#6#14#0
MEI;Renato Augusto;corinthians;12.33;-0.10;vasco;corinthians;38#127#6#3#17#17#4#5#0
GOL;Alex Muralha;figueirense;12.28;4.00;ponte preta;figueirense;
MEI;Elias;corinthians;12.23;3.10;vasco;corinthians;28#80#6#0#2#4#4#0#0
TEC;Felipe Moreira;pontepreta;11.95;1.32;ponte preta;figueirense;-#-#-#-#-#-#-#-#-
TEC;Marcelo Oliveira;palmeiras;11.87;1.24;atlético-pr;palmeiras;-#-#-#-#-#-#-#-#-
ATA;André Lima;avaí;11.80;8.00;avaí;joinville;24#40#3#0#8#13#9#4#0
TEC;Eduardo Baptista;fluminense;11.74;1.42;grêmio;fluminense;-#-#-#-#-#-#-#-#-
LAT;Apodi;chapecoense;11.64;0.60;chapecoense;internacional;58#107#0#0#12#15#4#6#0
TEC;Roger Machado;grêmio;11.64;0.09;grêmio;fluminense;-#-#-#-#-#-#-#-#-
LAT;Madson;vasco;11.55;4.00;vasco;corinthians;48#101#1#0#1#2#0#4#0
ATA;Ananias;chapecoense;11.52;0.40;chapecoense;internacional;44#47#1#0#10#8#2#3#0
TEC;Oswaldo De Oliveira;flamengo;11.52;6.48;santos;flamengo;-#-#-#-#-#-#-#-#-
ZAG;David Braz;santos;11.41;4.50;santos;flamengo;13#105#1#0#1#6#2#2#0
ATA;Vagner Love;corinthians;11.40;0.60;vasco;corinthians;50#54#2#0#13#15#12#13#0
MEI;Elicarlos;chapecoense;11.23;0.00;chapecoense;internacional;39#60#0#0#0#3#1#0#0
MEI;Otávio;atlético-pr;11.21;1.30;atlético-pr;palmeiras;31#61#1#0#9#12#0#0#0
MEI;Alan Patrick;flamengo;11.20;22.50;santos;flamengo;35#83#5#0#9#16#7#1#1
MEI;Vinícius;fluminense;11.04;-0.50;grêmio;fluminense;14#48#3#1#6#7#3#0#0
MEI;Gerson;fluminense;10.92;-0.80;grêmio;fluminense;55#64#3#0#9#10#1#12#0
MEI;Patrick;goiás;10.92;0.00;goiás;coritiba;39#46#1#0#2#7#0#0#0
ATA;Emerson;flamengo;10.91;3.00;santos;flamengo;66#77#1#2#7#21#5#5#0
LAT;Dener Assunção;chapecoense;10.91;2.90;chapecoense;internacional;
TEC;Pc Gusmão;joinville;10.84;2.66;avaí;joinville;-#-#-#-#-#-#-#-#-
LAT;Marcelo Oliveira;grêmio;10.78;3.30;grêmio;fluminense;44#73#3#1#5#8#1#2#0
ZAG;Ernando;internacional;10.76;6.80;chapecoense;internacional;8#27#0#1#3#4#3#1#0
ZAG;Thiago Heleno;figueirense;10.52;1.20;ponte preta;figueirense;13#43#0#0#0#5#0#1#0
MEI;Nikão;atlético-pr;10.44;1.60;atlético-pr;palmeiras;34#69#4#1#6#3#4#4#0
MEI;Valdívia;internacional;10.35;4.00;chapecoense;internacional;46#74#1#0#16#11#6#6#0
ATA;Lisandro López;internacional;10.32;0.70;chapecoense;internacional;26#31#1#2#9#12#4#14#0
MEI;Robinho;palmeiras;10.28;-0.10;atlético-pr;palmeiras;37#89#6#1#10#6#2#2#0
GOL;Wilson;coritiba;10.27;1.10;goiás;coritiba;4#10#0#0#0#0#0#0#0
LAT;Rafael Galhardo;grêmio;10.18;-1.90;grêmio;fluminense;36#132#2#2#11#14#2#5#0
MEI;Renato;santos;10.16;1.20;santos;flamengo;16#48#0#0#1#4#0#0#0
MEI;Cícero;fluminense;10.14;-1.90;grêmio;fluminense;35#48#1#1#7#7#2#3#0
ZAG;Guti;joinville;10.12;6.60;avaí;joinville;16#44#0#0#1#3#1#0#0
ATA;Henrique Almeida;coritiba;10.11;1.40;goiás;coritiba;26#30#0#1#12#15#9#10#0
TEC;Cristóvão Borges;atlético-pr;10.11;3.63;atlético-pr;palmeiras;-#-#-#-#-#-#-#-#-
TEC;Jorginho;vasco;10.10;6.25;vasco;corinthians;-#-#-#-#-#-#-#-#-
ZAG;Marquinhos;figueirense;9.94;2.80;ponte preta;figueirense;11#29#1#0#5#4#3#3#0
TEC;Danny Sergio;goiás;9.89;3.02;goiás;coritiba;-#-#-#-#-#-#-#-#-
ZAG;Juan;internacional;9.87;1.60;chapecoense;internacional;5#16#0#0#2#5#0#1#0
LAT;Eduardo;atlético-pr;9.85;3.80;atlético-pr;palmeiras;
MEI;Leandro Donizete;atlético-mg;9.76;4.70;são paulo;atlético-mg;37#75#1#0#6#4#0#0#0
ZAG;Felipe;corinthians;9.74;5.70;vasco;corinthians;15#42#1#0#5#8#1#1#0
ZAG;Felipe Macedo;goiás;9.49;-1.80;goiás;coritiba;17#51#0#0#1#2#0#0#0
MEI;Wesley;sãopaulo;9.49;2.20;são paulo;atlético-mg;23#57#2#0#5#8#1#2#0
ZAG;Werley;santos;9.45;4.70;santos;flamengo;11#50#0#1#0#2#2#0#0
ATA;Zé Eduardo;goiás;9.30;-0.10;goiás;coritiba;24#35#0#1#10#16#3#11#0
TEC;Argel Fucks;internacional;9.20;4.90;chapecoense;internacional;-#-#-#-#-#-#-#-#-
ATA;Gabriel;santos;9.18;-2.10;santos;flamengo;38#66#2#4#19#18#7#28#0
TEC;Pachequinho;coritiba;9.05;3.12;goiás;coritiba;-#-#-#-#-#-#-#-#-
MEI;Carlos Alberto;figueirense;8.91;4.50;ponte preta;figueirense;39#18#0#0#7#9#2#3#0
LAT;Carlinhos;coritiba;8.80;7.00;goiás;coritiba;39#57#1#0#2#3#0#1#0
GOL;Alisson;internacional;8.73;10.70;chapecoense;internacional;2#11#0#0#0#0#0#0#0
MEI;Walace;grêmio;8.67;-0.60;grêmio;fluminense;24#105#1#0#5#9#0#0#0
LAT;Sidcley;atlético-pr;8.65;12.40;atlético-pr;palmeiras;22#66#0#1#3#7#2#1#0
ATA;Malcom;corinthians;8.60;-0.50;vasco;corinthians;49#77#3#2#16#12#5#5#0
MEI;Paulo Roberto;figueirense;8.53;0.00;ponte preta;figueirense;24#58#0#0#2#10#1#0#0
MEI;Juninho;figueirense;8.44;2.50;ponte preta;figueirense;9#24#0#0#2#0#0#0#0
MEI;Marquinhos Gabriel;santos;8.43;0.90;santos;flamengo;40#61#3#0#4#12#3#8#0
ATA;Lucas Barrios;palmeiras;8.40;-0.60;atlético-pr;palmeiras;6#16#1#1#5#3#4#8#0
MEI;Márcio Araújo;flamengo;8.19;6.40;santos;flamengo;
MEI;Anselmo;joinville;8.17;-1.20;avaí;joinville;26#79#1#1#4#12#0#0#0
LAT;William;internacional;8.13;5.90;chapecoense;internacional;28#75#2#0#2#1#0#3#0
MEI;Gabriel;flamengo;8.04;7.50;santos;flamengo;15#34#2#0#8#6#3#2#0
ZAG;Pedro Geromel;grêmio;8.01;4.60;grêmio;fluminense;19#45#0#1#0#5#0#4#0
