POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
ATA;Luan;grêmio;29.06;12.00;internacional;grêmio;100#92#7#2#25#26#9#16#0
MEI;Diego Souza;sport;26.60;0.00;sport;atlético-pr;42#125#9#0#14#17#8#6#0
ATA;Luan;atlético-mg;24.36;11.00;atlético-mg;goiás;24#96#4#0#6#16#6#10#0
ATA;Fred;fluminense;22.80;1.80;fluminense;avaí;59#59#5#2#13#13#8#8#1
ATA;Lucas Pratto;atlético-mg;21.93;1.70;atlético-mg;goiás;39#84#3#4#32#30#9#11#0
LAT;Rodinei;pontepreta;21.46;2.20;flamengo;ponte preta;42#83#4#1#4#7#0#4#0
GOL;Cássio;corinthians;20.44;1.00;corinthians;são paulo;2#17#0#0#0#0#0#0#0
GOL;Weverton;atlético-pr;20.20;-3.00;sport;atlético-pr;11#37#0#0#0#0#0#0#0
GOL;Marcelo Lomba;pontepreta;19.89;-2.00;flamengo;ponte preta;5#17#0#0#0#0#0#0#0
ATA;Paolo Guerrero;flamengo;19.83;0.20;flamengo;ponte preta;41#25#3#2#17#18#3#16#0
MEI;Everton;flamengo;19.58;0.00;flamengo;ponte preta;52#89#2#0#12#8#4#25#0
MEI;Jadson;corinthians;18.47;-0.50;corinthians;são paulo;18#181#12#2#19#11#13#3#0
ATA;Willian;cruzeiro;17.87;0.00;palmeiras;cruzeiro;44#65#3#1#17#24#10#16#1
MEI;D'Alessandro;internacional;17.84;-1.50;internacional;grêmio;32#64#3#0#2#6#0#3#1
ATA;Ricardo Oliveira;santos;17.71;-1.90;coritiba;santos;21#44#2#2#25#23#19#31#4
MEI;Dátolo;atlético-mg;17.55;9.90;atlético-mg;goiás;20#51#4#3#9#14#6#7#0
GOL;Renan;goiás;17.42;-6.00;atlético-mg;goiás;4#20#0#0#0#0#0#0#0
ZAG;Jemerson;atlético-mg;17.32;3.00;atlético-mg;goiás;12#49#0#0#3#13#4#3#0
TEC;Tite;corinthians;17.15;1.39;corinthians;são paulo;-#-#-#-#-#-#-#-#-
GOL;Marcelo Grohe;grêmio;17.08;5.00;internacional;grêmio;
ZAG;Wallace;flamengo;16.31;10.10;flamengo;ponte preta;33#69#1#1#6#6#1#1#0
GOL;Diego Cavalieri;fluminense;16.27;6.70;fluminense;avaí;3#14#0#0#0#0#0#0#0
ATA;Walter;atlético-pr;16.21;0.10;sport;atlético-pr;31#132#4#0#28#38#9#24#0
MEI;Élber;sport;15.91;0.00;sport;atlético-pr;24#46#1#0#8#7#5#3#0
GOL;Martín Silva;vasco;15.81;1.00;joinville;vasco;1#5#0#0#0#0#0#0#0
