POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
ZAG;Werley;santos;9.14;-1.7;santos;ponte preta;2#14#0#1#0#1#1#0#0
LAT;Marcelo Oliveira;grêmio;9.11;7.3;são paulo;grêmio;7#12#1#0#1#1#1#1#0
ATA;Paulinho;flamengo;9.01;-0.6;flamengo;chapecoense;
LAT;Dener Assunção;chapecoense;8.98;7.4;flamengo;chapecoense;10#28#0#0#0#1#0#0#0
ZAG;Gustavo;atlético-pr;8.97;3.5;atlético-pr;vasco;0#3#0#0#0#0#0#1#0
LAT;Samuel Xavier;sport;8.95;7.5;fluminense;sport;7#9#0#0#0#1#1#0#0
MEI;Lucas;vasco;8.91;0;atlético-pr;vasco;0#2#0#0#1#0#1#0#0
MEI;Régis;sport;8.71;-0.8;fluminense;sport;3#9#1#0#0#0#1#0#0
ZAG;Guti;joinville;8.66;0;joinville;corinthians;2#2#0#0#0#0#0#0#0
ZAG;David Braz;santos;8.62;-3.3;santos;ponte preta;4#30#0#0#0#3#0#0#0
TEC;Vinícius Eutrópio;chapecoense;8.53;6.09;flamengo;chapecoense;-#-#-#-#-#-#-#-#-
TEC;Marcelo Fernandes;santos;8.43;2.45;santos;ponte preta;-#-#-#-#-#-#-#-#-
ATA;Rafael Costa;joinville;8.42;3.4;joinville;corinthians;3#1#0#0#1#2#1#1#0
MEI;Carlos Alberto;figueirense;8.36;1.7;figueirense;palmeiras;5#4#0#0#1#1#1#0#0
ATA;Marcão;figueirense;8.34;0;figueirense;palmeiras;2#4#0#0#3#4#0#2#0
MEI;Canteros;flamengo;8.26;0;flamengo;chapecoense;3#13#0#0#1#3#1#0#0
ATA;Douglas Coutinho;atlético-pr;8.16;1.2;atlético-pr;vasco;1#11#0#0#4#2#2#5#0
MEI;Otávio;atlético-pr;8.12;4;atlético-pr;vasco;5#10#0#0#2#2#0#0#0
LAT;Norberto;coritiba;8.11;1.8;internacional;coritiba;10#12#1#0#1#0#0#1#0
LAT;Bruno;sãopaulo;8.11;1.2;são paulo;grêmio;4#12#1#0#0#1#0#0#0
TEC;Cristóvão Borges;flamengo;8.08;1.39;flamengo;chapecoense;-#-#-#-#-#-#-#-#-
