POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
GOL;Rogério Ceni;sãopaulo;28.20;0.00;são paulo;chapecoense;1#15#0#0#0#0#3#0#0
LAT;Zé Roberto;palmeiras;27.43;15.60;fluminense;palmeiras;23#26#3#0#6#8#2#0#0
ATA;Luan;grêmio;27.21;3.40;atlético-pr;grêmio;75#62#4#2#16#18#5#12#0
MEI;Diego Souza;sport;25.77;0.70;joinville;sport;33#101#5#0#10#15#6#6#0
ATA;Luan;atlético-mg;23.49;4.30;santos;atlético-mg;13#58#3#0#4#7#3#9#0
ATA;Fred;fluminense;22.71;-1.40;fluminense;palmeiras;45#42#3#1#12#11#6#6#0
GOL;Weverton;atlético-pr;22.55;7.70;atlético-pr;grêmio;10#24#0#0#0#0#0#0#0
ATA;Lucas Pratto;atlético-mg;22.51;4.40;santos;atlético-mg;32#64#1#4#24#25#7#10#0
GOL;Marcelo Lomba;pontepreta;22.15;13.00;goiás;ponte preta;4#14#0#0#0#0#0#0#0
LAT;Rodinei;pontepreta;22.10;2.20;goiás;ponte preta;23#65#4#1#3#7#0#3#0
MEI;Everton;flamengo;22.04;10.80;flamengo;coritiba;44#77#2#0#10#7#4#19#0
ZAG;Rodrigo;vasco;21.35;15.00;cruzeiro;vasco;26#72#0#0#15#15#1#2#0
GOL;Cássio;corinthians;21.34;8.00;internacional;corinthians;2#14#0#0#0#0#0#0#0
MEI;Edson;fluminense;20.82;-1.70;fluminense;palmeiras;33#56#0#1#3#15#2#2#0
ATA;Rafael Marques;palmeiras;19.46;12.70;fluminense;palmeiras;36#85#4#0#11#15#6#8#0
MEI;D'Alessandro;internacional;19.41;0.00;internacional;corinthians;20#50#2#0#2#4#0#1#1
ZAG;Gil;corinthians;18.90;7.20;internacional;corinthians;7#27#0#1#4#3#0#1#0
GOL;Renan;goiás;18.87;-3.50;goiás;ponte preta;4#13#0#0#0#0#0#0#0
ATA;Ricardo Oliveira;santos;18.50;1.70;santos;atlético-mg;13#33#2#2#20#20#15#18#4
ATA;Alexandre Pato;sãopaulo;18.29;21.10;são paulo;chapecoense;
GOL;Marcelo Grohe;grêmio;17.60;0.00;atlético-pr;grêmio;5#17#0#0#0#0#0#0#0
TEC;Tite;corinthians;17.55;6.88;internacional;corinthians;-#-#-#-#-#-#-#-#-
MEI;Jadson;corinthians;17.09;-2.50;internacional;corinthians;12#126#6#1#11#9#9#2#0
GOL;Martín Silva;vasco;17.08;9.00;cruzeiro;vasco;1#3#0#0#0#0#0#0#0
ATA;Willian;cruzeiro;16.97;8.90;cruzeiro;vasco;28#49#1#0#11#16#5#10#1
ATA;Walter;atlético-pr;16.85;0.70;atlético-pr;grêmio;26#105#4#0#19#27#7#16#0
