POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
ATA;Luan;grêmio;28.90;5.70;avaí;grêmio;31#31#3#1#5#4#1#5#0
MEI;Diego Souza;sport;28.15;-1.00;chapecoense;sport;12#22#0#0#3#4#3#3#0
GOL;Rogério Ceni;sãopaulo;27.96;0.00;palmeiras;são paulo;0#6#0#0#0#0#2#0#0
MEI;Renato Cajá;pontepreta;27.75;-3.10;ponte preta;atlético-pr;6#45#2#2#8#10#4#2#0
MEI;D'Alessandro;internacional;27.00;0.00;internacional;santos;0#0#0#0#0#0#0#0#0
ATA;Fred;fluminense;26.31;6.80;goiás;fluminense;22#16#2#0#7#3#3#2#0
ATA;Lucas Pratto;atlético-mg;23.37;8.10;atlético-mg;joinville;5#15#1#2#8#5#2#2#0
MEI;Edson;fluminense;22.95;4.20;goiás;fluminense;15#24#0#1#1#5#0#1#0
LAT;Rodinei;pontepreta;22.59;0.60;ponte preta;atlético-pr;8#14#4#0#1#2#0#2#0
ATA;Leandro Damião;cruzeiro;22.56;1.50;coritiba;cruzeiro;11#12#1#0#3#5#2#1#0
GOL;Renan;goiás;21.75;2.00;goiás;fluminense;2#3#0#0#0#0#0#0#0
MEI;Everton;flamengo;21.66;-0.50;vasco;flamengo;10#24#0#0#3#4#2#11#0
GOL;Cássio;corinthians;20.61;1.00;corinthians;figueirense;1#7#0#0#0#0#0#0#0
MEI;Souza;sãopaulo;20.16;12.90;palmeiras;são paulo;7#14#0#0#1#5#2#1#0
ATA;Walter;atlético-pr;19.97;10.80;ponte preta;atlético-pr;6#38#2#0#7#11#2#6#0
ZAG;Jemerson;atlético-mg;19.54;9.90;atlético-mg;joinville;2#6#0#0#1#1#2#0#0
GOL;Marcelo Lomba;pontepreta;19.46;2.00;ponte preta;atlético-pr;1#2#0#0#0#0#0#0#0
ZAG;Marlon;fluminense;19.42;6.20;goiás;fluminense;0#0#1#0#0#0#0#0#0
ZAG;Rodrigo;vasco;19.37;0.60;vasco;flamengo;8#29#0#0#7#2#1#0#0
ZAG;Gil;corinthians;19.26;0.50;corinthians;figueirense;
ZAG;Vitor Hugo;palmeiras;18.80;2.20;palmeiras;são paulo;5#13#0#1#3#4#2#0#0
ATA;Ricardo Oliveira;santos;18.36;8.10;internacional;santos;4#13#0#1#5#7#4#8#1
ATA;Geuvânio;santos;18.06;2.00;internacional;santos;12#17#0#0#4#8#2#2#0
ATA;Nilmar;internacional;17.94;0.00;internacional;santos;8#8#0#0#0#3#3#1#0
ATA;Rafael Marques;palmeiras;17.60;2.10;palmeiras;são paulo;12#29#0#0#5#6#3#1#0
MEI;Dátolo;atlético-mg;17.49;-0.40;atlético-mg;joinville;2#13#0#1#2#3#2#0#0
ATA;Willian;cruzeiro;16.89;3.90;coritiba;cruzeiro;14#22#1#0#4#7#0#4#0
LAT;Wellington Silva;fluminense;16.88;13.30;goiás;fluminense;4#19#0#0#0#2#1#0#0
ATA;Luis Fabiano;sãopaulo;16.63;0.00;palmeiras;são paulo;4#13#1#1#2#6#2#3#0
MEI;Jadson;corinthians;16.60;-2.70;corinthians;figueirense;6#43#1#0#6#3#2#1#0
LAT;Natanael;atlético-pr;16.56;2.00;ponte preta;atlético-pr;6#29#0#0#0#3#0#0#0
LAT;Giovanni;fluminense;16.08;8.00;goiás;fluminense;3#20#0#0#2#3#0#0#0
GOL;Diego Cavalieri;fluminense;15.88;11.50;goiás;fluminense;1#3#0#0#0#0#0#0#0
TEC;Tite;corinthians;15.69;0.93;corinthians;figueirense;-#-#-#-#-#-#-#-#-
MEI;Guiñazu;vasco;15.51;0.60;vasco;flamengo;12#9#0#0#0#1#0#0#0
GOL;Victor;atlético-mg;15.45;7.90;atlético-mg;joinville;2#6#0#0#0#0#0#0#0
MEI;Fernando Bob;pontepreta;15.22;0.80;ponte preta;atlético-pr;11#25#0#0#0#2#0#0#0
TEC;Levir Culpi;atlético-mg;15.06;4.68;atlético-mg;joinville;-#-#-#-#-#-#-#-#-
MEI;Marcos Guilherme;atlético-pr;14.95;0.00;ponte preta;atlético-pr;3#1#1#0#0#1#0#0#0
MEI;Rithely;sport;14.86;3.90;chapecoense;sport;
MEI;Giuliano;grêmio;14.68;-0.40;avaí;grêmio;6#21#2#0#2#2#3#1#0
MEI;Camilo;chapecoense;14.44;7.90;chapecoense;sport;6#21#1#0#1#3#1#3#0
LAT;Edílson;corinthians;14.31;3.60;corinthians;figueirense;5#11#1#1#1#0#0#0#0
MEI;Ganso;sãopaulo;14.31;-1.20;palmeiras;são paulo;8#19#1#0#1#4#0#0#0
ZAG;Dória;sãopaulo;14.25;0.00;palmeiras;são paulo;4#18#0#0#1#3#1#0#0
LAT;Gilson;pontepreta;13.99;2.00;ponte preta;atlético-pr;14#21#0#0#1#1#0#2#0
MEI;Vinícius;fluminense;13.91;9.70;goiás;fluminense;6#21#0#1#2#6#3#0#0
ZAG;Gum;fluminense;13.91;0.00;goiás;fluminense;3#18#0#0#2#2#0#0#0
MEI;Jean;fluminense;13.90;-0.70;goiás;fluminense;2#29#0#0#4#3#1#0#0
MEI;Willians;cruzeiro;13.72;0.00;coritiba;cruzeiro;7#14#0#0#0#2#0#0#0
ZAG;Wallace;flamengo;13.70;1.20;vasco;flamengo;10#25#0#0#4#4#0#0#0
LAT;Victor Ferraz;santos;13.66;6.10;internacional;santos;2#25#1#0#1#0#0#0#0
ZAG;Matheus Ferraz;sport;13.54;0.00;chapecoense;sport;5#18#0#0#1#3#1#0#0
ATA;Marquinhos;cruzeiro;13.50;5.40;coritiba;cruzeiro;10#27#2#0#2#9#1#3#0
TEC;Enderson Moreira;fluminense;13.35;6.14;goiás;fluminense;-#-#-#-#-#-#-#-#-
ZAG;Leonardo Silva;atlético-mg;13.23;3.50;atlético-mg;joinville;6#16#1#0#0#2#0#1#0
ATA;Bruno Henrique;goiás;13.19;1.60;goiás;fluminense;21#19#0#0#7#9#2#2#0
ATA;Ananias;chapecoense;13.12;0.00;chapecoense;sport;19#17#1#0#3#1#1#0#0
GOL;Fernando Prass;palmeiras;13.11;4.00;palmeiras;são paulo;4#4#0#0#0#0#0#0#0
MEI;Elicarlos;chapecoense;13.08;1.70;chapecoense;sport;
ZAG;Thiago Heleno;figueirense;13.01;0.00;corinthians;figueirense;0#3#0#0#0#1#0#0#0
ATA;Biro Biro;pontepreta;12.89;0.00;ponte preta;atlético-pr;18#25#0#0#7#6#2#3#0
GOL;Danilo;chapecoense;12.77;2.70;chapecoense;sport;2#9#0#0#0#0#0#0#0
GOL;Alex Muralha;figueirense;12.76;0.00;corinthians;figueirense;1#3#0#0#0#0#0#0#0
ZAG;Durval;sport;12.65;-0.10;chapecoense;sport;4#22#0#0#2#0#0#1#0
TEC;Guto Ferreira;pontepreta;12.62;1.20;ponte preta;atlético-pr;-#-#-#-#-#-#-#-#-
ATA;Dudu;palmeiras;12.60;-1.00;palmeiras;são paulo;11#25#1#0#3#2#0#5#0
ATA;Diego Oliveira;pontepreta;12.54;3.20;ponte preta;atlético-pr;17#14#0#0#3#3#2#0#0
MEI;Gerson;fluminense;12.45;-2.40;goiás;fluminense;13#23#1#0#4#3#0#3#0
TEC;Juan Carlos Osorio;sãopaulo;12.32;2.05;palmeiras;são paulo;-#-#-#-#-#-#-#-#-
MEI;Renato Augusto;corinthians;12.28;0.70;corinthians;figueirense;11#23#0#1#4#4#0#1#0
LAT;Madson;vasco;12.27;-1.50;vasco;flamengo;13#24#0#0#1#1#0#1#0
TEC;Milton Mendes;atlético-pr;12.10;4.05;ponte preta;atlético-pr;-#-#-#-#-#-#-#-#-
MEI;Gabriel;palmeiras;11.90;-2.80;palmeiras;são paulo;11#16#0#0#1#4#1#0#0
ATA;Thiago Ribeiro;atlético-mg;11.83;1.80;atlético-mg;joinville;1#17#0#0#4#6#2#1#0
TEC;Diego Aguirre;internacional;11.62;0.00;internacional;santos;-#-#-#-#-#-#-#-#-
ZAG;Rafael Toloi;sãopaulo;11.59;3.10;palmeiras;são paulo;1#8#0#0#0#0#0#0#0
MEI;Henrique;cruzeiro;11.57;-0.90;coritiba;cruzeiro;7#10#0#0#2#2#1#0#0
ZAG;Edu Dracena;corinthians;11.50;0.00;corinthians;figueirense;1#8#0#0#0#2#0#3#0
ZAG;Rafael Lima;chapecoense;11.39;8.10;chapecoense;sport;
ZAG;Werley;santos;11.25;8.00;internacional;santos;3#20#0#1#0#1#1#0#0
ATA;Lisandro López;internacional;11.22;0.00;internacional;santos;3#4#0#1#2#1#0#4#0
TEC;Eduardo Baptista;sport;11.16;2.70;chapecoense;sport;-#-#-#-#-#-#-#-#-
MEI;Anderson;internacional;11.05;0.00;internacional;santos;8#26#0#0#1#1#0#0#0
MEI;Jonas;flamengo;11.01;0.00;vasco;flamengo;12#7#0#0#0#2#0#0#0
LAT;Egídio;palmeiras;10.98;1.10;palmeiras;são paulo;11#44#0#0#3#2#0#1#0
LAT;Dener Assunção;chapecoense;10.95;8.10;chapecoense;sport;14#40#0#0#1#3#0#1#0
MEI;Felipe Menezes;goiás;10.90;2.90;goiás;fluminense;9#35#3#0#7#3#0#0#0
ATA;André Lima;avaí;10.90;7.10;avaí;grêmio;5#9#1#0#1#3#2#0#0
MEI;Wendel;sport;10.90;8.40;chapecoense;sport;8#9#0#0#0#6#1#0#0
ATA;Erik;goiás;10.84;0.00;goiás;fluminense;2#4#0#0#2#1#0#0#0
ZAG;Marquinhos;figueirense;10.82;0.00;corinthians;figueirense;4#8#1#0#1#1#2#2#0
TEC;Roger Machado;grêmio;10.76;3.05;avaí;grêmio;-#-#-#-#-#-#-#-#-
TEC;Vanderlei Luxemburgo;cruzeiro;10.76;1.06;coritiba;cruzeiro;-#-#-#-#-#-#-#-#-
ZAG;David Braz;santos;10.69;5.50;internacional;santos;5#40#0#0#0#3#0#1#0
LAT;Lucas;palmeiras;10.53;1.30;palmeiras;são paulo;7#11#0#0#1#2#0#2#0
MEI;Patrick;goiás;10.38;1.40;goiás;fluminense;16#7#0#0#1#3#0#0#0
LAT;Apodi;chapecoense;10.25;5.90;chapecoense;sport;11#24#0#0#5#1#1#2#0
MEI;Bruno Silva;chapecoense;10.19;2.50;chapecoense;sport;5#16#0#0#2#3#1#3#0
MEI;Otávio;atlético-pr;10.19;9.50;ponte preta;atlético-pr;
GOL;Fábio;cruzeiro;10.18;-2.00;coritiba;cruzeiro;2#1#0#0#0#0#0#0#0
MEI;Marcelinho Paraíba;joinville;10.16;10.00;atlético-mg;joinville;5#24#1#0#3#2#1#1#0
MEI;Lucas Lima;santos;10.02;0.00;internacional;santos;14#33#2#0#1#1#0#0#0
ZAG;Felipe Macedo;goiás;9.91;-3.30;goiás;fluminense;8#12#0#0#0#0#0#0#0
MEI;Nikão;atlético-pr;9.82;0.00;ponte preta;atlético-pr;6#12#1#0#0#0#3#1#0
MEI;Marcos Aurélio;coritiba;9.74;11.90;coritiba;cruzeiro;2#8#2#0#1#2#0#0#0
LAT;Carlinhos;sãopaulo;9.59;-1.60;palmeiras;são paulo;8#18#0#0#2#1#0#1#0
TEC;Celso Roth;vasco;9.59;0.00;vasco;flamengo;-#-#-#-#-#-#-#-#-
TEC;Marcelo Fernandes;santos;9.57;4.89;internacional;santos;-#-#-#-#-#-#-#-#-
LAT;Uendel;corinthians;9.57;-2.40;corinthians;figueirense;1#2#0#0#0#0#0#0#0
TEC;Marcelo Oliveira;palmeiras;9.53;0.68;palmeiras;são paulo;-#-#-#-#-#-#-#-#-
LAT;Mayke;cruzeiro;9.39;-0.60;coritiba;cruzeiro;2#15#0#0#1#0#0#0#0
MEI;Rodrigo;goiás;9.24;8.20;goiás;fluminense;6#9#0#0#2#1#1#0#0
ZAG;Gustavo;atlético-pr;9.18;-0.80;ponte preta;atlético-pr;1#7#0#1#0#1#0#1#0
MEI;Robinho;palmeiras;9.12;-1.40;palmeiras;são paulo;3#12#0#0#2#1#0#0#0
ATA;Emerson;flamengo;9.10;-0.40;vasco;flamengo;6#6#0#0#0#0#0#1#0
ZAG;Guti;joinville;8.98;0.90;atlético-mg;joinville;5#6#0#0#0#0#0#0#0
LAT;Eduardo;atlético-pr;8.90;0.30;ponte preta;atlético-pr;7#36#0#0#1#2#0#0#0
TEC;Cristóvão Borges;flamengo;8.85;1.05;vasco;flamengo;-#-#-#-#-#-#-#-#-
ATA;Maikon Leite;sport;8.70;7.30;chapecoense;sport;
MEI;Douglas;grêmio;8.63;-0.20;avaí;grêmio;3#14#1#0#1#2#0#0#0
MEI;Ricardinho;figueirense;8.58;0.00;corinthians;figueirense;6#10#2#0#0#1#0#1#0
MEI;Marquinhos Gabriel;santos;8.58;7.20;internacional;santos;2#5#0#0#0#1#0#1#0
TEC;Vinícius Eutrópio;chapecoense;8.53;3.69;chapecoense;sport;-#-#-#-#-#-#-#-#-
GOL;Vladimir;santos;8.31;6.00;internacional;santos;1#4#0#0#0#0#0#0#0
MEI;Walace;grêmio;8.27;-4.20;avaí;grêmio;7#22#0#0#2#1#0#0#0
ZAG;Ernando;internacional;8.27;0.00;internacional;santos;2#2#0#0#1#0#0#0#0
ATA;Riascos;vasco;8.08;9.70;vasco;flamengo;6#7#0#0#2#4#1#0#0
ZAG;Rhodolfo;grêmio;8.04;4.90;avaí;grêmio;0#11#0#0#0#2#1#1#0
ZAG;Vilches;atlético-pr;8.00;0.00;ponte preta;atlético-pr;0#0#0#0#0#0#0#0#0
ZAG;Pablo;pontepreta;8.00;0.00;ponte preta;atlético-pr;6#8#0#0#1#1#0#0#0
LAT;Bruno;sãopaulo;7.96;-1.30;palmeiras;são paulo;6#27#1#0#0#1#0#0#0
ATA;Jorge Henrique;internacional;7.95;0.00;internacional;santos;3#2#0#0#0#0#0#0#0
ATA;Eduardo Da Silva;flamengo;7.94;0.00;vasco;flamengo;2#3#1#0#0#2#2#2#0
LAT;Samuel Xavier;sport;7.79;-2.30;chapecoense;sport;9#19#0#0#0#1#1#0#0
TEC;Augusto César;goiás;7.78;0.00;goiás;fluminense;-#-#-#-#-#-#-#-#-
GOL;Danilo Fernandes;sport;7.69;-2.30;chapecoense;sport;2#4#0#0#0#0#0#0#0
ZAG;Samir;flamengo;7.61;-4.70;vasco;flamengo;5#3#0#0#0#4#0#0#0
ATA;Vagner Love;corinthians;7.59;-0.50;corinthians;figueirense;5#9#0#0#0#2#1#3#0
ZAG;Manoel;cruzeiro;7.47;-0.10;coritiba;cruzeiro;
ATA;André;sport;7.46;13.90;chapecoense;sport;2#5#0#1#0#0#1#1#0
ATA;Kempes;joinville;7.46;22.00;atlético-mg;joinville;5#10#0#0#4#5#2#4#0
LAT;Cereceda;figueirense;7.45;0.00;corinthians;figueirense;4#17#0#0#0#1#0#0#0
ATA;Edmílson;chapecoense;7.43;-1.00;chapecoense;sport;4#7#0#0#3#5#0#1#0
LAT;Rafael Forster;goiás;7.38;2.60;goiás;fluminense;6#24#0#0#1#0#0#0#0
ATA;Clayton;figueirense;7.30;0.00;corinthians;figueirense;8#22#1#0#2#2#0#9#0
ZAG;Paulo André;cruzeiro;7.30;0.00;coritiba;cruzeiro;0#4#0#0#0#0#0#0#0
ZAG;Alan Costa;internacional;7.15;0.00;internacional;santos;0#5#0#0#0#2#0#0#0
ATA;Malcom;corinthians;7.05;0.00;corinthians;figueirense;6#5#0#0#1#0#0#0#0
ATA;Kleber;coritiba;7.00;0.00;coritiba;cruzeiro;0#0#0#0#0#0#0#0#0
LAT;Anderson Pico;flamengo;6.95;0.00;vasco;flamengo;2#14#0#0#1#0#0#0#0
ATA;Gabriel;santos;6.92;0.90;internacional;santos;4#12#0#0#2#4#0#3#0
MEI;Serginho;vasco;6.92;7.60;vasco;flamengo;3#12#1#0#0#1#0#0#0
MEI;Maicosuel;atlético-mg;6.88;1.40;atlético-mg;joinville;3#5#1#0#1#0#0#0#0
MEI;Emanuel Biancucchi;vasco;6.77;-2.20;vasco;flamengo;7#6#0#0#2#3#0#0#0
LAT;Douglas Santos;atlético-mg;6.76;6.60;atlético-mg;joinville;3#11#0#0#1#3#0#0#0
MEI;Hélder;coritiba;6.70;-0.30;coritiba;cruzeiro;9#16#0#2#3#2#0#1#0
ATA;Marcão;figueirense;6.69;0.00;corinthians;figueirense;5#9#0#0#3#5#0#7#0
TEC;Argel Fucks;figueirense;6.61;0.00;corinthians;figueirense;-#-#-#-#-#-#-#-#-
ZAG;Pedro Geromel;grêmio;6.21;4.10;avaí;grêmio;
GOL;Tiago;grêmio;6.16;10.10;avaí;grêmio;0#5#0#0#0#0#0#0#0
LAT;Ivan;coritiba;6.13;0.00;coritiba;cruzeiro;7#11#0#0#0#2#0#0#0
TEC;Adilson Batista;joinville;6.01;3.87;atlético-mg;joinville;-#-#-#-#-#-#-#-#-
MEI;Rafael Carioca;atlético-mg;5.84;-0.60;atlético-mg;joinville;8#15#0#0#0#2#0#0#0
ZAG;Luccas Claro;coritiba;5.78;1.10;coritiba;cruzeiro;1#10#0#0#2#1#0#0#0
MEI;Esquerdinha;coritiba;5.72;0.70;coritiba;cruzeiro;2#5#0#0#1#1#0#0#0
MEI;Maicon;grêmio;5.70;7.90;avaí;grêmio;4#28#0#0#3#1#1#1#0
MEI;Renan;avaí;5.68;0.00;avaí;grêmio;12#10#0#0#0#1#0#0#0
MEI;Thiago Mendes;sãopaulo;5.60;-0.40;palmeiras;são paulo;15#20#2#0#2#2#0#3#0
TEC;Ney Franco;coritiba;5.52;1.88;coritiba;cruzeiro;-#-#-#-#-#-#-#-#-
LAT;Renê;sport;5.35;0.70;chapecoense;sport;4#40#2#0#2#0#0#0#0
TEC;Gilson Kleina;avaí;5.35;0.44;avaí;grêmio;-#-#-#-#-#-#-#-#-
ATA;Leandro Pereira;palmeiras;5.32;0.00;palmeiras;são paulo;3#3#0#0#1#2#0#1#0
ATA;Felipe Azevedo;pontepreta;5.30;2.10;ponte preta;atlético-pr;12#27#0#0#1#2#1#0#0
MEI;Lucas Otávio;santos;5.28;3.00;internacional;santos;6#15#0#0#0#1#0#0#0
MEI;Alan Patrick;flamengo;5.17;0.20;vasco;flamengo;3#3#0#0#2#0#0#0#0
ATA;Anderson Lopes;avaí;5.15;0.90;avaí;grêmio;12#15#2#0#3#2#2#6#0
LAT;Leandro Silva;figueirense;5.12;0.00;corinthians;figueirense;4#18#0#0#0#1#0#0#0
GOL;Vagner;avaí;5.08;1.50;avaí;grêmio;1#4#0#0#0#0#0#0#0
MEI;Giovanni Augusto;atlético-mg;5.07;-0.70;atlético-mg;joinville;
MEI;Rodrigo Dourado;internacional;5.06;0.00;internacional;santos;1#7#1#0#0#2#0#1#0
MEI;Thiago Galhardo;coritiba;5.06;0.00;coritiba;cruzeiro;8#14#0#0#2#2#1#3#0
ZAG;Douglas Silva;joinville;5.04;0.20;atlético-mg;joinville;1#1#0#0#0#0#0#0#0
GOL;Alisson Becker;internacional;4.97;0.00;internacional;santos;0#0#0#0#0#0#0#0#0
MEI;Rosinei;coritiba;4.93;0.00;coritiba;cruzeiro;2#8#0#0#0#1#0#0#0
MEI;Wagner;fluminense;4.91;1.30;goiás;fluminense;9#28#0#0#1#2#0#0#0
