POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
MEI;Diego Souza;sport;31.39;0.50;sport;goiás;6#8#0#0#2#1#3#1#0
MEI;Renato Cajá;pontepreta;30.25;14.90;vasco;ponte preta;2#18#1#1#7#5#3#2#0
LAT;Zé Roberto;palmeiras;30.22;22.30;palmeiras;internacional;5#8#1#0#3#1#1#0#0
ATA;Luan;atlético-mg;29.35;9.90;avaí;atlético-mg;3#14#2#0#2#2#1#1#0
ATA;Luan;grêmio;27.95;0.80;grêmio;corinthians;15#17#2#1#3#1#0#1#0
ATA;Fred;fluminense;27.67;16.20;fluminense;coritiba;9#5#0#0#3#3#3#0#0
GOL;Rogério Ceni;sãopaulo;27.18;11.00;são paulo;santos;0#4#0#0#0#0#0#0#0
MEI;Everton;flamengo;24.01;1.00;cruzeiro;flamengo;8#12#0#0#3#3#2#9#0
GOL;Cássio;corinthians;23.36;8.00;grêmio;corinthians;0#4#0#0#0#0#0#0#0
GOL;Renan;goiás;23.27;7.20;sport;goiás;2#2#0#0#0#0#0#0#0
ATA;Lucas Pratto;atlético-mg;22.79;8.60;avaí;atlético-mg;2#9#1#1#5#4#0#1#0
GOL;Weverton;atlético-pr;22.77;1.60;atlético-pr;figueirense;6#3#0#0#0#0#0#0#0
LAT;Rodinei;pontepreta;21.87;3.80;vasco;ponte preta;8#8#3#0#1#1#0#1#0
ATA;Leandro Damião;cruzeiro;21.83;2.20;cruzeiro;flamengo;3#2#0#0#0#3#0#0#0
MEI;Edson;fluminense;21.73;1.30;fluminense;coritiba;7#11#0#1#1#2#0#1#0
ATA;Rafhael Lucas;coritiba;20.80;3.40;fluminense;coritiba;4#7#0#0#4#3#1#3#0
ZAG;Jemerson;atlético-mg;20.35;8.40;avaí;atlético-mg;2#1#0#0#1#0#2#0#0
ZAG;Gil;corinthians;19.39;-3.80;grêmio;corinthians;1#3#0#0#0#0#0#1#0
MEI;Élber;sport;19.12;1.50;sport;goiás;11#9#0#0#3#0#1#0#0
ATA;Yuri Mamute;grêmio;19.02;0.70;grêmio;corinthians;
ATA;Walter;atlético-pr;18.37;0.00;atlético-pr;figueirense;5#16#0#0#4#3#1#3#0
ZAG;Vitor Hugo;palmeiras;18.19;8.50;palmeiras;internacional;4#3#0#0#2#2#1#0#0
ATA;Rafael Marques;palmeiras;17.85;7.60;palmeiras;internacional;2#7#0#0#1#2#2#0#0
ATA;Geuvânio;santos;17.50;2.30;são paulo;santos;6#8#0#0#3#5#1#1#0
GOL;Oliveira;joinville;17.39;2.50;chapecoense;joinville;2#7#0#0#0#0#0#0#0
ZAG;Luan;vasco;17.28;3.30;vasco;ponte preta;7#14#0#0#1#0#0#0#0
MEI;Souza;sãopaulo;17.06;1.90;são paulo;santos;4#2#0#0#1#2#0#1#0
MEI;Jadson;corinthians;17.05;2.40;grêmio;corinthians;4#11#1#0#3#2#0#1#0
GOL;Victor;atlético-mg;16.40;4.70;avaí;atlético-mg;0#4#0#0#0#0#0#0#0
GOL;Marcelo Lomba;pontepreta;16.39;4.00;vasco;ponte preta;1#0#0#0#0#0#0#0#0
MEI;Marquinhos;avaí;16.29;0.00;avaí;atlético-mg;3#20#0#1#0#2#1#0#0
MEI;Ganso;sãopaulo;16.18;0.00;são paulo;santos;6#12#1#0#1#2#0#0#0
LAT;Fábio Santos;corinthians;16.14;-0.10;grêmio;corinthians;8#9#0#0#0#0#1#1#0
ATA;Nilmar;internacional;16.04;0.00;palmeiras;internacional;2#2#0#0#0#1#1#0#0
TEC;Tite;corinthians;15.83;1.73;grêmio;corinthians;-#-#-#-#-#-#-#-#-
MEI;Guiñazu;vasco;15.75;5.80;vasco;ponte preta;8#4#0#0#0#1#0#0#0
LAT;Natanael;atlético-pr;15.74;-1.80;atlético-pr;figueirense;3#11#0#0#0#2#0#0#0
ATA;Joelinton;sport;15.70;11.80;sport;goiás;5#5#1#0#4#2#1#0#0
MEI;Fernando Bob;pontepreta;15.30;5.90;vasco;ponte preta;6#9#0#0#0#1#0#0#0
TEC;Levir Culpi;atlético-mg;15.29;8.49;avaí;atlético-mg;
