POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
ATA;Luan;grêmio;26.98;0.50;joinville;grêmio;108#96#7#2#25#26#10#17#0
MEI;Diego Souza;sport;26.09;6.30;ponte preta;sport;45#139#9#0#14#19#9#8#0
LAT;Zé Roberto;palmeiras;24.83;5.30;flamengo;palmeiras;30#42#4#0#8#10#2#3#0
ATA;Luan;atlético-mg;23.87;6.60;atlético-mg;chapecoense;27#105#4#0#9#18#7#11#0
ATA;Lucas Pratto;atlético-mg;21.86;0.90;atlético-mg;chapecoense;41#90#3#5#34#32#10#11#0
GOL;Cássio;corinthians;20.47;0.70;corinthians;avaí;2#19#0#0#0#0#0#0#0
ZAG;Rodrigo;vasco;20.28;5.10;coritiba;vasco;47#89#0#0#18#21#4#2#0
MEI;Edson;fluminense;19.79;-0.40;figueirense;fluminense;38#66#0#1#3#17#2#2#0
ATA;Geuvânio;santos;19.17;21.10;santos;atlético-pr;38#68#3#0#16#19#6#9#0
ZAG;Jemerson;atlético-mg;18.36;8.90;atlético-mg;chapecoense;13#55#0#1#4#14#4#3#0
GOL;Renan;goiás;18.34;1.00;goiás;são paulo;4#21#0#0#0#0#0#0#0
ZAG;Gil;corinthians;17.86;0.70;corinthians;avaí;11#40#1#1#5#6#1#1#0
ATA;Willian;cruzeiro;17.72;4.70;internacional;cruzeiro;54#74#4#1#21#30#11#17#1
TEC;Tite;corinthians;17.24;1.94;corinthians;avaí;-#-#-#-#-#-#-#-#-
GOL;Martín Silva;vasco;16.63;5.00;coritiba;vasco;1#5#0#0#0#0#0#0#0
ATA;Vitinho;internacional;16.47;12.90;internacional;cruzeiro;34#115#2#0#14#31#11#8#0
ATA;Walter;atlético-pr;16.06;1.00;santos;atlético-pr;33#147#4#0#30#44#9#29#0
GOL;Victor;atlético-mg;15.84;10.70;atlético-mg;chapecoense;6#27#0#0#0#0#0#0#0
ZAG;Leonardo Silva;atlético-mg;15.81;14.20;atlético-mg;chapecoense;34#72#1#1#8#14#3#5#0
TEC;Diogo Giacomini;atlético-mg;15.60;8.14;atlético-mg;chapecoense;
LAT;Marcos Rocha;atlético-mg;15.50;10.10;atlético-mg;chapecoense;16#105#3#0#5#4#2#1#0
MEI;Élber;sport;15.32;-2.30;ponte preta;sport;31#58#1#0#10#9#5#5#0
ATA;Alexandre Pato;sãopaulo;15.25;0.00;goiás;são paulo;69#106#6#2#19#16#9#15#0
MEI;Ganso;sãopaulo;14.81;5.10;goiás;são paulo;53#115#9#2#9#17#2#6#0
ZAG;Wallace;flamengo;14.78;1.60;flamengo;palmeiras;36#77#1#1#6#6#1#1#0
MEI;Giuliano;grêmio;14.63;2.40;joinville;grêmio;31#130#7#0#10#14#6#3#0
TEC;Dorival Júnior;santos;14.51;4.93;santos;atlético-pr;-#-#-#-#-#-#-#-#-
MEI;Arrascaeta;cruzeiro;14.36;-1.30;internacional;cruzeiro;29#57#1#0#16#12#4#3#0
ATA;Bruno Henrique;goiás;14.34;2.00;goiás;são paulo;90#83#7#0#25#28#7#15#0
ZAG;Matheus Ferraz;sport;14.34;4.00;ponte preta;sport;16#66#0#1#3#5#5#0#0
LAT;Wellington Silva;fluminense;14.26;1.20;figueirense;fluminense;40#123#0#0#0#9#1#4#0
ATA;Gabriel;santos;14.13;25.60;santos;atlético-pr;43#75#4#4#21#21#9#30#0
ZAG;Durval;sport;14.11;10.80;ponte preta;sport;19#93#1#0#4#4#0#5#0
MEI;Willians;cruzeiro;13.91;1.30;internacional;cruzeiro;65#87#3#0#5#9#1#2#0
TEC;Falcão;sport;13.82;4.39;ponte preta;sport;-#-#-#-#-#-#-#-#-
LAT;Victor Ferraz;santos;13.71;0.20;santos;atlético-pr;11#79#5#0#3#4#1#1#0
LAT;Marcelo Oliveira;grêmio;13.57;17.40;joinville;grêmio;50#81#4#1#6#8#2#2#0
TEC;Mano Menezes;cruzeiro;13.38;1.87;internacional;cruzeiro;-#-#-#-#-#-#-#-#-
GOL;Danilo Fernandes;sport;13.29;8.00;ponte preta;sport;6#24#0#0#0#0#0#0#0
ZAG;Luan;vasco;13.24;3.20;coritiba;vasco;
GOL;Alex Muralha;figueirense;13.18;8.00;figueirense;fluminense;3#15#0#0#0#0#0#0#0
ATA;Nenê;vasco;13.10;-0.30;coritiba;vasco;58#104#4#1#15#20#9#2#0
ATA;Thiago Ribeiro;atlético-mg;13.10;7.50;atlético-mg;chapecoense;23#85#2#0#13#19#9#9#0
TEC;Milton Cruz;sãopaulo;12.85;5.25;goiás;são paulo;-#-#-#-#-#-#-#-#-
MEI;Michel Bastos;sãopaulo;12.76;1.70;goiás;são paulo;13#123#0#1#8#32#7#14#0
LAT;Uendel;corinthians;12.71;4.00;corinthians;avaí;4#32#4#0#0#2#2#1#0
TEC;Roger Machado;grêmio;12.70;5.76;joinville;grêmio;-#-#-#-#-#-#-#-#-
ATA;Vagner Love;corinthians;12.57;6.00;corinthians;avaí;55#60#2#0#14#18#14#13#0
LAT;Carlinhos;sãopaulo;12.55;10.20;goiás;são paulo;26#57#3#0#9#13#2#5#0
MEI;Nikão;atlético-pr;12.51;0.00;santos;atlético-pr;48#76#7#1#7#4#4#6#0
LAT;Gilson;pontepreta;12.40;-0.60;ponte preta;sport;43#98#2#0#3#5#0#6#0
TEC;Guto Ferreira;chapecoense;12.38;1.76;atlético-mg;chapecoense;-#-#-#-#-#-#-#-#-
MEI;Camilo;chapecoense;12.32;2.60;atlético-mg;chapecoense;41#97#3#1#8#22#3#11#0
TEC;Marcelo Oliveira;palmeiras;12.27;3.69;flamengo;palmeiras;-#-#-#-#-#-#-#-#-
ATA;Erik;goiás;12.14;0.20;goiás;são paulo;26#49#2#2#8#8#10#9#0
LAT;Madson;vasco;12.06;6.50;coritiba;vasco;53#113#1#0#1#3#0#4#0
MEI;Otávio;atlético-pr;12.04;5.00;santos;atlético-pr;35#66#1#0#9#15#0#0#0
ZAG;Thiago Heleno;figueirense;12.03;7.80;figueirense;fluminense;15#57#0#1#0#8#0#2#0
ATA;Ananias;chapecoense;11.92;2.20;atlético-mg;chapecoense;46#55#1#0#13#11#3#3#0
GOL;Wilson;coritiba;11.65;8.00;coritiba;vasco;
ATA;Lisandro López;internacional;11.60;7.60;internacional;cruzeiro;31#34#2#3#10#14#4#16#0
MEI;Elicarlos;chapecoense;11.60;4.30;atlético-mg;chapecoense;39#61#0#0#0#3#1#0#0
LAT;Fagner;corinthians;11.51;-1.50;corinthians;avaí;22#80#2#0#1#4#0#3#0
TEC;Eduardo Baptista;fluminense;11.50;0.20;figueirense;fluminense;-#-#-#-#-#-#-#-#-
MEI;Patrick;goiás;11.40;5.40;goiás;são paulo;43#54#1#0#2#8#0#0#0
MEI;Elias;corinthians;11.39;-0.80;corinthians;avaí;30#87#6#0#2#6#4#0#0
LAT;Rafael Galhardo;grêmio;11.38;5.50;joinville;grêmio;38#155#2#2#13#16#2#6#0
ATA;Alecsandro;palmeiras;11.28;-0.90;flamengo;palmeiras;26#38#3#0#12#8#3#13#0
MEI;Ralf;corinthians;11.26;-0.50;corinthians;avaí;35#52#1#0#2#2#1#0#0
TEC;Pachequinho;coritiba;11.20;3.19;coritiba;vasco;-#-#-#-#-#-#-#-#-
TEC;Felipe Moreira;pontepreta;11.18;-0.26;ponte preta;sport;-#-#-#-#-#-#-#-#-
MEI;Alex;internacional;11.00;-1.10;internacional;cruzeiro;50#78#2#1#11#10#1#4#0
ZAG;Edu Dracena;corinthians;10.78;0.00;corinthians;avaí;2#14#0#0#4#6#2#3#0
ATA;Emerson;flamengo;10.61;1.40;flamengo;palmeiras;79#88#1#2#8#21#5#5#0
TEC;Pc Gusmão;joinville;10.40;0.48;joinville;grêmio;-#-#-#-#-#-#-#-#-
MEI;Giovanni Augusto;atlético-mg;10.39;12.30;atlético-mg;chapecoense;46#115#8#2#13#12#5#5#0
ZAG;Ernando;internacional;10.39;4.10;internacional;cruzeiro;9#37#0#1#4#5#3#1#0
MEI;Deivid;atlético-pr;10.35;1.70;santos;atlético-pr;17#18#0#0#0#3#0#0#0
TEC;Cristóvão Borges;atlético-pr;10.34;3.31;santos;atlético-pr;-#-#-#-#-#-#-#-#-
ATA;Henrique Almeida;coritiba;10.27;-2.50;coritiba;vasco;
MEI;Lucas Lima;santos;10.27;-1.20;santos;atlético-pr;91#180#6#1#7#4#4#2#0
MEI;Cícero;fluminense;10.14;-1.60;figueirense;fluminense;40#56#1#1#7#8#3#3#0
ZAG;Manoel;cruzeiro;10.03;4.60;internacional;cruzeiro;23#75#2#0#3#11#1#2#0
MEI;Gil;chapecoense;10.00;0.00;atlético-mg;chapecoense;48#69#1#0#2#14#1#2#0
ZAG;Rafael Lima;chapecoense;9.87;1.90;atlético-mg;chapecoense;14#58#1#0#2#1#0#5#0
LAT;Marquinhos Pedroso;figueirense;9.86;10.20;figueirense;fluminense;40#54#2#0#3#2#1#0#0
TEC;Danny Sergio;goiás;9.82;1.13;goiás;são paulo;-#-#-#-#-#-#-#-#-
TEC;Jorginho;vasco;9.67;2.15;coritiba;vasco;-#-#-#-#-#-#-#-#-
MEI;Anderson;internacional;9.59;4.20;internacional;cruzeiro;25#96#4#0#10#4#0#3#0
LAT;Eduardo;atlético-pr;9.58;1.40;santos;atlético-pr;27#146#3#0#3#10#0#3#0
ATA;André;sport;9.55;-1.20;ponte preta;sport;48#77#6#2#7#16#13#25#0
TEC;Argel Fucks;internacional;9.50;5.93;internacional;cruzeiro;-#-#-#-#-#-#-#-#-
ZAG;Pedro Geromel;grêmio;9.26;10.70;joinville;grêmio;23#50#1#1#0#6#0#4#0
ZAG;Cleberson;atlético-pr;9.08;11.50;santos;atlético-pr;1#8#0#0#0#1#3#0#0
ATA;Malcom;corinthians;8.92;2.20;corinthians;avaí;54#86#3#2#18#12#5#6#0
TEC;Jayme De Almeida;flamengo;8.91;3.18;flamengo;palmeiras;-#-#-#-#-#-#-#-#-
LAT;Renê;sport;8.87;4.20;ponte preta;sport;36#161#4#0#4#3#1#0#0
LAT;Carlinhos;coritiba;8.87;4.80;coritiba;vasco;51#68#1#0#3#3#0#1#0
LAT;Mayke;cruzeiro;8.83;0.00;internacional;cruzeiro;3#38#0#0#1#0#0#1#0
MEI;Renan Oliveira;avaí;8.76;1.70;corinthians;avaí;
LAT;Leandro Silva;figueirense;8.74;10.00;figueirense;fluminense;26#106#2#0#1#7#1#0#0
ATA;Clayton;figueirense;8.71;4.80;figueirense;fluminense;42#82#6#0#13#17#7#29#0
MEI;Carlos Alberto;figueirense;8.67;2.30;figueirense;fluminense;53#24#0#0#7#11#3#3#0
LAT;Bruno;sãopaulo;8.66;5.00;goiás;são paulo;18#82#1#0#0#2#0#1#0
LAT;Sidcley;atlético-pr;8.63;8.80;santos;atlético-pr;26#74#2#1#3#8#2#1#0
MEI;Walace;grêmio;8.62;-2.00;joinville;grêmio;32#119#1#0#5#11#0#1#0
MEI;Gabriel;flamengo;8.61;8.60;flamengo;palmeiras;21#46#2#0#10#11#4#2#0
ZAG;Werley;santos;8.48;-0.30;santos;atlético-pr;11#53#0#1#0#2#2#0#0
GOL;Alisson;internacional;8.46;8.00;internacional;cruzeiro;2#12#0#0#0#0#0#0#0
MEI;Márcio Araújo;flamengo;8.44;6.70;flamengo;palmeiras;51#71#0#0#0#11#0#0#0
LAT;Samuel Xavier;sport;8.29;5.90;ponte preta;sport;34#87#2#0#0#7#1#1#0
MEI;Anselmo;joinville;8.16;-0.60;joinville;grêmio;26#83#1#1#4#13#0#0#0
LAT;William;internacional;8.13;5.20;internacional;cruzeiro;37#93#2#0#2#2#0#3#0
TEC;Raul Cabral;avaí;8.04;3.31;corinthians;avaí;-#-#-#-#-#-#-#-#-
MEI;Thiago Mendes;sãopaulo;8.00;0.50;goiás;são paulo;60#96#3#0#9#11#1#4#0
ATA;Bobô;grêmio;7.95;6.90;joinville;grêmio;11#17#2#0#6#9#5#9#0
ZAG;Alex Alves;goiás;7.91;0.20;goiás;são paulo;7#11#0#0#0#4#0#2#0
ZAG;Fred;goiás;7.90;2.80;goiás;são paulo;13#52#0#2#9#17#6#1#0
TEC;Hudson Coutinho;figueirense;7.66;6.68;figueirense;fluminense;-#-#-#-#-#-#-#-#-
ATA;Alan Kardec;sãopaulo;7.59;-1.30;goiás;são paulo;
ZAG;Vilches;atlético-pr;7.56;2.40;santos;atlético-pr;13#35#0#0#2#3#1#1#0
LAT;Nino Paraíba;avaí;7.46;10.10;corinthians;avaí;45#154#4#0#3#10#0#6#0
MEI;Ramiro;grêmio;7.33;3.80;joinville;grêmio;8#9#1#0#0#2#0#0#0
MEI;Régis;sport;7.30;0.00;ponte preta;sport;8#41#2#0#6#2#3#3#0
MEI;Fabinho;figueirense;7.23;8.20;figueirense;fluminense;30#80#0#0#5#7#1#6#0
MEI;Rodrigo Dourado;internacional;7.13;-0.20;internacional;cruzeiro;30#55#3#0#2#10#1#3#0
MEI;Alan Patrick;flamengo;7.07;-2.50;flamengo;palmeiras;44#100#5#0#10#18#7#1#1
ZAG;Juninho;coritiba;7.04;9.60;coritiba;vasco;15#43#0#0#3#5#0#1#0
MEI;David;goiás;7.00;-1.60;goiás;são paulo;11#88#2#0#1#3#1#0#0
LAT;Mário Sérgio;joinville;6.83;1.10;joinville;grêmio;23#74#0#0#2#7#1#0#0
MEI;Rafael Carioca;atlético-mg;6.78;-0.30;atlético-mg;chapecoense;50#71#1#0#3#7#0#0#0
MEI;Allione;palmeiras;6.75;2.30;flamengo;palmeiras;13#24#1#0#1#5#0#0#0
ZAG;Paulão;internacional;6.68;7.00;internacional;cruzeiro;11#63#1#1#2#3#2#1#0
ATA;Riascos;vasco;6.65;-1.80;coritiba;vasco;33#35#0#1#9#22#4#13#0
LAT;Rafael Forster;goiás;6.61;1.80;goiás;são paulo;20#63#0#0#3#4#0#1#0
LAT;Pará;flamengo;6.59;7.30;flamengo;palmeiras;27#86#2#0#3#4#1#4#0
LAT;Juan;coritiba;6.54;3.10;coritiba;vasco;16#36#2#0#1#4#3#2#0
MEI;Josimar;pontepreta;6.40;1.40;ponte preta;sport;18#64#1#0#2#7#0#0#0
MEI;Ariel Cabral;cruzeiro;6.37;1.40;internacional;cruzeiro;14#37#1#0#1#4#0#1#0
LAT;Jorge;flamengo;6.33;7.20;flamengo;palmeiras;
MEI;Claudinei;avaí;6.31;15.90;corinthians;avaí;5#9#0#0#1#1#1#0#0
ATA;Lucca;corinthians;6.25;0.60;corinthians;avaí;4#11#2#0#3#5#3#1#0
ATA;Kelvin;palmeiras;6.05;0.20;flamengo;palmeiras;26#32#3#0#7#5#0#0#0
MEI;Serginho;vasco;5.96;2.70;coritiba;vasco;29#75#2#0#3#5#0#0#0
ATA;Alexandro;pontepreta;5.89;-1.60;ponte preta;sport;34#18#0#0#3#5#3#11#0
LAT;Mena;cruzeiro;5.89;7.70;internacional;cruzeiro;2#21#0#0#0#0#0#5#0
ATA;Anderson Lopes;avaí;5.88;1.70;corinthians;avaí;35#45#2#1#13#17#5#15#0
ZAG;Walisson Maia;coritiba;5.82;8.90;coritiba;vasco;16#31#0#0#1#3#0#1#0
MEI;João Vitor;figueirense;5.75;1.30;figueirense;fluminense;35#46#0#0#3#6#1#0#0
LAT;Zeca;santos;5.62;-1.50;santos;atlético-pr;18#65#4#0#1#3#0#0#0
ZAG;Edson Silva;sãopaulo;5.55;4.20;goiás;são paulo;0#19#0#0#0#0#0#2#0
ATA;Everton;grêmio;5.52;-0.30;joinville;grêmio;3#14#1#2#7#7#4#2#0
LAT;Julio Cesar;vasco;5.51;3.80;coritiba;vasco;19#61#0#0#1#1#2#2#0
MEI;Alan Santos;coritiba;5.51;-0.20;coritiba;vasco;12#40#0#0#0#5#0#0#0
GOL;Agenor;joinville;5.40;-4.00;joinville;grêmio;5#19#0#0#0#0#0#0#0
LAT;Artur;internacional;5.35;14.80;internacional;cruzeiro;7#21#1#0#1#1#0#3#0
ATA;Kleber;coritiba;5.34;-0.30;coritiba;vasco;54#32#0#0#10#5#1#5#1
ZAG;Bressan;grêmio;5.32;4.70;joinville;grêmio;6#30#0#0#0#1#1#0#0
GOL;Denis;sãopaulo;5.25;5.00;goiás;são paulo;0#4#0#0#0#0#0#0#0
ATA;Wiliam Barbio;chapecoense;5.23;0.70;atlético-mg;chapecoense;
MEI;Cristian;pontepreta;5.21;-2.90;ponte preta;sport;17#40#1#0#1#5#0#2#0
ATA;Jorge Henrique;vasco;5.16;-3.30;coritiba;vasco;34#31#1#0#3#4#0#5#0
MEI;Nicolás Freitas;internacional;5.14;2.80;internacional;cruzeiro;15#27#0#0#0#0#0#0#0
ZAG;Domingues;joinville;5.14;0.00;joinville;grêmio;1#11#0#0#1#0#0#0#0
ZAG;Leandro Almeida;palmeiras;5.12;-0.30;flamengo;palmeiras;8#39#0#0#3#5#0#2#0
MEI;Diguinho;vasco;5.09;-0.30;coritiba;vasco;17#34#0#0#1#2#0#0#0
ZAG;Fábio Ferreira;pontepreta;5.09;0.20;ponte preta;sport;3#9#0#0#0#1#0#0#0
LAT;Edson Ratinho;joinville;5.01;-3.00;joinville;grêmio;25#40#0#0#1#3#0#1#0
GOL;Vladimir;santos;4.99;-2.00;santos;atlético-pr;1#5#0#0#0#0#0#0#0
MEI;Alison;santos;4.99;0.90;santos;atlético-pr;3#2#0#0#0#1#0#0#0
MEI;Pierre;fluminense;4.85;-1.10;figueirense;fluminense;14#20#0#0#0#1#0#0#0
MEI;Gustavo Scarpa;fluminense;4.75;-1.10;figueirense;fluminense;37#119#2#0#12#13#5#2#0
ATA;Negueba;coritiba;4.70;-1.60;coritiba;vasco;22#87#4#1#6#12#2#6#0
LAT;Roberto;atlético-pr;4.67;1.00;santos;atlético-pr;13#24#0#0#0#5#1#0#0
ZAG;Douglas Grolli;cruzeiro;4.61;2.00;internacional;cruzeiro;0#2#0#0#0#0#0#0#0
MEI;Rodriguinho;corinthians;4.59;6.60;corinthians;avaí;8#13#0#0#1#5#2#0#0
MEI;Clayson;pontepreta;4.52;1.40;ponte preta;sport;14#17#2#0#4#4#0#3#0
ZAG;Thiego;chapecoense;4.48;1.00;atlético-mg;chapecoense;10#30#0#0#1#7#1#2#0
