POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
MEI;Diego Souza;sport;25.93;3.90;são paulo;sport;40#123#8#0#14#16#8#6#0
GOL;Rogério Ceni;sãopaulo;24.69;3.70;são paulo;sport;1#18#0#0#0#0#3#0#0
GOL;Weverton;atlético-pr;24.27;22.70;chapecoense;atlético-pr;10#35#0#0#0#0#0#0#0
ATA;Luan;atlético-mg;24.17;10.70;atlético-mg;corinthians;22#81#3#0#6#14#5#10#0
ATA;Lucas Pratto;atlético-mg;21.70;0.00;atlético-mg;corinthians;36#81#3#4#29#29#9#11#0
GOL;Marcelo Lomba;pontepreta;21.56;8.50;ponte preta;joinville;5#15#0#0#0#0#0#0#0
LAT;Rodinei;pontepreta;21.55;3.10;ponte preta;joinville;32#77#4#1#4#7#0#3#0
ZAG;Rodrigo;vasco;21.28;10.40;vasco;fluminense;38#79#0#0#17#18#4#2#0
GOL;Cássio;corinthians;21.08;5.00;atlético-mg;corinthians;2#17#0#0#0#0#0#0#0
ATA;Paolo Guerrero;flamengo;19.70;-2.50;grêmio;flamengo;40#23#3#2#16#17#3#16#0
ZAG;Gil;corinthians;19.37;8.40;atlético-mg;corinthians;10#34#1#1#5#6#1#1#0
MEI;Everton;flamengo;19.23;-1.90;grêmio;flamengo;51#89#2#0#11#8#4#24#0
GOL;Martín Silva;vasco;18.83;20.00;vasco;fluminense;1#4#0#0#0#0#0#0#0
GOL;Renan;goiás;18.71;1.00;goiás;internacional;4#19#0#0#0#0#0#0#0
MEI;Jadson;corinthians;18.39;1.20;atlético-mg;corinthians;17#165#10#1#17#11#12#2#0
ATA;Rafael Marques;palmeiras;17.55;1.50;santos;palmeiras;50#106#5#0#14#18#7#8#0
TEC;Tite;corinthians;17.53;4.82;atlético-mg;corinthians;-#-#-#-#-#-#-#-#-
GOL;Marcelo Grohe;grêmio;17.45;8.00;grêmio;flamengo;5#17#0#0#0#0#0#0#0
ATA;Willian;cruzeiro;16.95;3.60;avaí;cruzeiro;41#61#2#1#17#20#9#14#1
ZAG;Vitor Hugo;palmeiras;16.85;0.80;santos;palmeiras;
ATA;Alexandre Pato;sãopaulo;16.70;12.90;são paulo;sport;55#89#4#1#17#12#9#13#0
MEI;Arrascaeta;cruzeiro;16.44;9.90;avaí;cruzeiro;24#47#1#0#13#8#4#2#0
GOL;Fábio;cruzeiro;16.03;20.00;avaí;cruzeiro;4#11#0#0#0#0#0#0#0
MEI;Élber;sport;16.02;-0.60;são paulo;sport;24#37#1#0#8#6#5#3#0
MEI;Dátolo;atlético-mg;15.67;0.10;atlético-mg;corinthians;18#48#4#3#8#11#4#4#0
ATA;Rafhael Lucas;coritiba;15.50;0.00;coritiba;figueirense;19#28#2#1#11#12#2#14#0
ZAG;Marlon;fluminense;15.44;0.20;vasco;fluminense;13#23#1#0#2#2#0#3#0
ATA;Geuvânio;santos;15.43;-0.50;santos;palmeiras;34#54#2#0#11#18#4#7#0
MEI;Ganso;sãopaulo;15.22;8.80;são paulo;sport;48#95#8#1#5#15#1#6#0
MEI;Fernando Bob;pontepreta;15.21;3.40;ponte preta;joinville;53#87#1#0#2#4#3#0#0
GOL;Diego Cavalieri;fluminense;15.18;0.40;vasco;fluminense;3#12#0#0#0#0#0#0#0
TEC;Levir Culpi;atlético-mg;15.10;3.66;atlético-mg;corinthians;-#-#-#-#-#-#-#-#-
ATA;Biro Biro;pontepreta;15.03;10.00;ponte preta;joinville;64#105#5#1#23#20#7#4#0
ZAG;Wallace;flamengo;14.95;4.50;grêmio;flamengo;29#67#1#1#5#6#1#1#0
MEI;Giuliano;grêmio;14.74;2.60;grêmio;flamengo;23#107#7#0#8#12#6#3#0
LAT;Egídio;palmeiras;14.50;2.50;santos;palmeiras;31#125#4#0#6#9#1#1#0
TEC;Dorival Júnior;santos;14.40;4.21;santos;palmeiras;-#-#-#-#-#-#-#-#-
LAT;Marcos Rocha;atlético-mg;14.26;3.50;atlético-mg;corinthians;12#80#2#0#5#1#1#1#0
GOL;Danilo;chapecoense;14.26;10.70;chapecoense;atlético-pr;5#20#0#0#0#0#0#0#0
LAT;Wellington Silva;fluminense;14.26;-0.10;vasco;fluminense;
GOL;Danilo Fernandes;sport;14.18;16.70;são paulo;sport;5#21#0#0#0#0#0#0#0
ZAG;Luan;vasco;14.09;8.20;vasco;fluminense;20#63#0#0#2#2#0#2#0
ZAG;Matheus Ferraz;sport;14.08;5.40;são paulo;sport;13#55#0#1#2#4#4#0#0
MEI;Marcos Guilherme;atlético-pr;13.87;4.30;chapecoense;atlético-pr;23#44#4#0#17#10#3#3#0
GOL;Victor;atlético-mg;13.83;-1.80;atlético-mg;corinthians;6#24#0#0#0#0#0#0#0
TEC;Mano Menezes;cruzeiro;13.74;5.61;avaí;cruzeiro;-#-#-#-#-#-#-#-#-
GOL;Fernando Prass;palmeiras;13.53;1.40;santos;palmeiras;9#24#0#0#0#0#0#0#0
ZAG;Leonardo Silva;atlético-mg;13.51;1.00;atlético-mg;corinthians;26#64#1#1#7#11#2#4#0
MEI;Jean;fluminense;13.46;1.90;vasco;fluminense;11#107#0#0#8#19#3#0#0
