POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
ATA;Luan;grêmio;29.84;10.50;chapecoense;grêmio;47#41#4#1#12#6#2#8#0
MEI;Diego Souza;sport;27.96;5.90;atlético-mg;sport;14#40#1#0#3#6#4#3#0
MEI;Renato Cajá;pontepreta;26.40;0.00;coritiba;ponte preta;9#63#2#2#9#12#5#3#0
GOL;Rogério Ceni;sãopaulo;26.24;5.00;vasco;são paulo;0#6#0#0#0#0#2#0#0
ATA;Fred;fluminense;24.94;1.20;fluminense;cruzeiro;30#22#2#1#7#5#4#4#0
GOL;Weverton;atlético-pr;22.59;8.50;corinthians;atlético-pr;7#11#0#0#0#0#0#0#0
LAT;Rodinei;pontepreta;22.54;1.90;coritiba;ponte preta;9#22#4#0#1#2#0#2#0
GOL;Cássio;corinthians;21.66;8.00;corinthians;atlético-pr;1#10#0#0#0#0#0#0#0
MEI;D'Alessandro;internacional;21.31;-0.70;internacional;flamengo;4#13#0#0#0#3#0#1#0
GOL;Renan;goiás;21.14;8.00;goiás;santos;2#5#0#0#0#0#0#0#0
ATA;Lucas Pratto;atlético-mg;21.11;1.00;atlético-mg;sport;8#26#1#2#13#8#2#2#0
ATA;Leandro Damião;cruzeiro;20.75;0.00;fluminense;cruzeiro;12#14#1#0#5#5#2#1#0
ZAG;Rodrigo;vasco;20.70;0.00;vasco;são paulo;8#39#0#0#7#4#1#0#0
MEI;Everton;flamengo;20.41;-1.70;internacional;flamengo;15#38#0#0#3#4#2#12#0
ZAG;Gil;corinthians;19.73;6.70;corinthians;atlético-pr;2#13#0#1#1#3#0#1#0
ZAG;Vitor Hugo;palmeiras;19.64;6.40;palmeiras;avaí;7#17#0#1#3#5#2#0#0
MEI;Arrascaeta;cruzeiro;19.04;16.30;fluminense;cruzeiro;10#14#1#0#3#4#1#0#0
GOL;Marcelo Lomba;pontepreta;18.96;-0.50;coritiba;ponte preta;2#4#0#0#0#0#0#0#0
ATA;Rafhael Lucas;coritiba;18.90;5.60;coritiba;ponte preta;8#14#0#1#7#5#2#7#0
ATA;Rafael Marques;palmeiras;18.85;8.00;palmeiras;avaí;
ATA;Ricardo Oliveira;santos;18.51;9.30;goiás;santos;4#15#0#1#6#10#6#10#1
ZAG;Jemerson;atlético-mg;17.67;-0.90;atlético-mg;sport;3#14#0#0#1#4#2#1#0
ATA;Willian;cruzeiro;16.68;0.00;fluminense;cruzeiro;19#26#1#0#5#10#0#6#0
MEI;Jadson;corinthians;16.64;-0.90;corinthians;atlético-pr;9#63#1#0#7#3#4#2#0
ATA;Dudu;palmeiras;16.54;16.80;palmeiras;avaí;18#34#2#0#3#5#2#7#0
TEC;Tite;corinthians;16.42;4.65;corinthians;atlético-pr;-#-#-#-#-#-#-#-#-
GOL;Diego Cavalieri;fluminense;16.35;8.50;fluminense;cruzeiro;2#4#0#0#0#0#0#0#0
ATA;Nilmar;internacional;16.26;0.00;internacional;flamengo;10#12#0#0#2#3#3#2#0
MEI;Giuliano;grêmio;16.00;9.70;chapecoense;grêmio;7#38#3#0#3#3#3#1#0
ZAG;Wallace;flamengo;15.90;10.80;internacional;flamengo;15#34#0#0#4#4#0#0#0
