POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
MEI;Renato Cajá;pontepreta;30.43;8.70;ponte preta;goiás;5#29#2#2#7#7#4#2#0
MEI;Diego Souza;sport;30.03;3.20;sport;joinville;12#15#0#0#3#4#3#2#0
GOL;Rogério Ceni;sãopaulo;28.91;12.70;chapecoense;são paulo;0#6#0#0#0#0#2#0#0
ATA;Luan;grêmio;27.95;0.50;grêmio;atlético-pr;22#25#2#1#5#1#1#1#0
LAT;Zé Roberto;palmeiras;27.72;1.80;palmeiras;fluminense;10#12#2#0#4#3#1#0#0
GOL;Weverton;atlético-pr;23.85;6.00;grêmio;atlético-pr;6#5#0#0#0#0#0#0#0
MEI;Everton;flamengo;23.13;0.00;coritiba;flamengo;9#20#0#0#3#3#2#10#0
LAT;Rodinei;pontepreta;22.99;5.10;ponte preta;goiás;8#10#4#0#1#2#0#2#0
MEI;Edson;fluminense;22.46;1.90;palmeiras;fluminense;12#18#0#1#1#5#0#1#0
ATA;Leandro Damião;cruzeiro;22.38;8.40;vasco;cruzeiro;6#4#1#0#2#4#0#1#0
ZAG;Gil;corinthians;21.40;10.90;corinthians;internacional;2#3#0#1#1#1#0#1#0
GOL;Cássio;corinthians;21.22;2.70;corinthians;internacional;0#6#0#0#0#0#0#0#0
GOL;Renan;goiás;20.65;-2.00;ponte preta;goiás;2#3#0#0#0#0#0#0#0
ZAG;Rodrigo;vasco;19.40;3.60;vasco;cruzeiro;5#20#0#0#4#2#0#0#0
ATA;Rafhael Lucas;coritiba;19.09;0.30;coritiba;flamengo;5#9#0#0#4#5#1#4#0
GOL;Marcelo Lomba;pontepreta;18.49;4.70;ponte preta;goiás;1#2#0#0#0#0#0#0#0
MEI;Jadson;corinthians;18.27;10.30;corinthians;internacional;5#27#1#0#5#3#1#1#0
LAT;Fábio Santos;corinthians;18.13;11.10;corinthians;internacional;11#22#1#0#0#0#1#1#0
ZAG;Vitor Hugo;palmeiras;18.03;0.10;palmeiras;fluminense;5#8#0#0#2#2#2#0#0
ATA;Yuri Mamute;grêmio;17.49;1.90;grêmio;atlético-pr;
ATA;Luis Fabiano;sãopaulo;17.45;4.90;chapecoense;são paulo;2#9#0#1#2#6#2#3#0
ATA;Nilmar;internacional;17.17;10.90;corinthians;internacional;6#5#0#0#0#2#2#0#0
ZAG;Gum;fluminense;17.11;7.90;palmeiras;fluminense;3#13#0#0#2#2#0#0#0
LAT;Natanael;atlético-pr;16.92;3.40;grêmio;atlético-pr;4#22#0#0#0#2#0#0#0
MEI;Marquinhos;avaí;16.83;0.00;avaí;figueirense;4#27#1#1#1#3#1#0#0
ATA;Rafael Marques;palmeiras;16.77;2.50;palmeiras;fluminense;9#16#0#0#3#4#2#1#0
ATA;Willian;cruzeiro;16.61;7.80;vasco;cruzeiro;10#16#0#0#4#6#0#4#0
MEI;Souza;sãopaulo;16.60;1.40;chapecoense;são paulo;5#4#0#0#1#2#0#1#0
MEI;Guiñazu;vasco;16.39;0.00;vasco;cruzeiro;9#5#0#0#0#1#0#0#0
TEC;Tite;corinthians;16.30;5.15;corinthians;internacional;-#-#-#-#-#-#-#-#-
ATA;Vitinho;internacional;16.15;7.50;corinthians;internacional;4#13#0#0#1#5#2#1#0
MEI;Willians;cruzeiro;15.72;5.90;vasco;cruzeiro;6#12#0#0#0#1#0#0#0
LAT;Giovanni;fluminense;15.70;9.90;palmeiras;fluminense;3#15#0#0#1#2#0#0#0
MEI;Ganso;sãopaulo;15.32;2.00;chapecoense;são paulo;8#16#1#0#1#3#0#0#0
MEI;Michel Bastos;sãopaulo;15.14;2.60;chapecoense;são paulo;1#17#0#0#0#5#2#2#0
MEI;Fernando Bob;pontepreta;15.11;3.60;ponte preta;goiás;6#18#0#0#0#2#0#0#0
ZAG;Dória;sãopaulo;14.84;4.70;chapecoense;são paulo;3#13#0#0#1#2#1#0#0
MEI;Giuliano;grêmio;14.70;1.60;grêmio;atlético-pr;5#13#2#0#2#2#2#0#0
LAT;Wellington Silva;fluminense;14.30;2.70;palmeiras;fluminense;4#12#0#0#0#2#0#0#0
MEI;Rithely;sport;14.20;4.60;sport;joinville;
MEI;Jean;fluminense;14.16;0.20;palmeiras;fluminense;2#22#0#0#4#2#0#0#0
MEI;Cleiton Xavier;palmeiras;14.14;0.00;palmeiras;fluminense;1#1#0#0#0#0#0#0#0
ZAG;Matheus Ferraz;sport;14.02;2.50;sport;joinville;4#17#0#0#1#2#1#0#0
ATA;Biro Biro;pontepreta;13.90;8.50;ponte preta;goiás;15#22#0#0#6#5#2#3#0
MEI;Gabriel;palmeiras;13.69;8.10;palmeiras;fluminense;8#14#0#0#0#3#1#0#0
ATA;Dudu;palmeiras;13.64;6.40;palmeiras;fluminense;8#13#1#0#0#2#0#4#0
ZAG;Durval;sport;13.57;3.70;sport;joinville;3#18#0#0#1#0#0#0#0
MEI;Gerson;fluminense;13.52;0.60;palmeiras;fluminense;10#18#1#0#4#3#0#3#0
GOL;Diego Cavalieri;fluminense;13.50;8.00;palmeiras;fluminense;0#2#0#0#0#0#0#0#0
ATA;Marquinhos;cruzeiro;13.23;11.00;vasco;cruzeiro;6#20#1#0#2#8#1#3#0
MEI;Elicarlos;chapecoense;13.23;1.90;chapecoense;são paulo;11#10#0#0#0#0#1#0#0
ZAG;Kadu;atlético-pr;13.14;3.60;grêmio;atlético-pr;0#11#0#0#0#0#0#0#0
ZAG;Wallace;flamengo;12.95;2.80;coritiba;flamengo;8#17#0#0#3#3#0#0#0
ZAG;Edu Dracena;corinthians;12.90;7.20;corinthians;internacional;1#7#0#0#0#1#0#2#0
MEI;Alex;internacional;12.88;4.00;corinthians;internacional;14#26#0#0#1#1#0#1#0
GOL;Alex;figueirense;12.85;1.20;avaí;figueirense;1#3#0#0#0#0#0#0#0
ATA;Ananias;chapecoense;12.79;-0.40;chapecoense;são paulo;14#16#1#0#3#1#1#0#0
LAT;Gilson;pontepreta;12.78;-1.60;ponte preta;goiás;6#17#0#0#1#1#0#1#0
TEC;Juan Carlos Osorio;sãopaulo;12.74;5.32;chapecoense;são paulo;-#-#-#-#-#-#-#-#-
TEC;Guto Ferreira;pontepreta;12.71;4.05;ponte preta;goiás;
TEC;Enderson Moreira;fluminense;12.53;3.64;palmeiras;fluminense;-#-#-#-#-#-#-#-#-
GOL;Danilo;chapecoense;12.48;-1.50;chapecoense;são paulo;2#8#0#0#0#0#0#0#0
