POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
ATA;Luan;grêmio;28.30;5.80;sport;grêmio;93#85#7#2#22#23#8#15#0
MEI;Diego Souza;sport;25.93;0.00;sport;grêmio;40#123#8#0#14#16#8#6#0
LAT;Zé Roberto;palmeiras;24.69;1.30;palmeiras;vasco;27#34#3#0#7#9#2#1#0
GOL;Weverton;atlético-pr;23.42;13.90;atlético-pr;avaí;11#37#0#0#0#0#0#0#0
ATA;Lucas Pratto;atlético-mg;22.66;4.10;figueirense;atlético-mg;37#82#3#4#32#30#9#11#0
ATA;Luan;atlético-mg;22.14;-2.80;figueirense;atlético-mg;22#87#3#0#6#14#5#10#0
GOL;Marcelo Lomba;pontepreta;21.82;7.70;internacional;ponte preta;5#16#0#0#0#0#0#0#0
GOL;Cássio;corinthians;21.40;5.00;corinthians;coritiba;2#17#0#0#0#0#0#0#0
MEI;Edson;fluminense;20.88;0.00;fluminense;chapecoense;35#59#0#1#3#15#2#2#0
ZAG;Rodrigo;vasco;20.63;4.50;palmeiras;vasco;41#81#0#0#18#19#4#2#0
MEI;Jadson;corinthians;20.59;11.90;corinthians;coritiba;17#170#12#1#17#11#12#2#0
ATA;Ricardo Oliveira;santos;20.04;10.30;joinville;santos;19#40#2#2#24#23#19#28#4
ZAG;Gil;corinthians;19.64;7.80;corinthians;coritiba;11#36#1#1#5#6#1#1#0
TEC;Tite;corinthians;18.29;7.39;corinthians;coritiba;-#-#-#-#-#-#-#-#-
ATA;Willian;cruzeiro;17.73;6.50;cruzeiro;são paulo;44#63#3#1#17#22#9#14#1
ZAG;Marlon;fluminense;17.19;8.80;fluminense;chapecoense;15#25#1#0#2#2#0#3#0
GOL;Marcelo Grohe;grêmio;17.19;4.70;sport;grêmio;5#18#0#0#0#0#0#0#0
ATA;Walter;atlético-pr;16.91;0.00;atlético-pr;avaí;30#124#4#0#26#35#8#22#0
ZAG;Vitor Hugo;palmeiras;16.85;-0.10;palmeiras;vasco;12#44#0#1#4#10#3#0#0
ATA;Luis Fabiano;sãopaulo;16.81;16.70;cruzeiro;são paulo;
GOL;Diego Cavalieri;fluminense;16.75;8.00;fluminense;chapecoense;3#12#0#0#0#0#0#0#0
ATA;Alexandre Pato;sãopaulo;16.65;10.10;cruzeiro;são paulo;60#96#5#2#18#13#9#14#0
ZAG;Wallace;flamengo;16.56;11.80;flamengo;goiás;32#69#1#1#5#6#1#1#0
ZAG;Jemerson;atlético-mg;16.41;0.00;figueirense;atlético-mg;12#45#0#0#3#12#4#3#0
ATA;Bruno Henrique;goiás;16.11;14.00;flamengo;goiás;64#69#6#0#24#26#6#13#0
GOL;Martín Silva;vasco;15.96;1.00;palmeiras;vasco;1#4#0#0#0#0#0#0#0
MEI;Dátolo;atlético-mg;15.88;0.50;figueirense;atlético-mg;18#50#4#3#8#13#4#7#0
MEI;Ganso;sãopaulo;15.47;8.20;cruzeiro;são paulo;48#100#8#1#6#16#2#6#0
LAT;Wellington Silva;fluminense;15.13;3.90;fluminense;chapecoense;32#109#0#0#0#9#1#2#0
MEI;Arrascaeta;cruzeiro;15.12;0.70;cruzeiro;são paulo;24#51#1#0#14#10#4#2#0
TEC;Levir Culpi;atlético-mg;14.90;1.35;figueirense;atlético-mg;-#-#-#-#-#-#-#-#-
ZAG;Matheus Ferraz;sport;14.48;6.10;sport;grêmio;13#55#0#1#3#4#4#0#0
TEC;Dorival Júnior;santos;14.25;2.20;joinville;santos;-#-#-#-#-#-#-#-#-
MEI;Giuliano;grêmio;14.21;-1.30;sport;grêmio;24#113#7#0#8#12#6#3#0
ZAG;Leonardo Silva;atlético-mg;13.87;2.20;figueirense;atlético-mg;26#67#1#1#7#12#2#5#0
GOL;Fernando Prass;palmeiras;13.80;2.00;palmeiras;vasco;9#24#0#0#0#0#0#0#0
ZAG;Gum;fluminense;13.74;5.00;fluminense;chapecoense;16#82#1#1#5#4#0#0#0
LAT;Marcos Rocha;atlético-mg;13.74;-0.40;figueirense;atlético-mg;12#86#2#0#5#2#1#1#0
GOL;Victor;atlético-mg;13.57;-3.60;figueirense;atlético-mg;6#26#0#0#0#0#0#0#0
MEI;Michel Bastos;sãopaulo;13.57;6.10;cruzeiro;são paulo;
GOL;Danilo;chapecoense;13.54;4.70;fluminense;chapecoense;5#21#0#0#0#0#0#0#0
ATA;Biro Biro;pontepreta;13.51;-0.20;internacional;ponte preta;65#109#5#1#24#20#7#4#0
TEC;Mano Menezes;cruzeiro;13.34;2.05;cruzeiro;são paulo;-#-#-#-#-#-#-#-#-
GOL;Fábio;cruzeiro;13.17;1.20;cruzeiro;são paulo;5#12#0#0#0#0#0#0#0
MEI;Renato Augusto;corinthians;13.13;3.70;corinthians;coritiba;36#120#6#3#16#17#4#5#0
MEI;Willians;cruzeiro;13.08;0.00;cruzeiro;são paulo;57#72#2#0#1#6#1#1#0
MEI;Henrique;cruzeiro;13.07;5.20;cruzeiro;são paulo;46#70#0#1#6#12#1#1#0
LAT;Edílson;corinthians;13.03;5.90;corinthians;coritiba;13#45#1#1#2#4#0#0#0
MEI;Jean;fluminense;12.95;-1.70;fluminense;chapecoense;11#111#0#0#8#19#3#0#0
TEC;Roger Machado;grêmio;12.90;6.75;sport;grêmio;-#-#-#-#-#-#-#-#-
ZAG;Luan;vasco;12.68;-1.10;palmeiras;vasco;21#65#0#0#2#2#0#2#0
TEC;Falcão;sport;12.64;0.85;sport;grêmio;-#-#-#-#-#-#-#-#-
TEC;Guto Ferreira;chapecoense;12.57;2.60;fluminense;chapecoense;-#-#-#-#-#-#-#-#-
ATA;Vagner Love;corinthians;12.45;6.10;corinthians;coritiba;47#51#2#0#13#15#12#13#0
MEI;Gerson;fluminense;12.45;7.50;fluminense;chapecoense;53#63#3#0#7#10#1#12#0
TEC;Felipe Moreira;pontepreta;12.36;2.42;internacional;ponte preta;-#-#-#-#-#-#-#-#-
ATA;Ananias;chapecoense;12.32;4.30;fluminense;chapecoense;42#47#1#0#10#7#2#3#0
MEI;Rithely;sport;12.28;-3.70;sport;grêmio;29#123#2#0#5#14#1#1#0
GOL;Alex Muralha;figueirense;12.26;3.40;figueirense;atlético-mg;3#13#0#0#0#0#0#0#0
LAT;Apodi;chapecoense;12.18;2.90;fluminense;chapecoense;
MEI;Camilo;chapecoense;12.15;1.80;fluminense;chapecoense;33#85#3#1#6#19#2#8#0
LAT;Marcelo Oliveira;grêmio;12.13;11.10;sport;grêmio;43#71#3#1#5#8#1#2#0
TEC;Eduardo Baptista;fluminense;12.11;2.83;fluminense;chapecoense;-#-#-#-#-#-#-#-#-
TEC;Marcelo Oliveira;palmeiras;12.07;1.53;palmeiras;vasco;-#-#-#-#-#-#-#-#-
