POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
ATA;Luan;grêmio;28.20;7.50;vasco;grêmio;92#82#6#2#20#22#8#15#0
MEI;Diego Souza;sport;27.82;16.00;palmeiras;sport;36#122#8#0#12#15#8#6#0
GOL;Rogério Ceni;sãopaulo;25.34;8.00;coritiba;são paulo;1#17#0#0#0#0#3#0#0
ATA;Luan;atlético-mg;23.27;0.00;atlético-mg;ponte preta;19#78#3#0#6#12#4#10#0
ATA;Fred;fluminense;22.75;0.20;fluminense;atlético-pr;56#57#5#1#13#13#8#6#1
ZAG;Rodrigo;vasco;22.40;18.80;vasco;grêmio;36#76#0#0#17#17#4#2#0
GOL;Marcelo Lomba;pontepreta;21.79;11.00;atlético-mg;ponte preta;4#15#0#0#0#0#0#0#0
ATA;Lucas Pratto;atlético-mg;21.74;-0.10;atlético-mg;ponte preta;36#77#3#4#28#28#9#11#0
LAT;Rodinei;pontepreta;21.55;3.30;atlético-mg;ponte preta;32#76#4#1#4#7#0#3#0
GOL;Cássio;corinthians;21.28;6.70;corinthians;flamengo;2#17#0#0#0#0#0#0#0
ATA;Paolo Guerrero;flamengo;20.91;4.40;corinthians;flamengo;36#19#3#2#16#16#3#14#0
ATA;Ricardo Oliveira;santos;20.81;17.40;figueirense;santos;16#38#2#2#23#22#18#27#4
MEI;Everton;flamengo;19.88;1.60;corinthians;flamengo;51#86#2#0#11#8#4#24#0
ATA;Willian;cruzeiro;19.61;20.60;goiás;cruzeiro;38#60#2#1#16#18#9#14#1
GOL;Renan;goiás;19.53;6.00;goiás;cruzeiro;4#19#0#0#0#0#0#0#0
GOL;Weverton;atlético-pr;18.81;-8.30;fluminense;atlético-pr;10#34#0#0#0#0#0#0#0
ZAG;Gil;corinthians;18.61;4.70;corinthians;flamengo;9#34#1#1#5#6#1#1#0
MEI;Jadson;corinthians;18.60;2.40;corinthians;flamengo;15#160#10#1#17#11#12#2#0
TEC;Tite;corinthians;17.71;6.43;corinthians;flamengo;-#-#-#-#-#-#-#-#-
