POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
LAT;Zé Roberto;palmeiras;26.14;0.00;palmeiras;corinthians;20#22#3#0#5#5#1#0#0
MEI;Diego Souza;sport;26.11;1.00;sport;santos;33#90#5#0#9#13#6#5#0
ATA;Fred;fluminense;23.87;0.00;fluminense;flamengo;43#39#3#1#12#11#6#6#0
GOL;Weverton;atlético-pr;23.23;13.00;atlético-pr;joinville;10#19#0#0#0#0#0#0#0
MEI;Edson;fluminense;22.43;6.20;fluminense;flamengo;32#54#0#1#3#14#2#2#0
ATA;Lucas Pratto;atlético-mg;22.23;4.60;vasco;atlético-mg;25#55#1#4#22#21#6#10#0
LAT;Rodinei;pontepreta;21.96;1.00;chapecoense;ponte preta;19#56#4#1#3#6#0#3#0
GOL;Renan;goiás;21.21;11.50;grêmio;goiás;3#12#0#0#0#0#0#0#0
ATA;Ricardo Oliveira;santos;21.12;20.70;sport;santos;12#29#2#2#16#18#13#16#4
MEI;Everton;flamengo;20.88;2.80;fluminense;flamengo;36#73#2#0#10#6#4#19#0
GOL;Cássio;corinthians;20.76;5.00;palmeiras;corinthians;2#14#0#0#0#0#0#0#0
GOL;Marcelo Lomba;pontepreta;20.33;5.50;chapecoense;ponte preta;3#11#0#0#0#0#0#0#0
ATA;Leandro Damião;cruzeiro;19.68;7.00;cruzeiro;figueirense;19#23#2#0#10#7#2#5#0
MEI;Jadson;corinthians;19.06;8.50;palmeiras;corinthians;12#105#5#1#10#8#9#2#0
MEI;D'Alessandro;internacional;19.02;0.00;são paulo;internacional;16#43#1#0#2#4#0#1#1
ZAG;Gil;corinthians;18.82;6.70;palmeiras;corinthians;5#26#0#1#4#3#0#1#0
ZAG;Rodrigo;vasco;18.79;2.60;vasco;atlético-mg;23#66#0#0#14#12#1#2#0
ATA;Léo Gamalho;avaí;18.34;2.80;avaí;coritiba;3#4#0#1#3#1#4#0#0
ATA;Walter;atlético-pr;18.19;9.20;atlético-pr;joinville;18#90#4#0#18#23#6#14#0
ZAG;Vitor Hugo;palmeiras;17.45;0.30;palmeiras;corinthians;
TEC;Tite;corinthians;17.32;6.50;palmeiras;corinthians;-#-#-#-#-#-#-#-#-
ATA;Rafhael Lucas;coritiba;16.21;-0.40;avaí;coritiba;14#26#2#1#10#10#2#14#0
GOL;Victor;atlético-mg;16.05;10.00;vasco;atlético-mg;4#17#0#0#0#0#0#0#0
LAT;Wellington Silva;fluminense;15.89;0.00;fluminense;flamengo;19#82#0#0#0#7#1#0#0
ATA;Dudu;palmeiras;15.66;1.70;palmeiras;corinthians;45#84#6#0#10#8#5#12#0
LAT;Egídio;palmeiras;15.17;4.20;palmeiras;corinthians;23#99#4#0#6#7#1#1#0
MEI;Dátolo;atlético-mg;15.08;-1.50;vasco;atlético-mg;12#32#0#3#5#7#2#3#0
ZAG;Wallace;flamengo;15.07;3.80;fluminense;flamengo;23#59#0#1#4#6#1#0#0
MEI;Willians;cruzeiro;15.04;10.20;cruzeiro;figueirense;37#41#0#0#0#2#1#0#0
GOL;Diego Cavalieri;fluminense;14.98;-1.00;fluminense;flamengo;2#6#0#0#0#0#0#0#0
ATA;Eduardo Sasha;internacional;14.94;13.80;são paulo;internacional;12#33#1#2#7#3#2#0#0
TEC;Levir Culpi;atlético-mg;14.54;1.31;vasco;atlético-mg;-#-#-#-#-#-#-#-#-
ZAG;Matheus Ferraz;sport;14.41;7.60;sport;santos;9#45#0#1#1#3#3#0#0
MEI;Giuliano;grêmio;14.36;1.60;grêmio;goiás;14#69#6#0#5#8#4#1#0
ATA;Bruno Henrique;goiás;14.30;7.60;grêmio;goiás;44#51#4#0#15#20#3#10#0
GOL;Fernando Prass;palmeiras;14.23;4.00;palmeiras;corinthians;5#19#0#0#0#0#0#0#0
LAT;Victor Ferraz;santos;14.13;1.80;sport;santos;7#66#4#0#3#2#1#1#0
ZAG;Gum;fluminense;14.13;0.00;fluminense;flamengo;9#48#1#1#4#2#0#0#0
MEI;Ganso;sãopaulo;14.02;5.70;são paulo;internacional;32#68#3#0#5#8#1#6#0
ATA;Willian;cruzeiro;13.83;-3.00;cruzeiro;figueirense;
LAT;Gilson;pontepreta;13.78;0.00;chapecoense;ponte preta;26#63#2#0#3#5#0#5#0
MEI;Rithely;sport;13.59;1.80;sport;santos;20#86#2#0#5#11#1#1#0
LAT;Patric;atlético-mg;13.53;-0.40;vasco;atlético-mg;6#41#5#0#4#7#2#8#0
TEC;Dorival Júnior;santos;13.40;4.53;sport;santos;-#-#-#-#-#-#-#-#-
ZAG;Leonardo Silva;atlético-mg;13.30;1.90;vasco;atlético-mg;18#44#1#0#4#7#1#4#0
TEC;Juan Carlos Osorio;sãopaulo;13.24;4.92;são paulo;internacional;-#-#-#-#-#-#-#-#-
MEI;Jean;fluminense;12.75;-1.00;fluminense;flamengo;10#67#0#0#5#13#1#0#0
MEI;Marquinhos;avaí;12.73;0.00;avaí;coritiba;15#61#1#1#3#5#1#0#0
ATA;Lisandro López;internacional;12.65;15.20;são paulo;internacional;12#16#1#1#6#4#3#11#0
TEC;Enderson Moreira;fluminense;12.64;0.85;fluminense;flamengo;-#-#-#-#-#-#-#-#-
GOL;Danilo;chapecoense;12.64;4.00;chapecoense;ponte preta;4#15#0#0#0#0#0#0#0
TEC;Milton Mendes;atlético-pr;12.57;5.34;atlético-pr;joinville;-#-#-#-#-#-#-#-#-
ZAG;Luan;vasco;12.54;-1.50;vasco;atlético-mg;13#39#0#0#2#2#0#0#0
ZAG;Durval;sport;12.42;4.10;sport;santos;7#64#0#0#3#2#0#4#0
GOL;Fábio;cruzeiro;12.40;1.00;cruzeiro;figueirense;4#7#0#0#0#0#0#0#0
MEI;Ralf;corinthians;12.33;10.10;palmeiras;corinthians;8#17#0#0#1#0#1#0#0
LAT;Fagner;corinthians;12.29;3.30;palmeiras;corinthians;14#62#1#0#0#3#0#1#0
MEI;Henrique;cruzeiro;12.29;1.30;cruzeiro;figueirense;28#44#0#1#5#10#1#1#0
ZAG;Kadu;atlético-pr;12.28;5.80;atlético-pr;joinville;5#40#0#1#0#1#1#2#0
