POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
ATA;Luan;grêmio;27.53;0.10;grêmio;santos;90#76#5#2#17#22#8#14#0
LAT;Zé Roberto;palmeiras;26.08;0.00;palmeiras;ponte preta;25#31#3#0#6#8#2#0#0
GOL;Rogério Ceni;sãopaulo;25.34;5.00;fluminense;são paulo;1#17#0#0#0#0#3#0#0
ATA;Fred;fluminense;25.04;0.00;fluminense;são paulo;51#50#5#1#13#13#7#6#1
ATA;Lucas Pratto;atlético-mg;24.55;15.10;atlético-mg;internacional;35#72#3#4#27#27#8#11#0
ATA;Luan;atlético-mg;22.47;-1.60;atlético-mg;internacional;18#71#3#0#6#9#4#10#0
GOL;Weverton;atlético-pr;20.95;1.00;atlético-pr;cruzeiro;10#30#0#0#0#0#0#0#0
GOL;Cássio;corinthians;20.61;2.00;corinthians;goiás;2#16#0#0#0#0#0#0#0
GOL;Marcelo Lomba;pontepreta;20.27;1.70;palmeiras;ponte preta;4#15#0#0#0#0#0#0#0
ATA;Leandro Damião;cruzeiro;19.78;7.70;atlético-pr;cruzeiro;23#26#2#1#10#9#2#5#0
ZAG;Rodrigo;vasco;19.77;2.90;vasco;chapecoense;33#73#0#0#17#16#2#2#0
MEI;Jadson;corinthians;19.38;6.70;corinthians;goiás;14#146#8#1#14#10#12#2#0
GOL;Renan;goiás;19.03;0.00;corinthians;goiás;4#16#0#0#0#0#0#0#0
ATA;Rafael Marques;palmeiras;18.84;6.90;palmeiras;ponte preta;47#96#5#0#13#16#7#8#0
ZAG;Jemerson;atlético-mg;18.71;8.60;atlético-mg;internacional;11#39#0#0#3#11#4#3#0
ZAG;Gil;corinthians;18.30;1.20;corinthians;goiás;9#31#0#1#5#6#1#1#0
ATA;Dudu;palmeiras;18.03;10.70;palmeiras;ponte preta;51#92#7#0#13#8#7#13#0
GOL;Marcelo Grohe;grêmio;17.65;8.00;grêmio;santos;5#17#0#0#0#0#0#0#0
TEC;Tite;corinthians;17.18;2.66;corinthians;goiás;-#-#-#-#-#-#-#-#-
ZAG;Vitor Hugo;palmeiras;17.14;-0.50;palmeiras;ponte preta;
