POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
ATA;Luan;grêmio;26.86;-0.90;grêmio;atlético-mg;106#95#7#2#25#26#9#16#0
MEI;Diego Souza;sport;25.09;-0.70;sport;corinthians;44#129#9#0#14#17#8#7#0
ATA;Luan;atlético-mg;24.98;13.50;grêmio;atlético-mg;25#98#4#0#7#16#7#11#0
ATA;Fred;fluminense;23.16;4.00;fluminense;internacional;60#59#5#2#13#13#9#10#1
GOL;Weverton;atlético-pr;23.13;13.70;atlético-pr;flamengo;11#38#0#0#0#0#0#0#0
ATA;Lucas Pratto;atlético-mg;22.84;6.90;grêmio;atlético-mg;40#85#3#5#34#30#9#11#0
GOL;Cássio;corinthians;22.72;13.70;sport;corinthians;2#18#0#0#0#0#0#0#0
LAT;Rodinei;pontepreta;21.27;1.30;avaí;ponte preta;43#90#4#1#4#7#0#4#0
GOL;Marcelo Lomba;pontepreta;20.27;0.70;avaí;ponte preta;5#18#0#0#0#0#0#0#0
ZAG;Rodrigo;vasco;18.65;0.00;vasco;santos;43#84#0#0#18#20#4#2#0
TEC;Tite;corinthians;18.42;8.45;sport;corinthians;-#-#-#-#-#-#-#-#-
ATA;Leandro Damião;cruzeiro;18.38;0.50;cruzeiro;joinville;26#30#2#1#11#11#4#6#0
GOL;Renan;goiás;18.33;0.00;chapecoense;goiás;4#20#0#0#0#0#0#0#0
MEI;D'Alessandro;internacional;18.18;0.90;fluminense;internacional;36#66#3#0#2#6#0#3#1
ZAG;Jemerson;atlético-mg;18.13;7.40;grêmio;atlético-mg;12#53#0#1#4#13#4#3#0
ATA;Willian;cruzeiro;17.70;6.30;cruzeiro;joinville;48#67#3#1#20#25#10#16#1
ATA;Bruno Henrique;goiás;17.17;19.00;chapecoense;goiás;79#75#7#0#24#27#7#14#0
GOL;Marcelo Grohe;grêmio;16.78;3.10;grêmio;atlético-mg;5#22#0#0#0#0#0#0#0
ZAG;Marlon;fluminense;16.21;4.30;fluminense;internacional;16#27#1#0#2#3#0#3#0
LAT;Egídio;palmeiras;16.16;11.80;palmeiras;coritiba;
MEI;Élber;sport;16.01;0.90;sport;corinthians;27#51#1#0#9#8#5#3#0
GOL;Martín Silva;vasco;15.96;2.00;vasco;santos;1#5#0#0#0#0#0#0#0
ATA;Geuvânio;santos;15.56;0.50;vasco;santos;36#59#2#0#15#19#4#8#0
MEI;Dátolo;atlético-mg;15.44;-2.50;grêmio;atlético-mg;21#56#4#3#9#14#6#8#0
GOL;Diego Cavalieri;fluminense;15.32;1.00;fluminense;internacional;3#14#0#0#0#0#0#0#0
ATA;Vitinho;internacional;15.23;7.10;fluminense;internacional;32#108#2#0#13#29#8#8#0
ATA;Walter;atlético-pr;15.23;-4.90;atlético-pr;flamengo;32#139#4#0#29#39#9#25#0
TEC;Levir Culpi;atlético-mg;15.22;3.30;grêmio;atlético-mg;-#-#-#-#-#-#-#-#-
MEI;Giuliano;grêmio;14.92;3.70;grêmio;atlético-mg;29#121#7#0#10#14#6#3#0
ZAG;Matheus Ferraz;sport;14.86;8.50;sport;corinthians;16#64#0#1#3#4#4#0#0
GOL;Fernando Prass;palmeiras;14.82;9.40;palmeiras;coritiba;9#28#0#0#0#0#0#0#0
ATA;Nenê;vasco;14.79;12.30;vasco;santos;54#89#4#1#12#19#8#1#0
MEI;Willians;cruzeiro;14.59;5.80;cruzeiro;joinville;62#81#3#0#4#7#1#1#0
ZAG;Wallace;flamengo;14.55;-0.40;atlético-pr;flamengo;33#71#1#1#6#6#1#1#0
ATA;Erik;goiás;14.44;14.70;chapecoense;goiás;24#48#2#2#8#8#9#7#0
MEI;Fernando Bob;pontepreta;14.33;-0.30;avaí;ponte preta;57#99#1#0#2#5#3#0#0
LAT;Wellington Silva;fluminense;14.30;1.20;fluminense;internacional;36#121#0#0#0#9#1#3#0
ZAG;Gum;fluminense;13.87;6.10;fluminense;internacional;17#88#1#1#5#4#1#0#0
LAT;Victor Ferraz;santos;13.81;0.00;vasco;santos;10#78#5#0#3#4#1#1#0
MEI;Jean;fluminense;13.70;2.30;fluminense;internacional;
TEC;Dorival Júnior;santos;13.68;-0.45;vasco;santos;-#-#-#-#-#-#-#-#-
TEC;Falcão;sport;13.66;5.24;sport;corinthians;-#-#-#-#-#-#-#-#-
MEI;Rithely;sport;13.57;4.10;sport;corinthians;32#127#2#0#5#16#1#1#0
MEI;Marcos Guilherme;atlético-pr;13.53;2.40;atlético-pr;flamengo;24#48#4#0#20#13#4#4#0
GOL;Victor;atlético-mg;13.41;-4.00;grêmio;atlético-mg;6#26#0#0#0#0#0#0#0
LAT;Patric;atlético-mg;13.39;0.00;grêmio;atlético-mg;12#64#5#0#8#9#2#17#0
TEC;Mano Menezes;cruzeiro;13.35;3.08;cruzeiro;joinville;-#-#-#-#-#-#-#-#-
ZAG;Durval;sport;13.31;7.30;sport;corinthians;16#87#0#0#3#4#0#5#0
GOL;Danilo Fernandes;sport;13.14;8.00;sport;corinthians;5#22#0#0#0#0#0#0#0
LAT;Fagner;corinthians;13.03;7.30;sport;corinthians;20#73#2#0#1#4#0#1#0
MEI;Michel Bastos;sãopaulo;12.87;1.80;são paulo;figueirense;12#115#0#1#7#31#7#14#0
ZAG;Leonardo Silva;atlético-mg;12.85;-2.80;grêmio;atlético-mg;31#69#1#1#7#12#2#5#0
TEC;Guto Ferreira;chapecoense;12.80;3.88;chapecoense;goiás;-#-#-#-#-#-#-#-#-
GOL;Alex Muralha;figueirense;12.66;5.00;são paulo;figueirense;3#13#0#0#0#0#0#0#0
LAT;Gilson;pontepreta;12.45;-1.80;avaí;ponte preta;43#94#2#0#3#5#0#6#0
LAT;Apodi;chapecoense;12.45;4.50;chapecoense;goiás;61#112#0#0#13#15#4#6#0
