POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
MEI;Diego Souza;sport;25.77;-0.80;goiás;sport;33#91#5#0#9#13#6#5#0
LAT;Zé Roberto;palmeiras;25.70;6.00;internacional;palmeiras;21#23#3#0#6#7#1#0#0
ATA;Lucas Pratto;atlético-mg;23.62;11.10;atlético-mg;avaí;28#57#1#4#23#21#7#10#0
MEI;Edson;fluminense;22.43;0.00;coritiba;fluminense;32#54#0#1#3#14#2#2#0
ATA;Luan;atlético-mg;22.39;0.00;atlético-mg;avaí;9#46#3#0#4#7#2#9#0
LAT;Rodinei;pontepreta;22.28;2.60;ponte preta;vasco;19#59#4#1#3#6#0#3#0
GOL;Weverton;atlético-pr;22.27;5.70;figueirense;atlético-pr;10#20#0#0#0#0#0#0#0
GOL;Marcelo Lomba;pontepreta;22.08;13.70;ponte preta;vasco;3#12#0#0#0#0#0#0#0
GOL;Cássio;corinthians;21.11;6.00;corinthians;grêmio;2#14#0#0#0#0#0#0#0
ATA;Willian;cruzeiro;20.57;32.70;flamengo;cruzeiro;22#44#1#0#9#15#4#8#0
ATA;Ricardo Oliveira;santos;19.54;8.70;santos;são paulo;12#29#2#2#17#19#14#16#4
MEI;D'Alessandro;internacional;19.29;2.00;internacional;palmeiras;19#47#1#0#2#4#0#1#1
GOL;Renan;goiás;19.14;-1.30;goiás;sport;3#13#0#0#0#0#0#0#0
ZAG;Rodrigo;vasco;19.08;3.70;ponte preta;vasco;23#68#0#0#14#14#1#2#0
MEI;Jadson;corinthians;17.65;-0.30;corinthians;grêmio;12#110#5#1#10#8#9#2#0
ATA;Rafael Marques;palmeiras;17.62;0.00;internacional;palmeiras;30#76#3#0#11#12#6#7#0
ZAG;Vitor Hugo;palmeiras;17.57;1.00;internacional;palmeiras;7#30#0#1#3#8#2#0#0
ATA;Léo Gamalho;avaí;17.55;-0.30;atlético-mg;avaí;5#10#0#1#4#1#4#1#0
TEC;Tite;corinthians;17.03;3.89;corinthians;grêmio;-#-#-#-#-#-#-#-#-
ATA;Walter;atlético-pr;16.73;0.00;figueirense;atlético-pr;
ZAG;Jemerson;atlético-mg;16.00;0.00;atlético-mg;avaí;9#32#0#0#3#9#2#3#0
LAT;Wellington Silva;fluminense;15.84;4.70;coritiba;fluminense;24#84#0#0#0#8#1#0#0
GOL;Diego Cavalieri;fluminense;15.64;2.70;coritiba;fluminense;2#7#0#0#0#0#0#0#0
MEI;Willians;cruzeiro;15.20;9.20;flamengo;cruzeiro;40#44#1#0#0#2#1#0#0
MEI;Ganso;sãopaulo;15.04;10.00;santos;são paulo;34#74#4#0#5#9#1#6#0
ZAG;Wallace;flamengo;14.90;2.30;flamengo;cruzeiro;24#63#1#1#5#6#1#0#0
MEI;Fernando Bob;pontepreta;14.77;0.00;ponte preta;vasco;40#65#0#0#2#4#1#0#0
GOL;Danilo;chapecoense;14.69;14.00;joinville;chapecoense;4#15#0#0#0#0#0#0#0
