POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
ATA;Luan;grêmio;28.30;7.20;joinville;grêmio;107#96#7#2#25#26#10#17#0
MEI;Diego Souza;sport;25.14;-0.20;ponte preta;sport;45#135#9#0#14#19#8#7#0
ATA;Luan;atlético-mg;23.62;4.60;atlético-mg;chapecoense;25#101#4#0#8#17#7#11#0
ATA;Lucas Pratto;atlético-mg;23.30;8.70;atlético-mg;chapecoense;41#85#3#5#34#31#10#11#0
GOL;Cássio;corinthians;22.72;0.00;corinthians;avaí;2#18#0#0#0#0#0#0#0
ZAG;Rodrigo;vasco;20.11;3.60;coritiba;vasco;44#86#0#0#18#21#4#2#0
MEI;Edson;fluminense;19.98;-0.40;figueirense;fluminense;36#61#0#1#3#15#2#2#0
ATA;Willian;cruzeiro;19.63;16.10;internacional;cruzeiro;50#71#4#1#21#29#11#17#1
MEI;Everton;flamengo;18.62;-3.70;flamengo;palmeiras;52#93#2#0#12#8#4#25#0
GOL;Renan;goiás;18.43;0.70;goiás;são paulo;4#21#0#0#0#0#0#0#0
GOL;Martín Silva;vasco;17.65;11.00;coritiba;vasco;1#5#0#0#0#0#0#0#0
ZAG;Gil;corinthians;17.53;-2.30;corinthians;avaí;11#40#1#1#5#6#1#1#0
TEC;Tite;corinthians;17.11;0.44;corinthians;avaí;-#-#-#-#-#-#-#-#-
ZAG;Jemerson;atlético-mg;16.69;-1.20;atlético-mg;chapecoense;12#55#0#1#4#14#4#3#0
ATA;Walter;atlético-pr;16.15;0.80;santos;atlético-pr;32#144#4#0#29#42#9#27#0
MEI;Élber;sport;16.14;1.60;ponte preta;sport;30#53#1#0#10#9#5#4#0
ZAG;Matheus Ferraz;sport;15.69;12.10;ponte preta;sport;16#66#0#1#3#5#5#0#0
ATA;Nenê;vasco;15.60;14.30;coritiba;vasco;57#95#4#1#14#19#9#1#0
ATA;Vitinho;internacional;15.56;8.10;internacional;cruzeiro;33#109#2#0#14#30#9#8#0
ATA;Geuvânio;santos;15.44;-0.10;santos;atlético-pr;
GOL;Diego Cavalieri;fluminense;15.36;1.20;figueirense;fluminense;4#15#0#0#0#0#0#0#0
ATA;Alexandre Pato;sãopaulo;15.25;2.00;goiás;são paulo;69#106#6#2#19#16#9#15#0
MEI;Willians;cruzeiro;14.98;7.30;internacional;cruzeiro;63#85#3#0#5#8#1#1#0
MEI;Giuliano;grêmio;14.92;0.00;joinville;grêmio;29#121#7#0#10#14#6#3#0
LAT;Egídio;palmeiras;14.79;3.00;flamengo;palmeiras;42#137#5#0#6#10#1#1#0
LAT;Wellington Silva;fluminense;14.79;3.80;figueirense;fluminense;39#123#0#0#0#9#1#3#0
ZAG;Wallace;flamengo;14.78;1.00;flamengo;palmeiras;34#75#1#1#6#6#1#1#0
LAT;Marcos Rocha;atlético-mg;14.70;0.00;atlético-mg;chapecoense;15#103#2#0#5#3#2#1#0
MEI;Arrascaeta;cruzeiro;14.53;0.00;internacional;cruzeiro;29#56#1#0#16#12#4#3#0
TEC;Mano Menezes;cruzeiro;14.49;8.26;internacional;cruzeiro;-#-#-#-#-#-#-#-#-
MEI;Ganso;sãopaulo;14.48;2.90;goiás;são paulo;51#114#8#2#9#16#2#6#0
ATA;Bruno Henrique;goiás;14.32;1.30;goiás;são paulo;85#79#7#0#24#27#7#14#0
TEC;Falcão;sport;13.88;5.14;ponte preta;sport;-#-#-#-#-#-#-#-#-
GOL;Victor;atlético-mg;13.85;-1.00;atlético-mg;chapecoense;6#26#0#0#0#0#0#0#0
TEC;Dorival Júnior;santos;13.79;0.45;santos;atlético-pr;-#-#-#-#-#-#-#-#-
TEC;Diogo Giacomini;atlético-mg;13.74;2.21;atlético-mg;chapecoense;-#-#-#-#-#-#-#-#-
ZAG;Leonardo Silva;atlético-mg;13.66;2.00;atlético-mg;chapecoense;31#71#1#1#7#14#2#5#0
ATA;Erik;goiás;13.43;7.50;goiás;são paulo;25#48#2#2#8#8#10#9#0
ZAG;Durval;sport;13.24;6.10;ponte preta;sport;18#90#0#0#4#4#0#5#0
