POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
ATA;Luan;grêmio;27.94;0.00;grêmio;são paulo;71#60#4#2#14#18#5#12#0
MEI;Diego Souza;sport;25.96;0.30;sport;fluminense;33#97#5#0#9#14#6#6#0
ATA;Luan;atlético-mg;24.98;13.00;cruzeiro;atlético-mg;11#52#3#0#4#7#3#9#0
LAT;Zé Roberto;palmeiras;24.98;1.60;palmeiras;figueirense;22#25#3#0#6#7#1#0#0
ATA;Fred;fluminense;23.87;0.00;sport;fluminense;43#39#3#1#12#11#6#6#0
LAT;Rodinei;pontepreta;22.47;3.50;ponte preta;santos;22#62#4#1#3#6#0#3#0
ATA;Lucas Pratto;atlético-mg;22.45;3.40;cruzeiro;atlético-mg;30#61#1#4#23#22#7#10#0
GOL;Renan;goiás;21.97;14.00;avaí;goiás;3#13#0#0#0#0#0#0#0
GOL;Weverton;atlético-pr;21.32;0.10;vasco;atlético-pr;10#23#0#0#0#0#0#0#0
GOL;Marcelo Lomba;pontepreta;20.03;0.90;ponte preta;santos;4#14#0#0#0#0#0#0#0
ZAG;Rodrigo;vasco;19.95;7.90;vasco;atlético-pr;24#72#0#0#14#15#1#2#0
GOL;Cássio;corinthians;19.71;-2.00;corinthians;joinville;2#14#0#0#0#0#0#0#0
ATA;Leandro Damião;cruzeiro;19.68;0.00;cruzeiro;atlético-mg;19#23#2#0#10#7#2#5#0
MEI;Everton;flamengo;19.64;0.00;chapecoense;flamengo;41#75#2#0#10#6#4#19#0
ATA;Ricardo Oliveira;santos;19.57;7.60;ponte preta;santos;12#32#2#2#18#20#15#18#4
MEI;Jadson;corinthians;18.30;3.40;corinthians;joinville;12#121#6#1#11#9#9#2#0
ATA;Walter;atlético-pr;17.95;6.60;vasco;atlético-pr;22#101#4#0#19#25#7#15#0
ZAG;Jemerson;atlético-mg;17.89;7.30;cruzeiro;atlético-mg;9#34#0#0#3#9#2#3#0
ZAG;Gil;corinthians;17.83;0.00;corinthians;joinville;6#27#0#1#4#3#0#1#0
GOL;Marcelo Grohe;grêmio;17.60;0.00;grêmio;são paulo;
ATA;Léo Gamalho;avaí;17.22;0.00;avaí;goiás;5#10#0#1#5#1#4#1#0
ZAG;Vitor Hugo;palmeiras;17.13;-1.20;palmeiras;figueirense;9#33#0#1#4#8#2#0#0
