POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
ATA;Luan;grêmio;27.51;1.10;grêmio;chapecoense;90#78#5#2#18#22#8#14#0
MEI;Diego Souza;sport;25.46;0.00;sport;atlético-mg;35#117#6#0#12#15#7#6#0
ATA;Fred;fluminense;24.62;9.10;cruzeiro;fluminense;55#52#5#1#13#13#8#6#1
GOL;Rogério Ceni;sãopaulo;24.15;-1.00;são paulo;vasco;1#17#0#0#0#0#3#0#0
ATA;Lucas Pratto;atlético-mg;23.59;8.80;sport;atlético-mg;35#75#3#4#28#28#9#11#0
GOL;Cássio;corinthians;22.19;11.00;atlético-pr;corinthians;2#16#0#0#0#0#0#0#0
GOL;Marcelo Lomba;pontepreta;21.91;11.00;ponte preta;coritiba;4#15#0#0#0#0#0#0#0
GOL;Weverton;atlético-pr;21.39;4.10;atlético-pr;corinthians;10#33#0#0#0#0#0#0#0
LAT;Rodinei;pontepreta;20.91;0.00;ponte preta;coritiba;29#73#4#1#4#7#0#3#0
MEI;Jadson;corinthians;20.55;12.70;atlético-pr;corinthians;14#155#10#1#16#10#12#2#0
ATA;Paolo Guerrero;flamengo;20.35;0.00;flamengo;internacional;32#18#3#1#14#15#3#14#0
MEI;Everton;flamengo;20.27;1.90;flamengo;internacional;49#84#2#0#11#8#4#24#0
ZAG;Rodrigo;vasco;20.13;5.20;são paulo;vasco;35#74#0#0#17#16#3#2#0
MEI;D'Alessandro;internacional;19.41;0.00;flamengo;internacional;20#50#2#0#2#4#0#1#1
ZAG;Gil;corinthians;18.79;4.40;atlético-pr;corinthians;9#33#0#1#5#6#1#1#0
ATA;Rafael Marques;palmeiras;18.25;3.50;avaí;palmeiras;50#98#5#0#13#18#7#8#0
GOL;Renan;goiás;18.15;-3.90;santos;goiás;4#19#0#0#0#0#0#0#0
TEC;Tite;corinthians;18.13;7.99;atlético-pr;corinthians;-#-#-#-#-#-#-#-#-
MEI;Élber;sport;17.60;8.40;sport;atlético-mg;22#34#1#0#7#6#4#2#0
ATA;Ricardo Oliveira;santos;17.47;0.00;santos;goiás;
ZAG;Jemerson;atlético-mg;17.25;0.30;sport;atlético-mg;12#42#0#0#3#12#4#3#0
MEI;Fernando Bob;pontepreta;17.12;13.10;ponte preta;coritiba;51#80#1#0#2#4#3#0#0
MEI;Arrascaeta;cruzeiro;16.91;12.70;cruzeiro;fluminense;22#37#1#0#11#6#3#2#0
ATA;Willian;cruzeiro;16.41;0.00;cruzeiro;fluminense;34#59#2#1#15#17#7#13#1
ZAG;Marlon;fluminense;16.23;3.40;cruzeiro;fluminense;12#20#1#0#2#2#0#3#0
GOL;Diego Cavalieri;fluminense;16.07;5.20;cruzeiro;fluminense;3#10#0#0#0#0#0#0#0
