POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
MEI;Diego Souza;sport;27.20;0.60;grêmio;sport;18#51#3#0#6#8#4#3#0
ATA;Luan;grêmio;27.07;-0.70;grêmio;sport;53#50#4#1#12#10#2#8#0
GOL;Rogério Ceni;sãopaulo;24.63;-1.60;são paulo;cruzeiro;0#14#0#0#0#0#2#0#0
ATA;Fred;fluminense;24.50;-0.20;chapecoense;fluminense;37#34#3#1#11#6#5#5#0
ATA;Paolo Guerrero;flamengo;23.01;10.90;goiás;flamengo;13#5#1#0#2#5#2#4#0
MEI;Edson;fluminense;22.44;1.90;chapecoense;fluminense;21#39#0#1#2#9#1#1#0
ATA;Lucas Pratto;atlético-mg;21.97;5.50;atlético-mg;figueirense;13#33#1#2#19#10#3#5#0
GOL;Weverton;atlético-pr;21.94;8.00;avaí;atlético-pr;7#15#0#0#0#0#0#0#0
LAT;Rodinei;pontepreta;21.93;-0.60;ponte preta;internacional;12#32#4#0#1#2#0#2#0
GOL;Cássio;corinthians;21.48;0.00;coritiba;corinthians;1#11#0#0#0#0#0#0#0
MEI;Everton;flamengo;21.44;4.60;goiás;flamengo;21#49#0#0#6#4#3#15#0
ZAG;Rodrigo;vasco;19.62;4.10;vasco;palmeiras;12#48#0#0#10#5#1#0#0
GOL;Marcelo Lomba;pontepreta;18.90;-2.00;ponte preta;internacional;2#5#0#0#0#0#0#0#0
MEI;Jadson;corinthians;18.84;0.00;coritiba;corinthians;9#74#2#0#8#4#6#2#0
GOL;Renan;goiás;18.68;-4.30;goiás;flamengo;2#8#0#0#0#0#0#0#0
ATA;Rafael Marques;palmeiras;18.35;4.10;vasco;palmeiras;20#54#2#0#7#9#5#5#0
MEI;Élber;sport;18.21;7.40;grêmio;sport;11#11#0#0#3#0#2#0#0
ZAG;Jemerson;atlético-mg;17.94;2.40;atlético-mg;figueirense;5#23#0#0#2#4#2#2#0
ATA;Rafhael Lucas;coritiba;17.31;0.20;coritiba;corinthians;10#18#0#1#7#5#2#7#0
TEC;Tite;corinthians;17.22;5.68;coritiba;corinthians;
ZAG;Wallace;flamengo;16.69;11.80;goiás;flamengo;18#42#0#1#4#5#0#0#0
ATA;Geuvânio;santos;16.10;1.40;santos;joinville;18#26#0#0#7#12#2#3#0
LAT;Wellington Silva;fluminense;16.06;5.10;chapecoense;fluminense;11#52#0#0#0#5#1#0#0
LAT;Egídio;palmeiras;15.92;8.00;vasco;palmeiras;14#67#4#0#5#3#1#1#0
MEI;Fernando Bob;pontepreta;15.92;8.00;ponte preta;internacional;19#47#0#0#0#3#1#0#0
MEI;Arrascaeta;cruzeiro;15.90;-1.00;são paulo;cruzeiro;11#25#1#0#4#5#1#0#0
GOL;Fernando Prass;palmeiras;15.77;8.00;vasco;palmeiras;5#12#0#0#0#0#0#0#0
MEI;Rithely;sport;15.50;8.70;grêmio;sport;14#47#2#0#3#8#1#1#0
LAT;Marcos Rocha;atlético-mg;15.43;11.00;atlético-mg;figueirense;1#8#0#0#1#0#0#0#0
TEC;Levir Culpi;atlético-mg;15.19;3.19;atlético-mg;figueirense;-#-#-#-#-#-#-#-#-
ATA;Vitinho;internacional;15.07;3.20;ponte preta;internacional;8#35#1#0#2#10#3#1#0
GOL;Diego Cavalieri;fluminense;15.05;-1.00;chapecoense;fluminense;2#4#0#0#0#0#0#0#0
MEI;Jean;fluminense;14.95;7.20;chapecoense;fluminense;6#46#0#0#4#8#1#0#0
MEI;Guiñazu;vasco;14.65;0.00;vasco;palmeiras;15#19#0#0#0#2#0#0#0
GOL;Victor;atlético-mg;14.59;1.00;atlético-mg;figueirense;2#14#0#0#0#0#0#0#0
MEI;Giuliano;grêmio;14.56;0.00;grêmio;sport;9#43#4#0#4#5#3#1#0
ATA;Dudu;palmeiras;14.54;2.20;vasco;palmeiras;20#40#3#0#3#5#2#8#0
ZAG;Gum;fluminense;14.33;2.50;chapecoense;fluminense;5#37#0#1#4#2#0#0#0
MEI;Gabriel;palmeiras;14.24;7.50;vasco;palmeiras;18#27#1#0#4#4#1#0#0
ZAG;Matheus Ferraz;sport;14.17;4.10;grêmio;sport;
ZAG;Leonardo Silva;atlético-mg;14.01;3.30;atlético-mg;figueirense;15#35#1#0#2#2#1#3#0
ATA;Eduardo Sasha;internacional;13.85;8.80;ponte preta;internacional;1#5#0#0#0#1#1#0#0
LAT;Uendel;corinthians;13.73;8.10;coritiba;corinthians;1#19#1#0#0#1#1#0#0
MEI;Michel Bastos;sãopaulo;13.55;1.50;são paulo;cruzeiro;7#61#0#0#3#15#3#5#0
LAT;Fagner;corinthians;13.48;11.60;coritiba;corinthians;9#38#0#0#0#3#0#1#0
MEI;Felipe Menezes;goiás;13.41;12.50;goiás;flamengo;18#62#3#0#9#4#4#2#1
ATA;Alexandre Pato;sãopaulo;13.33;-2.40;são paulo;cruzeiro;18#36#3#1#7#4#5#9#0
ATA;Bruno Henrique;goiás;13.30;1.50;goiás;flamengo;33#26#2#0#10#14#2#6#0
TEC;Enderson Moreira;fluminense;13.24;2.41;chapecoense;fluminense;-#-#-#-#-#-#-#-#-
MEI;Henrique;cruzeiro;13.23;7.80;são paulo;cruzeiro;12#26#0#1#2#5#1#1#0
LAT;Victor Ferraz;santos;13.14;1.70;santos;joinville;5#44#2#0#2#1#0#0#0
GOL;Fábio;cruzeiro;12.99;3.70;são paulo;cruzeiro;3#2#0#0#0#0#0#0#0
ZAG;Durval;sport;12.96;4.40;grêmio;sport;6#40#0#0#2#0#0#2#0
MEI;Camilo;chapecoense;12.70;1.00;chapecoense;fluminense;16#47#2#0#2#8#1#6#0
