POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
LAT;Zé Roberto;palmeiras;26.14;8.90;goiás;palmeiras;20#22#3#0#5#5#1#0#0
MEI;Diego Souza;sport;25.43;-4.70;coritiba;sport;30#82#5#0#9#12#6#5#0
ATA;Luan;atlético-mg;22.81;-0.30;atlético-mg;atlético-pr;5#41#3#0#4#7#2#7#0
MEI;Everton;flamengo;22.23;10.80;flamengo;avaí;36#67#2#0#9#6#4#18#0
LAT;Rodinei;pontepreta;22.20;1.50;ponte preta;cruzeiro;17#52#4#1#3#6#0#3#0
GOL;Weverton;atlético-pr;22.13;7.70;atlético-mg;atlético-pr;8#19#0#0#0#0#0#0#0
ATA;Lucas Pratto;atlético-mg;21.55;0.00;atlético-mg;atlético-pr;25#52#1#4#20#17#6#8#0
MEI;Edson;fluminense;21.49;0.30;corinthians;fluminense;30#52#0#1#3#14#2#2#0
GOL;Cássio;corinthians;20.56;3.70;corinthians;fluminense;2#14#0#0#0#0#0#0#0
ATA;Léo Gamalho;avaí;20.46;23.10;flamengo;avaí;3#2#0#1#1#0#4#0#0
GOL;Marcelo Lomba;pontepreta;20.34;5.70;ponte preta;cruzeiro;2#11#0#0#0#0#0#0#0
GOL;Renan;goiás;19.29;0.70;goiás;palmeiras;2#12#0#0#0#0#0#0#0
ATA;Walter;atlético-pr;19.16;16.50;atlético-mg;atlético-pr;16#86#4#0#18#21#5#14#0
MEI;Jadson;corinthians;19.07;9.50;corinthians;fluminense;12#100#3#1#10#8#9#2#0
ZAG;Rodrigo;vasco;18.82;0.00;internacional;vasco;22#64#0#0#13#12#1#2#0
ATA;Ricardo Oliveira;santos;18.29;6.30;santos;chapecoense;11#29#1#2#14#17#11#16#3
ZAG;Vitor Hugo;palmeiras;18.05;3.20;goiás;palmeiras;7#26#0#1#3#6#2#0#0
ATA;Dudu;palmeiras;17.96;15.90;goiás;palmeiras;40#78#6#0#9#8#5#12#0
ZAG;Gil;corinthians;17.65;-0.30;corinthians;fluminense;5#25#0#1#2#3#0#1#0
TEC;Tite;corinthians;17.03;5.19;corinthians;fluminense;
ZAG;Jemerson;atlético-mg;16.85;-0.10;atlético-mg;atlético-pr;8#29#0#0#3#8#2#2#0
ATA;Geuvânio;santos;16.69;0.00;santos;chapecoense;32#45#2#0#10#17#3#6#0
ATA;Alexandre Pato;sãopaulo;16.63;13.30;joinville;são paulo;31#52#4#1#10#8#7#10#0
MEI;Fernando Bob;pontepreta;15.82;7.30;ponte preta;cruzeiro;35#61#0#0#2#4#1#0#0
MEI;Ganso;sãopaulo;15.80;17.60;joinville;são paulo;28#56#3#0#4#8#1#6#0
LAT;Victor Ferraz;santos;15.69;11.40;santos;chapecoense;6#64#4#0#3#1#1#1#0
MEI;Guiñazu;vasco;15.48;6.80;internacional;vasco;19#25#0#0#0#3#0#0#0
LAT;Egídio;palmeiras;15.34;5.40;goiás;palmeiras;23#96#4#0#6#7#1#1#0
GOL;Diego Cavalieri;fluminense;15.16;-1.00;corinthians;fluminense;2#6#0#0#0#0#0#0#0
ATA;Vitinho;internacional;14.99;5.20;internacional;vasco;20#53#1#0#5#15#4#1#0
LAT;Marcos Rocha;atlético-mg;14.86;5.40;atlético-mg;atlético-pr;7#34#1#0#1#1#0#1#0
TEC;Levir Culpi;atlético-mg;14.75;2.15;atlético-mg;atlético-pr;-#-#-#-#-#-#-#-#-
GOL;Alex Muralha;figueirense;14.70;18.00;figueirense;grêmio;2#6#0#0#0#0#0#0#0
GOL;Victor;atlético-mg;14.50;1.50;atlético-mg;atlético-pr;3#17#0#0#0#0#0#0#0
MEI;Giuliano;grêmio;14.25;0.40;figueirense;grêmio;13#67#6#0#5#8#4#1#0
MEI;Marcos Guilherme;atlético-pr;14.21;3.60;atlético-mg;atlético-pr;14#19#2#0#13#7#3#1#0
ZAG;Gum;fluminense;14.13;5.90;corinthians;fluminense;9#48#1#1#4#2#0#0#0
MEI;Rithely;sport;13.99;4.00;coritiba;sport;20#83#2#0#4#11#1#1#0
MEI;Michel Bastos;sãopaulo;13.94;8.20;joinville;são paulo;7#84#0#0#5#19#4#8#0
TEC;Juan Carlos Osorio;sãopaulo;13.86;9.32;joinville;são paulo;
LAT;Gilson;pontepreta;13.78;3.10;ponte preta;cruzeiro;26#63#2#0#3#5#0#5#0
ATA;Eduardo Sasha;internacional;13.70;8.30;internacional;vasco;11#25#0#2#6#3#1#0#0
ZAG;Matheus Ferraz;sport;13.70;4.00;coritiba;sport;9#44#0#1#1#3#3#0#0
MEI;Willians;cruzeiro;13.67;3.00;ponte preta;cruzeiro;34#38#0#0#0#2#0#0#0
ZAG;Leonardo Silva;atlético-mg;13.65;3.80;atlético-mg;atlético-pr;18#43#1#0#3#7#1#3#0
TEC;Dorival Júnior;santos;13.35;4.95;santos;chapecoense;-#-#-#-#-#-#-#-#-
GOL;Fernando Prass;palmeiras;13.29;-1.90;goiás;palmeiras;5#19#0#0#0#0#0#0#0
ZAG;Luan;vasco;13.23;1.80;internacional;vasco;13#34#0#0#2#2#0#0#0
MEI;Jean;fluminense;13.20;0.90;corinthians;fluminense;9#62#0#0#5#13#1#0#0
TEC;Milton Mendes;atlético-pr;12.83;7.54;atlético-mg;atlético-pr;-#-#-#-#-#-#-#-#-
TEC;Enderson Moreira;fluminense;12.83;1.46;corinthians;fluminense;-#-#-#-#-#-#-#-#-
MEI;Renato Augusto;corinthians;12.72;10.30;corinthians;fluminense;17#79#3#1#11#10#0#3#0
ATA;Ananias;chapecoense;12.72;6.10;santos;chapecoense;31#28#1#0#5#4#1#1#0
ATA;Bruno Henrique;goiás;12.71;-1.60;goiás;palmeiras;43#48#4#0#15#20#2#10#0
MEI;Henrique;cruzeiro;12.63;3.10;ponte preta;cruzeiro;26#42#0#1#5#10#1#1#0
LAT;Fagner;corinthians;12.62;5.50;corinthians;fluminense;14#58#1#0#0#3#0#1#0
TEC;Marcelo Oliveira;palmeiras;12.46;6.49;goiás;palmeiras;-#-#-#-#-#-#-#-#-
GOL;Fábio;cruzeiro;11.97;-2.30;ponte preta;cruzeiro;4#7#0#0#0#0#0#0#0
ZAG;Durval;sport;11.93;1.20;coritiba;sport;7#61#0#0#3#2#0#4#0
ATA;Thiago Ribeiro;atlético-mg;11.84;-0.20;atlético-mg;atlético-pr;
MEI;Nikão;atlético-pr;11.82;7.90;atlético-mg;atlético-pr;21#45#4#1#3#2#4#3#0
TEC;Roger Machado;grêmio;11.76;3.84;figueirense;grêmio;-#-#-#-#-#-#-#-#-
ZAG;David Braz;santos;11.64;8.90;santos;chapecoense;8#77#0#0#0#4#1#2#0
ATA;Erik;goiás;11.61;0.40;goiás;palmeiras;9#18#1#1#3#2#5#3#0
