POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
ATA;Luan;grêmio;28.37;4.90;cruzeiro;grêmio;87#73#5#2#17#22#8#14#0
MEI;Diego Souza;sport;27.18;9.70;internacional;sport;35#112#5#0#11#15#7#6#0
LAT;Zé Roberto;palmeiras;26.08;0.00;chapecoense;palmeiras;25#31#3#0#6#8#2#0#0
ATA;Luan;atlético-mg;24.45;10.10;coritiba;atlético-mg;17#70#3#0#6#9#4#10#0
GOL;Rogério Ceni;sãopaulo;24.08;-2.30;são paulo;atlético-pr;1#17#0#0#0#0#3#0#0
ATA;Lucas Pratto;atlético-mg;22.66;5.70;coritiba;atlético-mg;34#70#2#4#25#26#7#11#0
LAT;Rodinei;pontepreta;21.58;-0.60;ponte preta;corinthians;27#73#4#1#4#7#0#3#0
GOL;Cássio;corinthians;20.92;4.00;ponte preta;corinthians;2#16#0#0#0#0#0#0#0
MEI;Edson;fluminense;20.88;0.00;santos;fluminense;35#59#0#1#3#15#2#2#0
ZAG;Rodrigo;vasco;20.87;10.00;avaí;vasco;32#72#0#0#16#16#2#2#0
ATA;Paolo Guerrero;flamengo;20.82;0.40;flamengo;joinville;28#15#3#1#14#15#3#12#0
ZAG;Gil;corinthians;20.17;12.80;ponte preta;corinthians;9#31#0#1#4#5#1#1#0
GOL;Marcelo Lomba;pontepreta;20.16;1.00;ponte preta;corinthians;4#14#0#0#0#0#0#0#0
GOL;Weverton;atlético-pr;20.07;-4.60;são paulo;atlético-pr;10#30#0#0#0#0#0#0#0
MEI;Everton;flamengo;20.05;0.00;flamengo;joinville;45#81#2#0#10#7#4#20#0
MEI;Jadson;corinthians;19.51;8.40;ponte preta;corinthians;13#140#8#1#14#10#11#2#0
GOL;Renan;goiás;18.28;-4.90;goiás;figueirense;4#16#0#0#0#0#0#0#0
ATA;Willian;cruzeiro;18.01;11.10;cruzeiro;grêmio;31#58#2#0#15#17#7#11#1
ATA;Ricardo Oliveira;santos;17.98;0.00;santos;fluminense;14#36#2#2#21#21#16#21#4
GOL;Diego Cavalieri;fluminense;17.90;17.00;santos;fluminense;
TEC;Tite;corinthians;17.63;5.65;ponte preta;corinthians;-#-#-#-#-#-#-#-#-
ATA;Rafael Marques;palmeiras;17.51;-0.40;chapecoense;palmeiras;44#94#4#0#12#16#7#8#0
ZAG;Jemerson;atlético-mg;17.50;2.30;coritiba;atlético-mg;10#38#0#0#3#11#4#3#0
MEI;Giuliano;grêmio;17.27;17.80;cruzeiro;grêmio;19#95#7#0#7#10#6#3#0
ZAG;Vitor Hugo;palmeiras;17.22;-0.30;chapecoense;palmeiras;11#39#0#1#4#9#3#0#0
ATA;Léo Gamalho;avaí;16.91;1.60;avaí;vasco;9#17#1#1#6#2#4#3#0
ZAG;Marlon;fluminense;16.67;5.50;santos;fluminense;12#17#1#0#2#2#0#3#0
GOL;Marcelo Grohe;grêmio;16.34;1.00;cruzeiro;grêmio;5#17#0#0#0#0#0#0#0
ATA;Biro Biro;pontepreta;16.25;19.40;ponte preta;corinthians;55#89#3#1#19#17#6#4#0
ATA;Rafhael Lucas;coritiba;16.10;1.20;coritiba;atlético-mg;18#27#2#1#11#12#2#14#0
MEI;Ganso;sãopaulo;15.64;10.90;são paulo;atlético-pr;43#84#5#0#5#12#1#6#0
GOL;Martín Silva;vasco;15.23;-2.30;avaí;vasco;1#4#0#0#0#0#0#0#0
TEC;Levir Culpi;atlético-mg;15.10;2.86;coritiba;atlético-mg;-#-#-#-#-#-#-#-#-
GOL;Fernando Prass;palmeiras;14.91;7.50;chapecoense;palmeiras;6#20#0#0#0#0#0#0#0
ATA;Bruno Henrique;goiás;14.72;5.00;goiás;figueirense;60#63#5#0#20#22#5#10#0
ATA;Alexandre Pato;sãopaulo;14.54;-1.20;são paulo;atlético-pr;44#71#4#1#12#10#8#11#0
TEC;Dorival Júnior;santos;14.51;4.60;santos;fluminense;-#-#-#-#-#-#-#-#-
LAT;Egídio;palmeiras;14.47;1.80;chapecoense;palmeiras;25#113#4#0#6#8#1#1#0
LAT;Victor Ferraz;santos;14.42;0.40;santos;fluminense;9#78#5#0#3#4#1#1#0
MEI;Renato Augusto;corinthians;14.30;14.50;ponte preta;corinthians;
ATA;Vitinho;internacional;14.27;0.80;internacional;sport;25#82#2#0#7#22#5#2#0
GOL;Fábio;cruzeiro;14.18;11.00;cruzeiro;grêmio;4#10#0#0#0#0#0#0#0
MEI;Marcos Guilherme;atlético-pr;14.16;4.20;são paulo;atlético-pr;21#39#3#0#15#10#3#2#0
GOL;Victor;atlético-mg;14.13;-2.00;coritiba;atlético-mg;5#19#0#0#0#0#0#0#0
MEI;Alex;internacional;14.02;0.00;internacional;sport;43#63#2#1#9#9#1#4#0
ZAG;Leonardo Silva;atlético-mg;13.91;2.10;coritiba;atlético-mg;25#59#1#1#6#9#2#4#0
ZAG;Matheus Ferraz;sport;13.87;5.00;internacional;sport;12#50#0#1#2#3#3#0#0
ZAG;Gum;fluminense;13.79;5.00;santos;fluminense;13#63#1#1#4#2#0#0#0
MEI;Jean;fluminense;13.74;2.20;santos;fluminense;11#90#0#0#6#16#3#0#0
LAT;Marcos Rocha;atlético-mg;13.64;-0.20;coritiba;atlético-mg;11#61#2#0#2#1#0#1#0
TEC;Juan Carlos Osorio;sãopaulo;13.53;3.35;são paulo;atlético-pr;-#-#-#-#-#-#-#-#-
MEI;Michel Bastos;sãopaulo;13.32;4.30;são paulo;atlético-pr;9#103#0#1#6#25#5#14#0
MEI;Rithely;sport;13.18;0.60;internacional;sport;28#108#2#0#5#11#1#1#0
MEI;Elias;corinthians;13.01;7.20;ponte preta;corinthians;21#70#4#0#2#3#4#0#0
TEC;Mano Menezes;cruzeiro;12.91;7.29;cruzeiro;grêmio;-#-#-#-#-#-#-#-#-
ZAG;Durval;sport;12.68;5.80;internacional;sport;11#79#0#0#3#2#0#5#0
MEI;Henrique;cruzeiro;12.65;4.40;cruzeiro;grêmio;33#59#0#1#5#11#1#1#0
GOL;Danilo;chapecoense;12.61;-0.30;chapecoense;palmeiras;4#19#0#0#0#0#0#0#0
LAT;Gilson;pontepreta;12.51;-2.30;ponte preta;corinthians;32#78#2#0#3#5#0#5#0
GOL;Danilo Fernandes;sport;12.44;10.70;internacional;sport;
LAT;Carlinhos;sãopaulo;12.44;10.50;são paulo;atlético-pr;22#44#3#0#9#7#1#4#0
TEC;Eduardo Baptista;fluminense;12.42;5.51;santos;fluminense;-#-#-#-#-#-#-#-#-
TEC;Roger Machado;grêmio;12.40;5.26;cruzeiro;grêmio;-#-#-#-#-#-#-#-#-
TEC;Sergio Vieira;atlético-pr;12.22;0.00;são paulo;atlético-pr;-#-#-#-#-#-#-#-#-
TEC;Marcelo Oliveira;palmeiras;12.20;2.15;chapecoense;palmeiras;-#-#-#-#-#-#-#-#-
TEC;Guto Ferreira;chapecoense;12.18;1.69;chapecoense;palmeiras;-#-#-#-#-#-#-#-#-
ATA;Ananias;chapecoense;12.09;3.80;chapecoense;palmeiras;40#40#1#0#8#5#1#2#0
