POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
MEI;Diego Souza;sport;28.93;11.10;sport;são paulo;18#49#3#0#5#7#4#3#0
ATA;Luan;grêmio;27.61;1.50;flamengo;grêmio;49#46#4#1#12#10#2#8#0
ATA;Fred;fluminense;26.74;13.50;fluminense;vasco;35#30#3#1#10#6#5#5#0
LAT;Zé Roberto;palmeiras;26.43;3.30;palmeiras;santos;16#18#2#0#4#5#1#0#0
GOL;Rogério Ceni;sãopaulo;24.62;-3.20;sport;são paulo;0#12#0#0#0#0#2#0#0
ATA;Paolo Guerrero;flamengo;23.25;0.00;flamengo;grêmio;11#5#1#0#1#3#1#4#0
LAT;Rodinei;pontepreta;22.95;5.10;joinville;ponte preta;11#30#4#0#1#2#0#2#0
MEI;Edson;fluminense;22.80;4.20;fluminense;vasco;20#35#0#1#2#8#1#1#0
GOL;Renan;goiás;21.22;10.00;internacional;goiás;2#7#0#0#0#0#0#0#0
ATA;Lucas Pratto;atlético-mg;20.93;0.00;corinthians;atlético-mg;12#30#1#2#15#9#3#4#0
MEI;Everton;flamengo;20.47;-0.80;flamengo;grêmio;20#48#0#0#4#4#3#14#0
GOL;Weverton;atlético-pr;20.18;-1.30;atlético-pr;chapecoense;7#15#0#0#0#0#0#0#0
GOL;Marcelo Lomba;pontepreta;19.68;1.70;joinville;ponte preta;2#5#0#0#0#0#0#0#0
ZAG;Gil;corinthians;19.39;4.20;corinthians;atlético-mg;2#15#0#1#1#3#0#1#0
ZAG;Rodrigo;vasco;19.17;2.00;fluminense;vasco;9#47#0#0#10#5#1#0#0
MEI;Élber;sport;19.12;0.00;sport;são paulo;11#9#0#0#3#0#1#0#0
ZAG;Jemerson;atlético-mg;18.40;5.70;corinthians;atlético-mg;4#19#0#0#2#4#2#1#0
ATA;Vitinho;internacional;18.04;23.40;internacional;goiás;5#28#1#0#2#8#3#1#0
ATA;Ricardo Oliveira;santos;17.81;3.20;palmeiras;santos;6#18#0#1#7#12#7#10#1
ATA;Alexandre Pato;sãopaulo;17.73;25.10;sport;são paulo;
ATA;Rafael Marques;palmeiras;17.52;-0.40;palmeiras;santos;19#50#2#0#7#8#5#4#0
TEC;Tite;corinthians;17.23;7.33;corinthians;atlético-mg;-#-#-#-#-#-#-#-#-
GOL;Marcelo Grohe;grêmio;16.77;4.40;flamengo;grêmio;3#10#0#0#0#0#0#0#0
MEI;Arrascaeta;cruzeiro;16.59;2.50;cruzeiro;avaí;10#20#1#0#4#5#1#0#0
LAT;Egídio;palmeiras;16.21;0.00;palmeiras;santos;13#65#4#0#4#3#1#1#0
ATA;Geuvânio;santos;16.02;0.80;palmeiras;santos;17#25#0#0#6#11#2#3#0
LAT;Marcos Rocha;atlético-mg;16.00;0.00;corinthians;atlético-mg;0#0#0#0#0#0#0#0#0
GOL;Diego Cavalieri;fluminense;15.95;4.00;fluminense;vasco;2#4#0#0#0#0#0#0#0
GOL;Fernando Prass;palmeiras;15.83;11.00;palmeiras;santos;5#12#0#0#0#0#0#0#0
GOL;Victor;atlético-mg;15.64;7.70;corinthians;atlético-mg;2#14#0#0#0#0#0#0#0
MEI;Giuliano;grêmio;15.51;5.70;flamengo;grêmio;9#43#4#0#4#5#3#1#0
TEC;Levir Culpi;atlético-mg;15.46;5.69;corinthians;atlético-mg;-#-#-#-#-#-#-#-#-
LAT;Wellington Silva;fluminense;15.29;1.50;fluminense;vasco;8#47#0#0#0#5#1#0#0
ZAG;Wallace;flamengo;15.03;4.90;flamengo;grêmio;17#40#0#0#4#5#0#0#0
ZAG;Matheus Ferraz;sport;14.85;9.70;sport;são paulo;6#25#0#0#1#3#3#0#0
ATA;Luis Fabiano;sãopaulo;14.71;-0.70;sport;são paulo;10#16#1#1#4#6#2#9#0
MEI;Fernando Bob;pontepreta;14.59;1.80;joinville;ponte preta;17#44#0#0#0#3#0#0#0
LAT;Victor Ferraz;santos;14.57;11.30;palmeiras;santos;4#40#2#0#2#0#0#0#0
LAT;Giovanni;fluminense;14.35;2.30;fluminense;vasco;7#34#0#0#2#3#0#1#0
LAT;Uendel;corinthians;14.24;14.10;corinthians;atlético-mg;
ATA;Dudu;palmeiras;14.15;0.00;palmeiras;santos;19#40#3#0#3#5#2#8#0
ATA;Thiago Ribeiro;atlético-mg;14.00;8.70;corinthians;atlético-mg;7#43#1#0#4#11#6#6#0
ZAG;Leonardo Silva;atlético-mg;13.99;4.00;corinthians;atlético-mg;14#29#1#0#2#2#1#3#0
ZAG;Gum;fluminense;13.96;0.50;fluminense;vasco;5#33#0#1#2#2#0#0#0
MEI;Rithely;sport;13.91;0.00;sport;são paulo;11#46#2#0#2#6#1#1#0
MEI;Gabriel;palmeiras;13.85;7.40;palmeiras;santos;17#26#1#0#2#4#1#0#0
ATA;Bruno Henrique;goiás;13.68;4.10;internacional;goiás;30#23#2#0#10#13#2#5#0
MEI;Elias;corinthians;13.51;14.70;corinthians;atlético-mg;5#23#2#0#1#0#2#0#0
MEI;Ganso;sãopaulo;13.50;1.40;sport;são paulo;21#40#1#0#3#6#0#3#0
TEC;Enderson Moreira;fluminense;13.45;4.28;fluminense;vasco;-#-#-#-#-#-#-#-#-
MEI;Michel Bastos;sãopaulo;13.21;-0.70;sport;são paulo;6#58#0#0#3#14#3#4#0
LAT;Gilson;pontepreta;13.18;1.40;joinville;ponte preta;19#39#0#0#2#2#0#3#0
GOL;Fábio;cruzeiro;13.04;5.00;cruzeiro;avaí;3#1#0#0#0#0#0#0#0
MEI;Camilo;chapecoense;13.02;3.00;atlético-pr;chapecoense;14#44#2#0#2#7#1#4#0
MEI;Willians;cruzeiro;13.02;0.00;cruzeiro;avaí;21#25#0#0#0#2#0#0#0
ATA;Biro Biro;pontepreta;12.94;1.80;joinville;ponte preta;31#51#2#0#10#10#2#3#0
MEI;Elicarlos;chapecoense;12.80;3.50;atlético-pr;chapecoense;21#26#0#0#0#2#1#0#0
LAT;Fagner;corinthians;12.77;11.00;corinthians;atlético-mg;9#31#0#0#0#2#0#1#0
TEC;Juan Carlos Osorio;sãopaulo;12.72;3.93;sport;são paulo;-#-#-#-#-#-#-#-#-
GOL;Danilo;chapecoense;12.68;2.00;atlético-pr;chapecoense;
TEC;Guto Ferreira;pontepreta;12.54;1.66;joinville;ponte preta;-#-#-#-#-#-#-#-#-
ZAG;Durval;sport;12.46;2.30;sport;são paulo;5#38#0#0#2#0#0#2#0
ZAG;Réver;internacional;12.29;12.10;internacional;goiás;4#12#0#0#1#0#1#1#0
LAT;Madson;vasco;12.22;0.60;fluminense;vasco;19#40#1#0#1#1#0#1#0
ZAG;David Braz;santos;12.12;15.00;palmeiras;santos;5#55#0#0#0#4#1#1#0
MEI;Henrique;cruzeiro;12.12;3.10;cruzeiro;avaí;11#23#0#1#2#3#1#1#0
TEC;Diego Aguirre;internacional;12.03;5.83;internacional;goiás;-#-#-#-#-#-#-#-#-
MEI;Jonas;flamengo;11.89;1.40;flamengo;grêmio;19#27#0#0#0#5#0#1#0
MEI;Gerson;fluminense;11.83;-0.20;fluminense;vasco;18#37#2#0#5#5#0#5#0
TEC;Roger Machado;grêmio;11.75;6.28;flamengo;grêmio;-#-#-#-#-#-#-#-#-
TEC;Vanderlei Luxemburgo;cruzeiro;11.66;4.96;cruzeiro;avaí;-#-#-#-#-#-#-#-#-
TEC;Eduardo Baptista;sport;11.65;4.36;sport;são paulo;-#-#-#-#-#-#-#-#-
MEI;Renato Augusto;corinthians;11.57;1.30;corinthians;atlético-mg;14#42#1#1#9#8#0#2#0
TEC;Milton Mendes;atlético-pr;11.54;2.49;atlético-pr;chapecoense;-#-#-#-#-#-#-#-#-
TEC;Marcelo Oliveira;palmeiras;11.48;3.47;palmeiras;santos;-#-#-#-#-#-#-#-#-
ATA;Centurión;sãopaulo;11.38;7.10;sport;são paulo;12#11#1#0#3#3#2#4#0
ATA;Diego Oliveira;pontepreta;11.32;0.90;joinville;ponte preta;24#22#0#1#5#6#2#2#0
ZAG;Kadu;atlético-pr;11.27;-0.30;atlético-pr;chapecoense;2#24#0#1#0#0#0#2#0
MEI;Felipe Menezes;goiás;11.03;1.30;internacional;goiás;14#59#3#0#9#4#3#2#1
LAT;Apodi;chapecoense;11.02;6.30;atlético-pr;chapecoense;
LAT;Rafael Galhardo;grêmio;10.92;7.80;flamengo;grêmio;16#34#1#1#4#6#1#3#0
MEI;Otávio;atlético-pr;10.91;2.90;atlético-pr;chapecoense;14#25#0#0#5#7#0#0#0
LAT;Christiano;vasco;10.84;1.20;fluminense;vasco;13#31#0#1#1#7#0#1#0
TEC;Dorival Júnior;santos;10.77;8.07;palmeiras;santos;-#-#-#-#-#-#-#-#-
MEI;Lucas Lima;santos;10.76;8.10;palmeiras;santos;22#57#3#0#2#1#1#0#0
LAT;Lucas;palmeiras;10.71;-0.80;palmeiras;santos;12#27#0#0#3#2#1#3#0
GOL;Vanderlei;santos;10.68;7.70;palmeiras;santos;0#2#0#0#0#0#0#0#0
ZAG;Marquinhos;figueirense;10.60;2.30;figueirense;coritiba;6#19#1#0#3#1#2#3#0
ZAG;Rafael Toloi;sãopaulo;10.59;0.60;sport;são paulo;4#20#0#0#1#1#0#0#0
MEI;Renan Oliveira;avaí;10.49;7.90;cruzeiro;avaí;4#15#1#0#1#8#0#2#0
ZAG;Rafael Lima;chapecoense;10.47;2.30;atlético-pr;chapecoense;5#37#1#0#2#1#0#2#0
MEI;Walace;grêmio;10.39;9.50;flamengo;grêmio;15#34#0#0#3#2#0#0#0
LAT;Dener Assunção;chapecoense;10.10;-0.40;atlético-pr;chapecoense;20#57#0#0#2#5#0#2#0
MEI;Nikão;atlético-pr;10.05;-0.10;atlético-pr;chapecoense;13#28#2#0#1#2#4#1#0
ATA;Emerson;flamengo;10.04;0.00;flamengo;grêmio;17#22#0#0#1#3#1#3#0
MEI;Anderson;internacional;10.03;3.80;internacional;goiás;12#35#0#0#3#2#0#1#0
LAT;Marcelo Oliveira;grêmio;10.01;5.70;flamengo;grêmio;18#31#1#1#4#4#1#2#0
GOL;Danilo Fernandes;sport;9.94;5.00;sport;são paulo;2#6#0#0#0#0#0#0#0
MEI;Paulo Roberto;figueirense;9.75;5.00;figueirense;coritiba;13#33#0#0#0#4#1#0#0
ZAG;Felipe Macedo;goiás;9.71;-0.70;internacional;goiás;
ZAG;Werley;santos;9.66;5.00;palmeiras;santos;3#28#0#1#0#1#1#0#0
MEI;Wendel;sport;9.55;0.30;sport;são paulo;16#15#0#0#0#7#1#1#0
MEI;Rodrigo;goiás;9.54;6.00;internacional;goiás;7#22#0#0#4#2#1#0#0
MEI;Marcos Aurélio;coritiba;9.51;8.20;figueirense;coritiba;5#27#2#0#6#8#1#2#0
ATA;Vagner Love;corinthians;9.35;1.80;corinthians;atlético-mg;17#20#0#0#2#4#3#4#0
ATA;Gabriel;santos;9.30;13.10;palmeiras;santos;12#19#0#1#5#8#1#5#0
TEC;Celso Roth;vasco;9.25;0.04;fluminense;vasco;-#-#-#-#-#-#-#-#-
TEC;Cristóvão Borges;flamengo;9.23;1.22;flamengo;grêmio;-#-#-#-#-#-#-#-#-
ATA;Marinho;cruzeiro;9.19;1.90;cruzeiro;avaí;10#6#0#0#4#1#1#0#0
ZAG;Manoel;cruzeiro;9.15;6.10;cruzeiro;avaí;13#26#0#0#1#3#1#0#0
MEI;Leandro Donizete;atlético-mg;9.06;2.50;corinthians;atlético-mg;7#25#0#0#0#1#0#0#0
LAT;Eduardo;atlético-pr;9.04;2.40;atlético-pr;chapecoense;10#59#1#0#1#4#0#0#0
ATA;Leandro Pereira;palmeiras;9.00;17.60;palmeiras;santos;7#7#0#0#3#5#3#3#0
MEI;Canteros;flamengo;8.96;-0.70;flamengo;grêmio;11#50#1#0#6#9#1#5#0
TEC;Vinícius Eutrópio;chapecoense;8.91;3.72;atlético-pr;chapecoense;-#-#-#-#-#-#-#-#-
MEI;Anselmo;joinville;8.83;8.00;joinville;ponte preta;15#36#1#0#0#4#0#0#0
ZAG;Felipe;corinthians;8.80;5.90;corinthians;atlético-mg;3#7#0#0#2#3#0#0#0
