POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
ATA;Luan;grêmio;27.91;2.90;grêmio;coritiba;67#57#4#2#14#16#5#11#0
MEI;Diego Souza;sport;27.65;4.80;sport;flamengo;30#78#5#0#9#12#6#4#0
ATA;Lucas Pratto;atlético-mg;24.25;14.30;fluminense;atlético-mg;20#49#1#4#20#15#6#8#0
ATA;Paolo Guerrero;flamengo;23.80;16.20;sport;flamengo;23#13#2#1#13#14#3#10#0
LAT;Rodinei;pontepreta;23.80;9.10;são paulo;ponte preta;17#49#4#1#3#5#0#3#0
ATA;Luan;atlético-mg;23.14;-1.30;fluminense;atlético-mg;5#35#2#0#4#7#2#7#0
MEI;Edson;fluminense;23.04;7.40;fluminense;atlético-mg;30#50#0#1#3#13#2#2#0
GOL;Weverton;atlético-pr;22.02;6.00;atlético-pr;goiás;8#18#0#0#0#0#0#0#0
GOL;Cássio;corinthians;21.95;10.70;chapecoense;corinthians;2#13#0#0#0#0#0#0#0
GOL;Renan;goiás;20.34;5.00;atlético-pr;goiás;2#11#0#0#0#0#0#0#0
GOL;Marcelo Lomba;pontepreta;20.33;4.40;são paulo;ponte preta;2#10#0#0#0#0#0#0#0
MEI;D'Alessandro;internacional;20.16;3.90;avaí;internacional;13#33#1#0#1#3#0#1#1
MEI;Everton;flamengo;20.00;-3.50;sport;flamengo;35#65#2#0#8#5#3#17#0
ATA;Leandro Damião;cruzeiro;19.69;5.30;cruzeiro;santos;17#23#1#0#9#7#2#5#0
ATA;Ricardo Oliveira;santos;19.62;13.90;cruzeiro;santos;11#27#1#2#14#16#10#16#3
MEI;Jadson;corinthians;19.11;9.60;chapecoense;corinthians;10#95#3#0#9#8#8#2#0
ZAG;Gil;corinthians;18.84;4.80;chapecoense;corinthians;4#24#0#1#2#3#0#1#0
ZAG;Vitor Hugo;palmeiras;17.86;0.40;palmeiras;joinville;7#23#0#1#3#5#2#0#0
GOL;Marcelo Grohe;grêmio;17.75;8.10;grêmio;coritiba;4#14#0#0#0#0#0#0#0
ATA;Rafael Marques;palmeiras;17.71;0.10;palmeiras;joinville;
TEC;Tite;corinthians;17.56;7.60;chapecoense;corinthians;-#-#-#-#-#-#-#-#-
ZAG;Jemerson;atlético-mg;16.89;-2.10;fluminense;atlético-mg;6#27#0#0#3#8#2#2#0
ATA;Walter;atlético-pr;16.36;0.40;atlético-pr;goiás;15#83#4#0#18#19#3#14#0
ZAG;Marlon;fluminense;15.89;-4.70;fluminense;atlético-mg;6#7#1#0#1#2#0#1#0
GOL;Martín Silva;vasco;15.66;-3.30;vasco;figueirense;1#3#0#0#0#0#0#0#0
MEI;Fernando Bob;pontepreta;15.61;5.70;são paulo;ponte preta;31#60#0#0#1#4#1#0#0
LAT;Marcos Rocha;atlético-mg;15.56;9.20;fluminense;atlético-mg;6#28#0#0#1#1#0#1#0
ATA;Dudu;palmeiras;15.27;0.50;palmeiras;joinville;37#73#5#0#9#8#4#12#0
TEC;Levir Culpi;atlético-mg;15.13;3.12;fluminense;atlético-mg;-#-#-#-#-#-#-#-#-
LAT;Egídio;palmeiras;14.87;1.80;palmeiras;joinville;21#92#4#0#5#7#1#1#0
MEI;Guiñazu;vasco;14.87;2.60;vasco;figueirense;18#22#0#0#0#3#0#0#0
ATA;Erik;goiás;14.83;19.40;atlético-pr;goiás;7#16#1#1#3#2#5#3#0
ATA;Alexandre Pato;sãopaulo;14.63;1.80;são paulo;ponte preta;28#48#3#1#8#6#7#10#0
ATA;Vitinho;internacional;14.45;1.10;avaí;internacional;16#50#1#0#4#14#4#1#0
MEI;Giuliano;grêmio;14.32;-0.90;grêmio;coritiba;12#62#6#0#5#7#4#1#0
GOL;Victor;atlético-mg;14.14;-2.30;fluminense;atlético-mg;2#17#0#0#0#0#0#0#0
LAT;Gilson;pontepreta;14.10;4.10;são paulo;ponte preta;24#58#2#0#3#4#0#4#0
MEI;Jean;fluminense;13.97;4.20;fluminense;atlético-mg;8#61#0#0#4#12#1#0#0
ATA;Bruno Henrique;goiás;13.92;4.00;atlético-pr;goiás;42#43#4#0#15#19#2#9#0
LAT;Uendel;corinthians;13.86;9.80;chapecoense;corinthians;
LAT;Victor Ferraz;santos;13.78;0.10;cruzeiro;santos;6#63#3#0#3#1#1#1#0
MEI;Ederson;flamengo;13.77;7.00;sport;flamengo;4#4#0#0#1#1#3#0#0
ATA;Léo Gamalho;avaí;13.55;19.10;avaí;internacional;1#1#0#0#0#0#2#0#0
ZAG;Matheus Ferraz;sport;13.52;2.10;sport;flamengo;9#40#0#0#1#3#3#0#0
TEC;Dorival Júnior;santos;13.43;5.64;cruzeiro;santos;-#-#-#-#-#-#-#-#-
TEC;Enderson Moreira;fluminense;13.33;3.28;fluminense;atlético-mg;-#-#-#-#-#-#-#-#-
GOL;Fernando Prass;palmeiras;13.31;-4.00;palmeiras;joinville;5#16#0#0#0#0#0#0#0
ZAG;Gum;fluminense;13.19;-0.40;fluminense;atlético-mg;7#47#0#1#4#2#0#0#0
ATA;Biro Biro;pontepreta;13.15;4.30;são paulo;ponte preta;41#69#3#1#15#14#2#4#0
MEI;Rithely;sport;13.13;-2.30;sport;flamengo;17#77#2#0#4#10#1#1#0
ATA;Eduardo Sasha;internacional;13.04;4.40;avaí;internacional;9#23#0#1#5#3#1#0#0
LAT;Fagner;corinthians;12.91;7.10;chapecoense;corinthians;12#56#1#0#0#3#0#1#0
MEI;Cícero;fluminense;12.91;9.70;fluminense;atlético-mg;9#13#1#0#4#2#2#0#0
MEI;Vinícius;fluminense;12.80;5.20;fluminense;atlético-mg;9#25#2#1#2#6#3#0#0
TEC;Juan Carlos Osorio;sãopaulo;12.75;2.96;são paulo;ponte preta;-#-#-#-#-#-#-#-#-
MEI;Michel Bastos;sãopaulo;12.70;0.50;são paulo;ponte preta;7#79#0#0#3#18#3#7#0
MEI;Henrique;cruzeiro;12.66;2.40;cruzeiro;santos;24#41#0#1#5#9#1#1#0
MEI;Elias;corinthians;12.65;5.90;chapecoense;corinthians;13#50#3#0#2#3#2#0#0
GOL;Danilo;chapecoense;12.57;0.70;chapecoense;corinthians;4#15#0#0#0#0#0#0#0
ATA;Alecsandro;palmeiras;12.55;1.00;palmeiras;joinville;
ZAG;Leonardo Silva;atlético-mg;12.50;0.00;fluminense;atlético-mg;16#42#1#0#3#5#1#3#0
ATA;Ananias;chapecoense;12.44;4.20;chapecoense;corinthians;29#28#1#0#5#4#1#1#0
MEI;Ganso;sãopaulo;12.39;0.00;são paulo;ponte preta;26#55#2#0#3#8#0#6#0
ATA;Vagner Love;corinthians;12.33;16.00;chapecoense;corinthians;19#24#1#0#4#5#5#6#0
ZAG;Durval;sport;12.19;1.60;sport;flamengo;7#57#0#0#3#1#0#4#0
MEI;Lucas Lima;santos;12.12;10.70;cruzeiro;santos;42#95#4#0#3#2#3#0#0
ATA;Thiago Ribeiro;atlético-mg;12.08;-0.30;fluminense;atlético-mg;11#55#1#0#8#14#6#7#0
LAT;Madson;vasco;11.90;3.10;vasco;figueirense;28#65#1#0#1#1#0#3#0
ATA;Diego Oliveira;pontepreta;11.87;6.60;são paulo;ponte preta;24#31#0#1#6#10#2#2#0
ZAG;Felipe Macedo;goiás;11.84;8.00;atlético-pr;goiás;14#34#0#0#1#2#0#0#0
LAT;Carlinhos;sãopaulo;11.81;9.90;são paulo;ponte preta;21#37#2#0#4#3#0#4#0
TEC;Eduardo Baptista;sport;11.78;1.67;sport;flamengo;-#-#-#-#-#-#-#-#-
TEC;Milton Mendes;atlético-pr;11.73;0.75;atlético-pr;goiás;-#-#-#-#-#-#-#-#-
GOL;Fábio;cruzeiro;11.72;-6.00;cruzeiro;santos;4#6#0#0#0#0#0#0#0
ATA;Emerson;flamengo;11.70;4.90;sport;flamengo;46#48#1#2#5#16#3#3#0
TEC;Marcelo Oliveira;palmeiras;11.70;1.70;palmeiras;joinville;-#-#-#-#-#-#-#-#-
MEI;Renato Augusto;corinthians;11.65;4.40;chapecoense;corinthians;17#74#2#1#10#9#0#3#0
TEC;Roger Machado;grêmio;11.64;2.55;grêmio;coritiba;-#-#-#-#-#-#-#-#-
MEI;Elicarlos;chapecoense;11.44;0.00;chapecoense;corinthians;26#39#0#0#0#2#1#0#0
ATA;Marquinhos;cruzeiro;11.37;1.10;cruzeiro;santos;
