POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
ATA;Luan;grêmio;30.81;20.30;atlético-mg;grêmio;60#54#4#2#14#15#4#10#0
MEI;Diego Souza;sport;27.29;4.30;corinthians;sport;21#67#4#0#7#10#5#4#0
GOL;Rogério Ceni;sãopaulo;24.48;1.00;figueirense;são paulo;0#15#0#0#0#0#2#0#0
LAT;Rodinei;pontepreta;23.10;7.30;ponte preta;avaí;14#39#4#0#3#2#0#2#0
GOL;Cássio;corinthians;21.35;7.00;corinthians;sport;2#12#0#0#0#0#0#0#0
MEI;Everton;flamengo;21.31;3.20;flamengo;atlético-pr;30#56#1#0#8#5#3#16#0
GOL;Weverton;atlético-pr;21.10;1.00;flamengo;atlético-pr;7#17#0#0#0#0#0#0#0
GOL;Marcelo Lomba;pontepreta;21.03;8.00;ponte preta;avaí;2#6#0#0#0#0#0#0#0
ZAG;Rodrigo;vasco;20.71;12.20;santos;vasco;16#51#0#0#10#6#1#1#0
GOL;Renan;goiás;20.22;8.00;goiás;chapecoense;2#11#0#0#0#0#0#0#0
ZAG;Vitor Hugo;palmeiras;19.58;0.00;coritiba;palmeiras;7#19#0#1#3#5#2#0#0
ATA;Ricardo Oliveira;santos;18.95;9.70;santos;vasco;11#22#0#1#8#14#9#12#1
ZAG;Gil;corinthians;18.77;2.80;corinthians;sport;3#18#0#1#1#3#0#1#0
ATA;Rafael Marques;palmeiras;18.64;6.60;coritiba;palmeiras;22#63#3#0#9#10#5#7#0
ZAG;Jemerson;atlético-mg;18.61;6.60;atlético-mg;grêmio;5#24#0#0#2#6#2#2#0
ATA;Geuvânio;santos;18.51;14.70;santos;vasco;27#35#1#0#8#13#3#5#0
GOL;Martín Silva;vasco;18.15;14.00;santos;vasco;1#2#0#0#0#0#0#0#0
ZAG;Marlon;fluminense;17.44;2.60;internacional;fluminense;4#3#1#0#0#2#0#0#0
GOL;Marcelo Grohe;grêmio;17.37;7.70;atlético-mg;grêmio;3#11#0#0#0#0#0#0#0
MEI;Jadson;corinthians;16.97;-1.20;corinthians;sport;
ATA;Rafhael Lucas;coritiba;16.87;-0.60;coritiba;palmeiras;12#20#1#1#9#9#2#12#0
ATA;Luis Fabiano;sãopaulo;16.84;14.90;figueirense;são paulo;12#18#1#3#4#8#3#11#0
MEI;Élber;sport;16.84;1.90;corinthians;sport;13#18#0#0#3#0#2#0#0
TEC;Tite;corinthians;16.63;3.47;corinthians;sport;-#-#-#-#-#-#-#-#-
MEI;Guiñazu;vasco;16.51;10.10;santos;vasco;18#21#0#0#0#3#0#0#0
ATA;Walter;atlético-pr;16.47;-0.70;flamengo;atlético-pr;13#73#4#0#16#16#3#12#0
GOL;Victor;atlético-mg;16.32;7.70;atlético-mg;grêmio;2#15#0#0#0#0#0#0#0
MEI;Fernando Bob;pontepreta;15.69;5.80;ponte preta;avaí;29#51#0#0#0#3#1#0#0
LAT;Egídio;palmeiras;15.68;4.90;coritiba;palmeiras;20#80#4#0#5#6#1#1#0
MEI;Giuliano;grêmio;15.55;7.30;atlético-mg;grêmio;11#52#4#0#4#5#4#1#0
ATA;Dudu;palmeiras;15.50;6.00;coritiba;palmeiras;32#60#3#0#6#6#3#11#0
LAT;Wellington Silva;fluminense;15.46;0.80;internacional;fluminense;14#67#0#0#0#7#1#0#0
TEC;Levir Culpi;atlético-mg;15.40;4.13;atlético-mg;grêmio;-#-#-#-#-#-#-#-#-
GOL;Fernando Prass;palmeiras;15.36;5.40;coritiba;palmeiras;5#15#0#0#0#0#0#0#0
GOL;Diego Cavalieri;fluminense;15.30;0.70;internacional;fluminense;2#6#0#0#0#0#0#0#0
ZAG;Leonardo Silva;atlético-mg;15.21;9.10;atlético-mg;grêmio;16#41#1#0#3#4#1#3#0
LAT;Victor Ferraz;santos;15.00;10.70;santos;vasco;6#57#3#0#3#1#0#0#0
MEI;Rithely;sport;14.90;6.90;corinthians;sport;14#58#2#0#4#8#1#1#0
LAT;Marcos Rocha;atlético-mg;14.49;2.30;atlético-mg;grêmio;3#18#0#0#1#0#0#0#0
ZAG;Wallace;flamengo;14.32;-0.50;flamengo;atlético-pr;
MEI;Ronaldinho Gaúcho;fluminense;14.30;2.10;internacional;fluminense;1#16#0#0#3#2#0#1#0
ATA;Bruno Henrique;goiás;14.23;6.70;goiás;chapecoense;39#33#2#0#11#17#2#8#0
MEI;Marcos Guilherme;atlético-pr;14.15;3.30;flamengo;atlético-pr;10#11#1#0#9#4#3#1#0
LAT;Gilson;pontepreta;14.07;6.90;ponte preta;avaí;22#45#0#0#3#3#0#3#0
GOL;Fábio;cruzeiro;13.86;7.00;joinville;cruzeiro;4#3#0#0#0#0#0#0#0
ZAG;Matheus Ferraz;sport;13.75;1.90;corinthians;sport;7#31#0#0#1#3#3#0#0
MEI;Willians;cruzeiro;13.64;3.50;joinville;cruzeiro;25#26#0#0#0#2#0#0#0
TEC;Dorival Júnior;santos;13.06;7.75;santos;vasco;-#-#-#-#-#-#-#-#-
ATA;Biro Biro;pontepreta;13.04;3.30;ponte preta;avaí;39#67#3#0#14#12#2#4#0
LAT;Uendel;corinthians;12.95;4.70;corinthians;sport;1#22#2#0#0#1#1#0#0
MEI;Henrique;cruzeiro;12.93;4.50;joinville;cruzeiro;20#31#0#1#5#7#1#1#0
MEI;Marquinhos;avaí;12.89;-2.80;ponte preta;avaí;13#54#1#1#3#5#1#0#0
MEI;Jean;fluminense;12.88;0.00;internacional;fluminense;6#53#0#0#4#10#1#0#0
MEI;Ganso;sãopaulo;12.88;1.30;figueirense;são paulo;23#46#1#0#3#8#0#6#0
MEI;Michel Bastos;sãopaulo;12.82;-0.20;figueirense;são paulo;7#69#0#0#3#18#3#7#0
TEC;Enderson Moreira;fluminense;12.66;-0.08;internacional;fluminense;-#-#-#-#-#-#-#-#-
ATA;Thiago Ribeiro;atlético-mg;12.66;1.50;atlético-mg;grêmio;10#52#1#0#8#12#6#6#0
TEC;Juan Carlos Osorio;sãopaulo;12.57;3.06;figueirense;são paulo;-#-#-#-#-#-#-#-#-
ZAG;Durval;sport;12.56;2.80;corinthians;sport;7#49#0#0#2#0#0#3#0
ATA;Eduardo Sasha;internacional;12.56;2.50;internacional;fluminense;
MEI;Elias;corinthians;12.29;5.00;corinthians;sport;9#37#2#0#1#1#2#0#0
MEI;Elicarlos;chapecoense;12.21;1.50;goiás;chapecoense;23#33#0#0#0#2#1#0#0
MEI;Felipe Menezes;goiás;12.18;3.50;goiás;chapecoense;22#77#3#0#13#7#4#2#1
