POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
MEI;Renato Cajá;pontepreta;29.76;8.50;corinthians;ponte preta;8#48#2#2#8#11#5#3#0
ATA;Luan;grêmio;29.49;8.10;grêmio;cruzeiro;37#38#3#1#5#4#2#7#0
GOL;Rogério Ceni;sãopaulo;25.36;-5.00;atlético-pr;são paulo;0#6#0#0#0#0#2#0#0
MEI;Edson;fluminense;25.23;13.70;fluminense;santos;18#27#0#1#2#6#1#1#0
LAT;Rodinei;pontepreta;24.06;8.10;corinthians;ponte preta;9#17#4#0#1#2#0#2#0
MEI;D'Alessandro;internacional;22.91;1.80;sport;internacional;2#6#0#0#0#2#0#1#0
MEI;Everton;flamengo;22.50;4.90;joinville;flamengo;12#28#0#0#3#4#2#11#0
ATA;Lucas Pratto;atlético-mg;22.44;2.80;atlético-mg;coritiba;7#18#1#2#10#6#2#2#0
ATA;Leandro Damião;cruzeiro;22.33;1.70;grêmio;cruzeiro;11#13#1#0#5#5#2#1#0
GOL;Weverton;atlético-pr;22.00;0.00;atlético-pr;são paulo;6#7#0#0#0#0#0#0#0
ZAG;Rodrigo;vasco;21.51;10.70;vasco;avaí;8#34#0#0#7#4#1#0#0
GOL;Marcelo Lomba;pontepreta;20.53;7.00;corinthians;ponte preta;1#2#0#0#0#0#0#0#0
GOL;Renan;goiás;19.98;-4.60;figueirense;goiás;2#5#0#0#0#0#0#0#0
ZAG;Vitor Hugo;palmeiras;19.68;6.30;palmeiras;chapecoense;5#15#0#1#3#5#2#0#0
GOL;Cássio;corinthians;19.40;-2.90;corinthians;ponte preta;1#10#0#0#0#0#0#0#0
ZAG;Gil;corinthians;19.02;0.80;corinthians;ponte preta;2#12#0#1#1#3#0#1#0
ZAG;Jemerson;atlético-mg;18.95;5.00;atlético-mg;coritiba;2#9#0#0#1#3#2#0#0
ATA;Walter;atlético-pr;18.94;3.80;atlético-pr;são paulo;7#40#2#0#11#11#2#7#0
ATA;Rafael Marques;palmeiras;18.91;8.00;palmeiras;chapecoense;13#33#0#0#5#6#4#1#0
MEI;Dátolo;atlético-mg;18.60;5.70;atlético-mg;coritiba;
MEI;Souza;sãopaulo;18.47;2.30;atlético-pr;são paulo;7#16#0#0#1#5#2#1#0
ATA;Geuvânio;santos;18.36;3.80;fluminense;santos;13#19#0#0#6#9#2#2#0
MEI;Jadson;corinthians;17.73;4.30;corinthians;ponte preta;6#52#1#0#6#3#3#1#0
ATA;Nilmar;internacional;17.02;3.50;sport;internacional;9#11#0#0#1#3#3#2#0
ATA;Ricardo Oliveira;santos;16.85;0.00;fluminense;santos;4#13#0#1#6#7#4#10#1
GOL;Diego Cavalieri;fluminense;16.58;11.00;fluminense;santos;1#3#0#0#0#0#0#0#0
MEI;Arrascaeta;cruzeiro;16.15;0.90;grêmio;cruzeiro;3#9#0#0#3#2#0#0#0
TEC;Tite;corinthians;16.14;3.59;corinthians;ponte preta;-#-#-#-#-#-#-#-#-
MEI;Guiñazu;vasco;16.00;3.60;vasco;avaí;13#10#0#0#0#1#0#0#0
ZAG;Leonardo Silva;atlético-mg;15.95;14.40;atlético-mg;coritiba;9#22#1#0#0#2#1#1#0
ATA;Luis Fabiano;sãopaulo;15.83;-0.80;atlético-pr;são paulo;5#14#1#1#2#6#2#4#0
LAT;Natanael;atlético-pr;15.66;-1.30;atlético-pr;são paulo;10#35#0#0#0#3#0#0#0
ATA;Biro Biro;pontepreta;15.61;13.50;corinthians;ponte preta;22#28#2#0#8#8#2#3#0
MEI;Fernando Bob;pontepreta;15.60;3.20;corinthians;ponte preta;13#28#0#0#0#3#0#0#0
TEC;Levir Culpi;atlético-mg;15.44;5.53;atlético-mg;coritiba;-#-#-#-#-#-#-#-#-
MEI;Rithely;sport;15.24;5.00;sport;internacional;7#32#2#0#1#5#1#1#0
GOL;Victor;atlético-mg;15.21;5.00;atlético-mg;coritiba;2#6#0#0#0#0#0#0#0
LAT;Wellington Silva;fluminense;15.20;2.30;fluminense;santos;5#25#0#0#0#3#1#0#0
LAT;Egídio;palmeiras;15.08;18.50;palmeiras;chapecoense;11#49#3#0#3#2#0#1#0
MEI;Willians;cruzeiro;15.04;5.50;grêmio;cruzeiro;
MEI;Marquinhos;avaí;15.02;0.00;vasco;avaí;13#43#1#1#2#5#1#0#0
MEI;Giuliano;grêmio;14.83;1.40;grêmio;cruzeiro;6#26#2#0#2#2#3#1#0
ZAG;Dória;sãopaulo;14.79;3.30;atlético-pr;são paulo;5#24#0#0#1#3#1#0#0
LAT;Victor Ferraz;santos;14.74;9.20;fluminense;santos;2#30#1#0#2#0#0#0#0
