POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
MEI;Renato Cajá;pontepreta;29.01;1.10;fluminense;ponte preta;5#34#2#2#8#9#4#2#0
MEI;Diego Souza;sport;28.52;-1.90;sport;vasco;12#18#0#0#3#4#3#3#0
ATA;Luan;grêmio;28.44;4.20;grêmio;palmeiras;28#27#2#1#5#3#1#2#0
GOL;Rogério Ceni;sãopaulo;27.96;5.00;são paulo;avaí;0#6#0#0#0#0#2#0#0
LAT;Zé Roberto;palmeiras;27.04;0.20;grêmio;palmeiras;11#13#2#0#4#3#1#0#0
ATA;Leandro Damião;cruzeiro;24.65;15.00;cruzeiro;chapecoense;8#8#1#0#2#4#2#1#0
GOL;Weverton;atlético-pr;23.90;5.00;atlético-pr;coritiba;6#5#0#0#0#0#0#0#0
LAT;Rodinei;pontepreta;23.67;6.80;fluminense;ponte preta;8#12#4#0#1#2#0#2#0
MEI;Edson;fluminense;22.69;3.50;fluminense;ponte preta;14#21#0#1#1#5#0#1#0
GOL;Renan;goiás;22.65;8.00;joinville;goiás;2#3#0#0#0#0#0#0#0
MEI;Everton;flamengo;22.11;0.20;flamengo;atlético-mg;9#20#0#0#3#3#2#11#0
ATA;Lucas Pratto;atlético-mg;21.94;0.00;flamengo;atlético-mg;4#12#1#2#6#5#1#1#0
GOL;Marcelo Lomba;pontepreta;21.17;14.00;fluminense;ponte preta;1#2#0#0#0#0#0#0#0
GOL;Cássio;corinthians;20.78;1.20;santos;corinthians;1#7#0#0#0#0#0#0#0
ZAG;Rodrigo;vasco;20.59;7.90;sport;vasco;7#26#0#0#6#2#1#0#0
ZAG;Vitor Hugo;palmeiras;19.36;6.30;grêmio;palmeiras;5#13#0#1#2#4#2#0#0
ZAG;Gil;corinthians;19.26;-0.90;santos;corinthians;2#6#0#1#1#1#0#1#0
ATA;Geuvânio;santos;19.24;0.00;santos;corinthians;10#15#0#0#4#8#2#1#0
ATA;Rafael Marques;palmeiras;18.78;10.30;grêmio;palmeiras;9#23#0#0#5#5#3#1#0
MEI;Jadson;corinthians;18.73;8.60;santos;corinthians;
ATA;Rafhael Lucas;coritiba;18.46;-0.80;atlético-pr;coritiba;6#10#0#0#4#5#1#4#0
MEI;Dátolo;atlético-mg;18.11;0.00;flamengo;atlético-mg;2#11#0#1#2#3#2#0#0
ATA;Ricardo Oliveira;santos;18.07;0.00;santos;corinthians;4#10#0#1#3#7#3#7#1
ATA;Walter;atlético-pr;17.43;-0.60;atlético-pr;coritiba;6#32#2#0#6#10#1#6#0
ATA;Willian;cruzeiro;17.28;8.00;cruzeiro;chapecoense;12#18#1#0#4#6#0#4#0
ZAG;Jemerson;atlético-mg;16.68;0.00;flamengo;atlético-mg;2#3#0#0#1#1#2#0#0
MEI;Guiñazu;vasco;16.34;5.40;sport;vasco;12#8#0#0#0#1#0#0#0
MEI;Fernando Bob;pontepreta;16.28;7.50;fluminense;ponte preta;9#19#0#0#0#2#0#0#0
TEC;Tite;corinthians;16.09;3.08;santos;corinthians;-#-#-#-#-#-#-#-#-
LAT;Fábio Santos;corinthians;15.85;-1.70;santos;corinthians;11#26#1#0#0#0#1#1#0
ZAG;Luan;vasco;15.25;-1.20;sport;vasco;10#26#0#0#1#2#0#0#0
MEI;Marquinhos;avaí;15.23;-0.90;são paulo;avaí;11#40#1#1#1#3#1#0#0
ZAG;Wallace;flamengo;15.14;10.90;flamengo;atlético-mg;8#20#0#0#3#3#0#0#0
ZAG;Dória;sãopaulo;15.02;4.20;são paulo;avaí;3#14#0#0#1#2#1#0#0
MEI;Rithely;sport;14.96;6.30;sport;vasco;4#24#2#0#1#3#0#1#0
MEI;Jean;fluminense;14.82;3.80;fluminense;ponte preta;2#26#0#0#4#2#1#0#0
LAT;Gilson;pontepreta;14.77;7.70;fluminense;ponte preta;10#17#0#0#1#1#0#2#0
MEI;Cleiton Xavier;palmeiras;14.68;3.30;grêmio;palmeiras;2#9#1#0#0#1#0#0#0
LAT;Giovanni;fluminense;14.52;1.80;fluminense;ponte preta;3#18#0#0#2#2#0#0#0
TEC;Levir Culpi;atlético-mg;14.50;0.00;flamengo;atlético-mg;
MEI;Michel Bastos;sãopaulo;14.42;-0.30;são paulo;avaí;1#22#0#0#0#5#2#2#0
GOL;Diego Cavalieri;fluminense;14.41;8.70;fluminense;ponte preta;0#3#0#0#0#0#0#0#0
ZAG;Leonardo Silva;atlético-mg;13.80;0.00;flamengo;atlético-mg;5#11#1#0#0#2#0#1#0
LAT;Madson;vasco;13.60;5.50;sport;vasco;13#19#0#0#1#1#0#1#0
GOL;Victor;atlético-mg;13.58;0.00;flamengo;atlético-mg;1#4#0#0#0#0#0#0#0
ZAG;Matheus Ferraz;sport;13.54;0.40;sport;vasco;5#18#0#0#1#3#1#0#0
ATA;Bruno Henrique;goiás;13.31;2.60;joinville;goiás;19#17#0#0#6#8#2#2#0
ATA;Marquinhos;cruzeiro;13.30;7.00;cruzeiro;chapecoense;7#23#2#0#2#9#1#3#0
MEI;Gerson;fluminense;13.28;0.40;fluminense;ponte preta;12#20#1#0#4#3#0#3#0
MEI;Gabriel;palmeiras;13.27;3.60;grêmio;palmeiras;11#15#0#0#1#4#1#0#0
ATA;Ananias;chapecoense;13.12;1.90;cruzeiro;chapecoense;19#17#1#0#3#1#1#0#0
TEC;Guto Ferreira;pontepreta;13.07;4.33;fluminense;ponte preta;-#-#-#-#-#-#-#-#-
MEI;Renato Augusto;corinthians;13.04;5.30;santos;corinthians;8#14#0#1#4#3#0#1#0
MEI;Elicarlos;chapecoense;12.91;0.70;cruzeiro;chapecoense;14#11#0#0#0#0#1#0#0
ZAG;Kadu;atlético-pr;12.86;1.70;atlético-pr;coritiba;0#11#0#1#0#0#0#0#0
ZAG;Durval;sport;12.81;-0.10;sport;vasco;3#20#0#0#2#0#0#1#0
GOL;Fernando Prass;palmeiras;12.79;3.70;grêmio;palmeiras;4#4#0#0#0#0#0#0#0
ATA;Alexandre Pato;sãopaulo;12.58;-1.50;são paulo;avaí;7#16#1#0#4#1#2#1#0
LAT;Victor Ferraz;santos;12.52;0.00;santos;corinthians;2#19#1#0#1#0#0#0#0
TEC;Juan Carlos Osorio;sãopaulo;12.34;2.35;são paulo;avaí;
ATA;Carlos;atlético-mg;12.33;0.00;flamengo;atlético-mg;6#6#1#0#2#2#2#2#0
ZAG;Felipe Macedo;goiás;12.16;9.00;joinville;goiás;8#11#0#0#0#0#0#0#0
TEC;Enderson Moreira;fluminense;12.10;1.17;fluminense;ponte preta;-#-#-#-#-#-#-#-#-
ZAG;Rafael Toloi;sãopaulo;12.10;7.80;são paulo;avaí;0#3#0#0#0#0#0#0#0
ATA;Diego Oliveira;pontepreta;12.09;1.40;fluminense;ponte preta;14#10#0#0#3#3#2#0#0
LAT;Patric;atlético-mg;12.06;0.00;flamengo;atlético-mg;5#23#2#0#2#2#1#5#0
TEC;Alberto Valentim;palmeiras;12.00;5.34;grêmio;palmeiras;-#-#-#-#-#-#-#-#-
GOL;Danilo;chapecoense;11.95;-2.00;cruzeiro;chapecoense;2#8#0#0#0#0#0#0#0
ATA;Thiago Ribeiro;atlético-mg;11.91;0.00;flamengo;atlético-mg;1#11#0#0#4#5#2#1#0
MEI;Petros;corinthians;11.71;2.30;santos;corinthians;6#11#0#0#2#0#0#0#0
MEI;Vinícius;fluminense;11.68;0.30;fluminense;ponte preta;6#14#0#1#1#3#2#0#0
ZAG;Edu Dracena;corinthians;11.55;-0.60;santos;corinthians;1#8#0#0#0#2#0#3#0
TEC;Milton Mendes;atlético-pr;11.40;1.24;atlético-pr;coritiba;-#-#-#-#-#-#-#-#-
LAT;Egídio;palmeiras;11.25;2.90;grêmio;palmeiras;10#38#0#0#3#1#0#1#0
MEI;Gil;chapecoense;11.18;1.70;cruzeiro;chapecoense;17#31#0#0#0#4#1#2#0
TEC;Eduardo Baptista;sport;11.08;3.36;sport;vasco;-#-#-#-#-#-#-#-#-
TEC;Vanderlei Luxemburgo;cruzeiro;11.06;3.05;cruzeiro;chapecoense;-#-#-#-#-#-#-#-#-
LAT;Lucas;palmeiras;11.03;4.80;grêmio;palmeiras;6#8#0#0#1#2#0#2#0
GOL;Fábio;cruzeiro;10.97;1.00;cruzeiro;chapecoense;2#1#0#0#0#0#0#0#0
LAT;Carlinhos;sãopaulo;10.88;5.30;são paulo;avaí;
MEI;Felipe Menezes;goiás;10.79;3.40;joinville;goiás;5#24#2#0#6#2#0#0#0
ZAG;Welinton;coritiba;10.68;0.00;atlético-pr;coritiba;9#19#0#0#0#1#0#0#0
TEC;Roger Machado;grêmio;10.64;3.85;grêmio;palmeiras;-#-#-#-#-#-#-#-#-
LAT;Fagner;corinthians;10.61;0.70;santos;corinthians;7#16#0#0#0#1#0#0#0
MEI;Elano;santos;10.57;0.00;santos;corinthians;4#3#0#0#1#1#0#0#0
MEI;Patrick;goiás;10.53;2.80;joinville;goiás;16#7#0#0#1#3#0#0#0
MEI;Walace;grêmio;10.39;6.70;grêmio;palmeiras;7#18#0#0#2#1#0#0#0
ATA;Centurión;sãopaulo;10.30;0.00;são paulo;avaí;4#4#0#0#1#0#0#0#0
ZAG;Samir;flamengo;10.09;8.40;flamengo;atlético-mg;4#1#0#0#0#3#0#0#0
MEI;Bruno Silva;chapecoense;9.99;2.10;cruzeiro;chapecoense;5#14#0#0#2#2#1#3#0
ZAG;Werley;santos;9.74;0.00;santos;corinthians;2#17#0#1#0#1#1#0#0
MEI;Denilson;sãopaulo;9.72;0.00;são paulo;avaí;6#9#0#0#0#0#0#0#0
LAT;Dener Assunção;chapecoense;9.72;4.90;cruzeiro;chapecoense;13#39#0#0#1#3#0#1#0
