POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
ATA;Luan;grêmio;27.33;2.60;grêmio;internacional;58#53#4#2#14#14#2#10#0
MEI;Diego Souza;sport;26.59;-0.40;atlético-pr;sport;21#60#3#0#6#8#5#4#0
GOL;Rogério Ceni;sãopaulo;25.41;0.00;são paulo;corinthians;0#15#0#0#0#0#2#0#0
ATA;Lucas Pratto;atlético-mg;24.53;0.00;goiás;atlético-mg;16#39#1#4#19#11#4#5#0
GOL;Weverton;atlético-pr;22.77;11.00;atlético-pr;sport;7#17#0#0#0#0#0#0#0
MEI;Edson;fluminense;22.69;4.40;avaí;fluminense;25#44#0#1#2#9#2#1#0
MEI;Everton;flamengo;22.33;9.60;ponte preta;flamengo;27#53#1#0#8#5#3#16#0
LAT;Rodinei;pontepreta;21.71;-0.60;ponte preta;flamengo;13#37#4#0#3#2#0#2#0
ATA;Paolo Guerrero;flamengo;21.09;0.50;ponte preta;flamengo;18#10#2#0#5#9#2#5#0
MEI;D'Alessandro;internacional;19.56;-3.30;grêmio;internacional;10#23#0#0#0#3#0#1#0
ZAG;Gil;corinthians;19.21;0.00;são paulo;corinthians;3#16#0#1#1#3#0#1#0
GOL;Marcelo Lomba;pontepreta;19.11;-3.00;ponte preta;flamengo;2#6#0#0#0#0#0#0#0
GOL;Renan;goiás;19.03;1.70;goiás;atlético-mg;2#11#0#0#0#0#0#0#0
ATA;Ricardo Oliveira;santos;18.54;9.10;santos;coritiba;11#22#0#1#8#14#8#12#1
ZAG;Jemerson;atlético-mg;18.38;0.00;goiás;atlético-mg;5#23#0#0#2#5#2#2#0
ZAG;Rodrigo;vasco;18.38;0.00;vasco;joinville;13#50#0#0#10#5#1#1#0
ZAG;Marlon;fluminense;18.34;8.30;avaí;fluminense;3#2#1#0#0#1#0#0#0
ATA;Rafael Marques;palmeiras;18.02;3.70;cruzeiro;palmeiras;21#61#2#0#8#10#5#5#0
MEI;Jadson;corinthians;17.88;0.00;são paulo;corinthians;10#81#3#0#8#4#6#2#0
ATA;Rafhael Lucas;coritiba;17.32;1.20;santos;coritiba;
GOL;Victor;atlético-mg;17.08;0.00;goiás;atlético-mg;2#14#0#0#0#0#0#0#0
LAT;Wellington Silva;fluminense;17.00;10.20;avaí;fluminense;13#61#0#0#0#5#1#0#0
GOL;Diego Cavalieri;fluminense;16.94;10.70;avaí;fluminense;2#5#0#0#0#0#0#0#0
TEC;Tite;corinthians;16.57;0.00;são paulo;corinthians;-#-#-#-#-#-#-#-#-
LAT;Marcos Rocha;atlético-mg;16.20;0.00;goiás;atlético-mg;3#15#0#0#1#0#0#0#0
ATA;Geuvânio;santos;15.99;2.10;santos;coritiba;25#31#0#0#8#12#2#5#0
ATA;Alexandre Pato;sãopaulo;15.76;0.00;são paulo;corinthians;20#38#3#1#8#4#6#9#0
TEC;Levir Culpi;atlético-mg;15.76;0.00;goiás;atlético-mg;-#-#-#-#-#-#-#-#-
MEI;Arrascaeta;cruzeiro;15.62;0.00;cruzeiro;palmeiras;11#25#1#0#4#5#1#0#0
MEI;Guiñazu;vasco;15.54;0.00;vasco;joinville;15#19#0#0#0#3#0#0#0
MEI;Fernando Bob;pontepreta;15.46;5.30;ponte preta;flamengo;29#51#0#0#0#3#1#0#0
LAT;Egídio;palmeiras;15.39;3.80;cruzeiro;palmeiras;19#74#4#0#5#5#1#1#0
GOL;Fernando Prass;palmeiras;14.96;3.70;cruzeiro;palmeiras;5#13#0#0#0#0#0#0#0
GOL;Martín Silva;vasco;14.74;0.00;vasco;joinville;1#2#0#0#0#0#0#0#0
MEI;Ronaldinho Gaúcho;fluminense;14.72;-3.30;avaí;fluminense;0#10#0#0#1#0#0#1#0
ZAG;Luan;vasco;14.58;0.00;vasco;joinville;10#32#0#0#1#2#0#0#0
ZAG;Matheus Ferraz;sport;14.46;6.40;atlético-pr;sport;6#30#0#0#1#3#3#0#0
ZAG;Leonardo Silva;atlético-mg;14.43;0.00;goiás;atlético-mg;16#37#1#0#3#3#1#3#0
ZAG;Wallace;flamengo;14.39;-1.00;ponte preta;flamengo;20#46#0#1#4#5#0#0#0
GOL;Danilo;chapecoense;14.21;9.50;chapecoense;figueirense;
ATA;Dudu;palmeiras;14.05;-2.30;cruzeiro;palmeiras;26#53#3#0#5#6#3#10#0
GOL;Fábio;cruzeiro;13.82;8.20;cruzeiro;palmeiras;4#3#0#0#0#0#0#0#0
LAT;Victor Ferraz;santos;13.66;4.60;santos;coritiba;5#52#2#0#3#1#0#0#0
MEI;Marcos Guilherme;atlético-pr;13.66;0.40;atlético-pr;sport;10#10#1#0#8#2#3#0#0
TEC;Enderson Moreira;fluminense;13.57;5.10;avaí;fluminense;-#-#-#-#-#-#-#-#-
MEI;Willians;cruzeiro;13.39;2.20;cruzeiro;palmeiras;24#25#0#0#0#2#0#0#0
ATA;Thiago Ribeiro;atlético-mg;13.13;0.00;goiás;atlético-mg;10#48#1#0#7#12#6#6#0
MEI;Rithely;sport;13.13;-3.20;atlético-pr;sport;14#55#2#0#3#8#1#1#0
MEI;Michel Bastos;sãopaulo;13.11;0.00;são paulo;corinthians;7#66#0#0#3#17#3#7#0
TEC;Juan Carlos Osorio;sãopaulo;13.02;0.00;são paulo;corinthians;-#-#-#-#-#-#-#-#-
TEC;Guto Ferreira;pontepreta;12.91;3.11;ponte preta;flamengo;-#-#-#-#-#-#-#-#-
MEI;Ganso;sãopaulo;12.80;0.00;são paulo;corinthians;23#44#1#0#3#8#0#4#0
ZAG;Durval;sport;12.64;3.50;atlético-pr;sport;7#47#0#0#2#0#0#3#0
GOL;Alex Muralha;figueirense;12.56;4.00;chapecoense;figueirense;1#4#0#0#0#0#0#0#0
ATA;Ananias;chapecoense;12.43;4.00;chapecoense;figueirense;22#20#1#0#3#4#1#1#0
MEI;Nikão;atlético-pr;12.36;9.90;atlético-pr;sport;19#35#3#1#3#2#4#2#0
TEC;Milton Mendes;atlético-pr;12.34;4.84;atlético-pr;sport;-#-#-#-#-#-#-#-#-
MEI;Henrique;cruzeiro;12.32;1.30;cruzeiro;palmeiras;19#29#0#1#3#7#1#1#0
ATA;Eduardo Sasha;internacional;12.28;0.80;grêmio;internacional;4#14#0#0#2#1#1#0#0
MEI;Elicarlos;chapecoense;12.27;1.70;chapecoense;figueirense;
MEI;Elias;corinthians;12.24;0.00;são paulo;corinthians;8#35#2#0#1#1#2#0#0
MEI;Lucas Lima;santos;12.23;13.00;santos;coritiba;28#68#4#0#3#2#2#0#0
ZAG;Kadu;atlético-pr;12.21;4.90;atlético-pr;sport;3#32#0#1#0#1#0#2#0
LAT;Uendel;corinthians;12.05;0.00;são paulo;corinthians;1#21#1#0#0#1#1#0#0
MEI;Gerson;fluminense;12.03;1.60;avaí;fluminense;22#40#3#0#5#7#0#5#0
TEC;Eduardo Baptista;sport;11.97;3.85;atlético-pr;sport;-#-#-#-#-#-#-#-#-
GOL;Danilo Fernandes;sport;11.85;10.70;atlético-pr;sport;2#9#0#0#0#0#0#0#0
MEI;Felipe Menezes;goiás;11.83;1.70;goiás;atlético-mg;18#73#3#0#12#7#4#2#1
TEC;Diego Aguirre;internacional;11.73;2.85;grêmio;internacional;-#-#-#-#-#-#-#-#-
TEC;Dorival Júnior;santos;11.70;3.36;santos;coritiba;-#-#-#-#-#-#-#-#-
TEC;Marcelo Oliveira;palmeiras;11.70;2.78;cruzeiro;palmeiras;-#-#-#-#-#-#-#-#-
LAT;Fagner;corinthians;11.66;0.00;são paulo;corinthians;10#41#0#0#0#3#0#1#0
ATA;Borges;pontepreta;11.61;1.40;ponte preta;flamengo;2#7#0#0#7#6#1#3#0
ZAG;Rafael Toloi;sãopaulo;11.55;0.00;são paulo;corinthians;4#27#0#0#1#1#0#0#0
TEC;Vanderlei Luxemburgo;cruzeiro;11.54;3.37;cruzeiro;palmeiras;-#-#-#-#-#-#-#-#-
LAT;Apodi;chapecoense;11.44;6.00;chapecoense;figueirense;30#46#0#0#9#6#1#2#0
ZAG;Réver;internacional;11.34;6.10;grêmio;internacional;4#15#0#0#1#0#1#1#0
LAT;Dener Assunção;chapecoense;11.32;4.40;chapecoense;figueirense;22#68#1#0#2#5#0#2#0
MEI;Otávio;atlético-pr;11.21;1.80;atlético-pr;sport;16#33#0#0#6#7#0#0#0
TEC;Roger Machado;grêmio;11.03;2.12;grêmio;internacional;
MEI;Renato Augusto;corinthians;10.98;0.00;são paulo;corinthians;14#59#1#1#9#8#0#2#0
ATA;Emerson;flamengo;10.94;8.80;ponte preta;flamengo;25#34#0#0#1#8#2#3#0
MEI;Felipe;pontepreta;10.94;10.00;ponte preta;flamengo;4#28#1#1#1#4#1#1#0
LAT;Madson;vasco;10.83;0.00;vasco;joinville;23#51#1#0#1#1#0#3#0
LAT;Lucas;palmeiras;10.82;0.90;cruzeiro;palmeiras;13#40#0#0#3#2#1#4#0
ZAG;Guti;joinville;10.72;12.60;vasco;joinville;7#19#0#0#0#1#1#0#0
MEI;Renato;santos;10.71;3.00;santos;coritiba;5#11#0#0#0#1#0#0#0
ZAG;Juan;internacional;10.68;3.90;grêmio;internacional;2#8#0#0#0#1#0#1#0
MEI;Robinho;palmeiras;10.54;4.30;cruzeiro;palmeiras;16#32#4#0#6#5#0#0#0
ATA;Lisandro López;internacional;10.48;-0.10;grêmio;internacional;10#13#1#1#6#4#1#10#0
MEI;Canteros;flamengo;10.44;6.20;ponte preta;flamengo;11#57#2#0#7#10#1#5#0
ZAG;David Braz;santos;10.41;0.00;santos;coritiba;5#59#0#0#0#4#1#2#0
MEI;Wendel;sport;10.39;3.90;atlético-pr;sport;19#17#0#0#0#9#1#1#0
TEC;Cristóvão Borges;flamengo;10.35;4.27;ponte preta;flamengo;-#-#-#-#-#-#-#-#-
ATA;Erik;goiás;10.25;0.10;goiás;atlético-mg;5#8#0#0#2#2#1#2#0
ATA;Centurión;sãopaulo;10.22;0.00;são paulo;corinthians;16#21#1#0#4#4#2#6#0
ATA;Herrera;vasco;10.12;0.00;vasco;joinville;3#5#0#1#1#0#0#3#0
LAT;Christiano;vasco;10.11;0.00;vasco;joinville;14#32#0#1#2#7#0#1#0
MEI;Rodrigo;goiás;10.06;4.40;goiás;atlético-mg;9#27#1#0#4#3#1#0#0
ATA;André Lima;avaí;9.99;2.50;avaí;fluminense;
ATA;Vagner Love;corinthians;9.96;0.00;são paulo;corinthians;19#24#1#0#4#5#3#6#0
ZAG;Felipe;corinthians;9.83;0.00;são paulo;corinthians;5#15#0#0#2#4#1#0#0
GOL;Vanderlei;santos;9.67;1.70;santos;coritiba;0#3#0#0#0#0#0#0#0
TEC;Celso Roth;vasco;9.46;0.00;vasco;joinville;-#-#-#-#-#-#-#-#-
ZAG;Felipe Macedo;goiás;9.34;-0.40;goiás;atlético-mg;11#29#0#0#1#2#0#0#0
ZAG;Manoel;cruzeiro;9.33;3.70;cruzeiro;palmeiras;14#41#0#0#2#4#1#0#0
MEI;Leandro Donizete;atlético-mg;9.31;0.00;goiás;atlético-mg;11#30#0#0#0#3#0#0#0
MEI;Anderson;internacional;9.29;0.80;grêmio;internacional;13#44#0#0#4#2#0#1#0
LAT;Samuel Xavier;sport;9.21;6.40;atlético-pr;sport;17#50#1#0#0#2#1#0#0
MEI;Paulo Roberto;figueirense;9.15;0.70;chapecoense;figueirense;16#41#0#0#0#6#1#0#0
ATA;Marinho;cruzeiro;9.11;0.30;cruzeiro;palmeiras;21#21#0#0#5#6#1#1#0
LAT;Eduardo;atlético-pr;9.09;0.00;atlético-pr;sport;12#69#1#0#2#5#0#0#0
MEI;Bruno Silva;chapecoense;9.08;1.40;chapecoense;figueirense;7#37#0#0#4#3#1#5#0
MEI;Carlos Alberto;figueirense;9.07;3.30;chapecoense;figueirense;8#7#0#0#1#2#2#0#0
TEC;Vinícius Eutrópio;chapecoense;9.05;3.25;chapecoense;figueirense;-#-#-#-#-#-#-#-#-
GOL;Walter;corinthians;8.99;0.00;são paulo;corinthians;0#3#0#0#0#0#0#0#0
MEI;Anselmo;joinville;8.92;0.00;vasco;joinville;15#43#1#0#1#6#0#0#0
ATA;Osvaldo;fluminense;8.85;1.00;avaí;fluminense;2#7#0#0#0#1#0#0#0
ZAG;Pablo;pontepreta;8.79;4.30;ponte preta;flamengo;16#23#0#0#2#3#0#1#0
LAT;Norberto;coritiba;8.79;10.10;santos;coritiba;
LAT;Rafael Galhardo;grêmio;8.78;-3.70;grêmio;internacional;19#51#1#2#5#8#1#4#0
ATA;Riascos;vasco;8.77;0.00;vasco;joinville;16#22#0#0#4#10#3#2#0
MEI;Renan Oliveira;avaí;8.70;-0.70;avaí;fluminense;6#32#1#0#1#9#0#3#0
MEI;Valdivia;internacional;8.67;1.60;grêmio;internacional;10#18#0#0#7#6#1#1#0
TEC;Julinho Camargo;goiás;8.54;2.79;goiás;atlético-mg;-#-#-#-#-#-#-#-#-
MEI;Douglas;grêmio;8.49;3.20;grêmio;internacional;12#64#1#0#5#9#1#0#0
GOL;Wilson;coritiba;8.43;2.00;santos;coritiba;2#1#0#0#0#0#0#0#0
ATA;Gabriel;santos;8.29;0.60;santos;coritiba;18#25#0#1#6#9#3#7#0
ATA;André;sport;8.20;3.20;atlético-pr;sport;16#24#1#1#3#5#5#10#0
GOL;Alisson;internacional;8.20;10.70;grêmio;internacional;0#1#0#0#0#0#0#0#0
LAT;Marquinhos Pedroso;figueirense;8.19;4.90;chapecoense;figueirense;20#19#1#0#2#0#0#0#0
TEC;Pc Gusmão;joinville;8.15;5.46;vasco;joinville;-#-#-#-#-#-#-#-#-
LAT;Fabrício;cruzeiro;8.09;0.00;cruzeiro;palmeiras;15#30#0#0#3#0#0#2#0
LAT;Renê;sport;8.05;5.40;atlético-pr;sport;14#65#3#0#2#1#0#0#0
TEC;Argel Fucks;figueirense;8.04;4.88;chapecoense;figueirense;-#-#-#-#-#-#-#-#-
TEC;Ney Franco;coritiba;7.99;3.55;santos;coritiba;-#-#-#-#-#-#-#-#-
MEI;João Vitor;figueirense;7.93;9.70;chapecoense;figueirense;4#5#0#0#1#0#1#0#0
ZAG;Renato Chaves;pontepreta;7.84;9.60;ponte preta;flamengo;5#15#0#0#0#1#1#1#0
